dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,lastRain,date,tz,historical,batt1volts,local_time
1788331980000,0.0,0.0,0,0,1,243,59.4,70,49.61,29.98,30.0767,0,0,12388,11149200,59.4,2026-06-12T17:37:00.000Z,2026-09-01,,,,2026-09-01 23:53:00-07:00
1788331080000,0.0,0.0,0,0,1,243,59.7,69,49.51,29.98,30.0766,0,0,12388,11149200,59.7,,2026-09-01,America/Los_Angeles,True,,2026-09-01 23:38:00-07:00
1788330180000,0.0,0.0,0,0,1,243,60.1,68,49.5,29.98,30.0766,0,0,12388,11149200,60.1,2026-06-12T17:37:00.000Z,2026-09-01,,,,2026-09-01 23:23:00-07:00
1788329280000,0.0,0.0,0,0,1,243,60.4,66,48.99,29.98,30.0765,0,0,12388,11149200,60.4,2026-06-12T17:37:00.000Z,2026-09-01,,,4.29,2026-09-01 23:08:00-07:00
1788328380000,0.0,0.0,0,0,1,243,61.3,64,49.02,29.98,30.0764,0,0,12388,11149200,61.3,2026-06-12T17:37:00.000Z,2026-09-01,,,,2026-09-01 22:53:00-07:00
1788327480000,0.0,0.0,0,0,1,243,61.9,63,49.16,29.97,30.0662,0,0,12388,11149200,61.9,2026-06-12T17:37:00.000Z,2026-09-01,,,,2026-09-01 22:38:00-07:00
1788326580000,0.0,0.0,0,0,1,243,63.3,60,49.17,29.97,30.066,0,0,12388,11149200,63.3,2026-06-12T17:37:00.000Z,2026-09-01,,,,2026-09-01 22:23:00-07:00
1788325680000,0.0,1.3422,0,0,1,243,64.0,58,48.92,29.97,30.0658,0,0,12388,11149200,64.0,,2026-09-01,America/Los_Angeles,True,4.31,2026-09-01 22:08:00-07:00
1788324780000,0.0,0.0,0,0,1,243,65.3,56,49.19,29.96,30.0556,0,0,12388,11149200,65.3,,2026-09-01,America/Los_Angeles,True,,2026-09-01 21:53:00-07:00
1788323880000,0.0,0.0,0,0,1,243,66.4,56,50.22,29.95,30.0453,0,0,12388,11149200,66.4,2026-06-12T17:37:00.000Z,2026-09-01,,,,2026-09-01 21:38:00-07:00
1788322980000,0.0,0.0,0,0,1,243,66.9,55,50.2,29.95,30.0452,0,0,12388,11149200,66.9,2026-06-12T17:37:00.000Z,2026-09-01,,,4.31,2026-09-01 21:23:00-07:00
1788322080000,0.0,0.0,0,0,1,243,68.2,53,50.41,29.95,30.045,0,0,12388,11149200,67.21,2026-06-12T17:37:00.000Z,2026-09-01,,,,2026-09-01 21:08:00-07:00
1788321180000,0.0,1.1185,0,0,1,243,69.3,51,50.38,29.94,30.0348,0,0,12388,11149200,68.33,2026-06-12T17:37:00.000Z,2026-09-01,,,,2026-09-01 20:53:00-07:00
1788320280000,0.0,0.0,0,0,1,243,69.6,51,50.66,29.94,30.0347,0,0,12388,11149200,68.66,2026-06-12T17:37:00.000Z,2026-09-01,,,,2026-09-01 20:38:00-07:00
1788319380000,0.0,0.0,0,0,1,243,70.2,49,50.13,29.93,30.0246,0,0,12388,11149200,69.22,2026-06-12T17:37:00.000Z,2026-09-01,,,4.32,2026-09-01 20:23:00-07:00
1788318480000,0.2237,1.5659,0,0,1,243,70.5,50,50.95,29.93,30.0245,0,0,12388,11149200,69.6,2026-06-12T17:37:00.000Z,2026-09-01,,,,2026-09-01 20:08:00-07:00
1788317580000,0.2237,1.7895,0,0,1,243,69.8,63,56.62,29.93,30.0246,0,0,12388,11149200,69.44,2026-06-12T17:37:00.000Z,2026-09-01,,,,2026-09-01 19:53:00-07:00
1788316680000,0.0,0.0,0,0,1,243,70.2,70,59.95,29.93,30.0246,0,0,12388,11149200,70.21,2026-06-12T17:37:00.000Z,2026-09-01,,,,2026-09-01 19:38:00-07:00
1788315780000,0.0,0.0,0,0,1,243,71.1,68,59.99,29.92,30.0144,1,900,12387,11149200,71.11,2026-06-12T17:37:00.000Z,2026-09-01,,,4.33,2026-09-01 19:23:00-07:00
1788314880000,0.2237,1.7895,0,0,1,243,72.0,67,60.43,29.92,30.0142,4,3600,12383,11148300,72.05,2026-06-12T17:37:00.000Z,2026-09-01,,,,2026-09-01 19:08:00-07:00
1788313980000,1.5659,2.908,0,0,1,243,72.7,65,60.24,29.93,30.0241,8,7200,12375,11144700,72.73,2026-06-12T17:37:00.000Z,2026-09-01,,,,2026-09-01 18:53:00-07:00
1788313080000,0.2237,2.6843,0,0,1,243,73.0,65,60.53,29.93,30.0241,13,11700,12362,11137500,73.06,2026-06-12T17:37:00.000Z,2026-09-01,,,,2026-09-01 18:38:00-07:00
1788312180000,0.6711,2.6843,0,0,1,243,73.2,65,60.71,29.93,30.024,17,15300,12345,11125800,73.28,2026-06-12T17:37:00.000Z,2026-09-01,,,4.33,2026-09-01 18:23:00-07:00
1788311280000,0.8948,3.3554,0,0,1,243,73.8,65,61.28,29.93,30.0239,21,18900,12324,11110500,73.94,2026-06-12T17:37:00.000Z,2026-09-01,,,,2026-09-01 18:08:00-07:00
1788310380000,1.3422,2.908,0,0,1,243,74.1,65,61.57,29.93,30.0239,26,23400,12298,11091600,74.27,2026-06-12T17:37:00.000Z,2026-09-01,,,,2026-09-01 17:53:00-07:00
1788309480000,1.7895,3.3554,0,0,1,243,74.3,65,61.76,29.93,30.0238,39,35100,12259,11068200,74.49,2026-06-12T17:37:00.000Z,2026-09-01,,,,2026-09-01 17:38:00-07:00
1788308580000,1.7895,3.3554,0,0,1,243,74.3,66,62.19,29.93,30.0238,39,35100,12220,11033100,74.53,2026-06-12T17:37:00.000Z,2026-09-01,,,4.34,2026-09-01 17:23:00-07:00
1788307680000,1.1185,3.1317,0,0,1,238,74.3,65,61.76,29.94,30.0339,37,33300,12183,10998000,74.49,2026-06-12T17:37:00.000Z,2026-09-01,,,,2026-09-01 17:08:00-07:00
