dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,date,lastRain,batt1volts,local_time
1749451800000,2.4606,7.6056,0,0,1,53,60.3,85,55.77,60.3,29.88,29.9531,0,0,0,18600300,America/Los_Angeles,True,2025-06-08,,,2025-06-08 23:50:00-07:00
1749450900000,2.4606,8.2767,0,0,1,54,60.4,85,55.87,60.4,29.88,29.953,0,0,0,18600300,America/Los_Angeles,True,2025-06-08,,,2025-06-08 23:35:00-07:00
1749450000000,2.6843,8.7241,0,0,1,82,60.4,85,55.87,60.4,29.88,29.953,0,0,20667,18600300,,,2025-06-08,2025-06-03T23:50:00.000Z,,2025-06-08 23:20:00-07:00
1749449100000,2.6843,8.7241,0,0,1,64,60.4,85,55.87,60.4,29.88,29.953,0,0,20667,18600300,,,2025-06-08,2025-06-03T23:50:00.000Z,,2025-06-08 23:05:00-07:00
1749448200000,2.0132,6.2634,0,0,1,72,60.4,86,56.19,60.4,29.88,29.953,0,0,20667,18600300,,,2025-06-08,2025-06-03T23:50:00.000Z,4.28,2025-06-08 22:50:00-07:00
1749447300000,1.3422,7.3819,0,0,1,124,60.6,85,56.06,60.6,29.88,29.953,0,0,20667,18600300,,,2025-06-08,2025-06-03T23:50:00.000Z,,2025-06-08 22:35:00-07:00
1749446400000,2.0132,7.8293,0,0,1,91,60.4,85,55.87,60.4,29.87,29.943,0,0,20667,18600300,,,2025-06-08,2025-06-03T23:50:00.000Z,,2025-06-08 22:20:00-07:00
1749445500000,1.7895,6.7108,0,0,1,91,60.6,85,56.06,60.6,29.87,29.943,0,0,20667,18600300,,,2025-06-08,2025-06-03T23:50:00.000Z,,2025-06-08 22:05:00-07:00
1749444600000,2.4606,8.7241,0,0,1,108,60.8,85,56.26,60.8,29.87,29.943,0,0,20667,18600300,,,2025-06-08,2025-06-03T23:50:00.000Z,4.31,2025-06-08 21:50:00-07:00
1749443700000,3.3554,8.9477,0,0,1,101,60.8,84,55.93,60.8,29.87,29.943,0,0,20667,18600300,,,2025-06-08,2025-06-03T23:50:00.000Z,,2025-06-08 21:35:00-07:00
