dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,date,batt1volts,tz,historical,local_time
1752821400000,0.4474,4.6976,0,0,1,121,58.1,91,55.48,58.1,29.92,29.9935,0,0,24907,22416300,2025-07-17T04:20:00.000Z,2025-07-17,,,,2025-07-17 23:50:00-07:00
1752820500000,0.0,0.0,0,0,1,269,58.3,91,55.68,58.3,29.91,29.9834,0,0,24907,22416300,2025-07-17T04:20:00.000Z,2025-07-17,4.29,,,2025-07-17 23:35:00-07:00
1752819600000,0.0,0.0,0,0,1,269,58.6,91,55.98,58.6,29.91,29.9834,0,0,24907,22416300,2025-07-17T04:20:00.000Z,2025-07-17,,,,2025-07-17 23:20:00-07:00
1752818700000,0.0,0.0,0,0,1,269,58.8,91,56.18,58.8,29.91,29.9833,0,0,24907,22416300,2025-07-17T04:20:00.000Z,2025-07-17,,,,2025-07-17 23:05:00-07:00
1752817800000,0.0,0.0,0,0,1,269,58.8,91,56.18,58.8,29.91,29.9833,0,0,24907,22416300,2025-07-17T04:20:00.000Z,2025-07-17,,,,2025-07-17 22:50:00-07:00
1752816900000,0.0,0.0,0,0,1,269,58.8,91,56.18,58.8,29.91,29.9833,0,0,24907,22416300,2025-07-17T04:20:00.000Z,2025-07-17,4.29,,,2025-07-17 22:35:00-07:00
1752816000000,0.0,0.0,0,0,1,269,59.0,90,56.07,59.0,29.91,29.9833,0,0,24907,22416300,2025-07-17T04:20:00.000Z,2025-07-17,,,,2025-07-17 22:20:00-07:00
1752815100000,0.0,0.0,0,0,1,269,59.0,90,56.07,59.0,29.91,29.9833,0,0,24907,22416300,2025-07-17T04:20:00.000Z,2025-07-17,,,,2025-07-17 22:05:00-07:00
1752814200000,0.0,0.0,0,0,1,269,59.5,90,56.56,59.5,29.91,29.9832,0,0,24907,22416300,2025-07-17T04:20:00.000Z,2025-07-17,,,,2025-07-17 21:50:00-07:00
1752813300000,1.3422,3.3554,0,0,1,269,60.1,89,56.84,60.1,29.91,29.9832,0,0,24907,22416300,2025-07-17T04:20:00.000Z,2025-07-17,4.3,,,2025-07-17 21:35:00-07:00
1752812400000,1.3422,3.1317,0,0,1,269,60.1,89,56.84,60.1,29.9,29.9731,0,0,24907,22416300,2025-07-17T04:20:00.000Z,2025-07-17,,,,2025-07-17 21:20:00-07:00
1752811500000,2.2369,3.8028,0,0,1,269,60.1,89,56.84,60.1,29.9,29.9731,0,0,24907,22416300,2025-07-17T04:20:00.000Z,2025-07-17,,,,2025-07-17 21:05:00-07:00
1752810600000,2.4606,4.4739,0,0,1,269,60.3,88,56.73,60.3,29.9,29.9731,0,0,24907,22416300,2025-07-17T04:20:00.000Z,2025-07-17,,,,2025-07-17 20:50:00-07:00
1752809700000,2.6843,5.3686,0,0,1,269,60.4,87,56.51,60.4,29.89,29.9631,0,0,24907,22416300,2025-07-17T04:20:00.000Z,2025-07-17,4.31,,,2025-07-17 20:35:00-07:00
1752808800000,2.908,6.7108,0,0,1,268,61.0,86,56.78,61.0,29.89,29.963,2,1800,24905,22416300,2025-07-17T04:20:00.000Z,2025-07-17,,,,2025-07-17 20:20:00-07:00
