dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,lastRain,date,batt1volts,local_time
1745736600000,0.0,1.7895,0.0,0.27,1,340,49.8,79,29.98,30.0548,0,0,21325,19192500,49.8,43.55,2025-04-26T15:20:00.000Z,2025-04-26,,2025-04-26 23:50:00-07:00
1745735700000,0.8948,3.5791,0.0,0.27,1,340,50.4,78,29.98,30.0547,0,0,21325,19192500,50.4,43.8,2025-04-26T15:20:00.000Z,2025-04-26,4.29,2025-04-26 23:35:00-07:00
1745734800000,1.1185,6.0397,0.0,0.27,1,297,50.2,79,29.98,30.0548,0,0,21325,19192500,50.2,43.94,2025-04-26T15:20:00.000Z,2025-04-26,,2025-04-26 23:20:00-07:00
1745733900000,2.908,5.3686,0.0,0.27,1,279,50.0,78,29.98,30.0548,0,0,21325,19192500,50.0,43.41,2025-04-26T15:20:00.000Z,2025-04-26,,2025-04-26 23:05:00-07:00
1745733000000,0.4474,3.8028,0.0,0.27,1,274,50.0,79,29.98,30.0548,0,0,21325,19192500,50.0,43.75,2025-04-26T15:20:00.000Z,2025-04-26,,2025-04-26 22:50:00-07:00
1745732100000,1.3422,4.2502,0.0,0.27,1,274,50.9,77,29.98,30.0546,0,0,21325,19192500,50.9,43.95,2025-04-26T15:20:00.000Z,2025-04-26,4.3,2025-04-26 22:35:00-07:00
1745731200000,1.1185,4.6976,0.0,0.27,1,274,51.6,76,29.98,30.0545,0,0,21325,19192500,51.6,44.29,2025-04-26T15:20:00.000Z,2025-04-26,,2025-04-26 22:20:00-07:00
1745730300000,0.0,1.3422,0.0,0.27,1,274,52.3,74,29.98,30.0544,0,0,21325,19192500,52.3,44.26,2025-04-26T15:20:00.000Z,2025-04-26,,2025-04-26 22:05:00-07:00
1745729400000,1.3422,7.6056,0.0,0.27,1,263,52.7,74,29.98,30.0544,0,0,21325,19192500,52.7,44.65,2025-04-26T15:20:00.000Z,2025-04-26,,2025-04-26 21:50:00-07:00
1745728500000,1.5659,9.1714,0.0,0.27,1,264,52.7,74,29.98,30.0544,0,0,21325,19192500,52.7,44.65,2025-04-26T15:20:00.000Z,2025-04-26,4.31,2025-04-26 21:35:00-07:00
1745727600000,1.7895,7.1582,0.0,0.27,1,268,52.3,74,29.97,30.0444,0,0,21325,19192500,52.3,44.26,2025-04-26T15:20:00.000Z,2025-04-26,,2025-04-26 21:20:00-07:00
1745726700000,1.7895,5.3686,0.0,0.27,1,283,52.2,75,29.96,30.0344,0,0,21325,19192500,52.2,44.52,2025-04-26T15:20:00.000Z,2025-04-26,,2025-04-26 21:05:00-07:00
1745725800000,0.8948,4.6976,0.0,0.27,1,330,52.3,76,29.96,30.0344,0,0,21325,19192500,52.3,44.96,2025-04-26T15:20:00.000Z,2025-04-26,,2025-04-26 20:50:00-07:00
1745724900000,0.0,3.5791,0.0,0.27,1,301,52.5,75,29.95,30.0243,0,0,21325,19192500,52.5,44.81,2025-04-26T15:20:00.000Z,2025-04-26,4.31,2025-04-26 20:35:00-07:00
1745724000000,0.0,0.0,0.0,0.27,1,277,52.3,75,29.95,30.0244,0,0,21325,19192500,52.3,44.61,2025-04-26T15:20:00.000Z,2025-04-26,,2025-04-26 20:20:00-07:00
1745723100000,0.4474,2.4606,0.0,0.27,1,277,52.3,76,29.94,30.0143,0,0,21325,19192500,52.3,44.96,2025-04-26T15:20:00.000Z,2025-04-26,,2025-04-26 20:05:00-07:00
1745722200000,1.5659,4.0265,0.0,0.27,1,277,52.5,77,29.94,30.0143,1,900,21324,19192500,52.5,45.5,2025-04-26T15:20:00.000Z,2025-04-26,,2025-04-26 19:50:00-07:00
1745721300000,2.0132,3.1317,0.0,0.27,1,277,53.1,75,29.93,30.0042,11,9900,21313,19191600,53.1,45.39,2025-04-26T15:20:00.000Z,2025-04-26,4.32,2025-04-26 19:35:00-07:00
1745720400000,0.8948,3.1317,0.0,0.27,1,277,53.8,73,29.93,30.0041,27,24300,21286,19181700,53.8,45.35,2025-04-26T15:20:00.000Z,2025-04-26,,2025-04-26 19:20:00-07:00
1745719500000,2.2369,4.2502,0.0,0.27,1,277,54.1,74,29.93,30.0041,72,64800,21214,19157400,54.1,46.0,2025-04-26T15:20:00.000Z,2025-04-26,,2025-04-26 19:05:00-07:00
1745718600000,3.1317,6.2634,0.0,0.27,1,271,54.3,73,29.93,30.004,74,66600,21140,19092600,54.3,45.83,2025-04-26T15:20:00.000Z,2025-04-26,,2025-04-26 18:50:00-07:00
1745717700000,4.4739,7.8293,0.0,0.27,1,257,55.0,74,29.93,30.0039,161,144900,20979,19026000,55.0,46.87,2025-04-26T15:20:00.000Z,2025-04-26,4.35,2025-04-26 18:35:00-07:00
1745716800000,6.0397,11.1847,0.0,0.27,1,260,55.2,74,29.93,30.0039,226,203400,20753,18881100,55.2,47.06,2025-04-26T15:20:00.000Z,2025-04-26,,2025-04-26 18:20:00-07:00
