dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,feelsLike,date,lastRain,batt1volts,local_time
1785999120000,0.0,0.0,0,0,1,214,65.1,92,62.71,29.91,30.0054,0,0,0,12897900,America/Los_Angeles,True,65.1,2026-08-05,,,2026-08-05 23:52:00-07:00
1785998220000,0.0,0.0,0,0,1,214,65.1,92,62.71,29.91,30.0054,0,0,14331,12897900,,,65.1,2026-08-05,2026-06-12T17:37:00.000Z,,2026-08-05 23:37:00-07:00
1785997320000,0.0,0.0,0,0,1,214,64.8,91,62.11,29.91,30.0055,0,0,14331,12897900,,,64.8,2026-08-05,2026-06-12T17:37:00.000Z,,2026-08-05 23:22:00-07:00
1785996420000,0.0,0.0,0,0,1,214,64.2,91,61.51,29.91,30.0056,0,0,14331,12897900,,,64.2,2026-08-05,2026-06-12T17:37:00.000Z,4.31,2026-08-05 23:07:00-07:00
1785995520000,0.0,0.0,0,0,1,214,63.9,90,60.91,29.91,30.0056,0,0,14331,12897900,,,63.9,2026-08-05,2026-06-12T17:37:00.000Z,,2026-08-05 22:52:00-07:00
1785994620000,0.0,0.0,0,0,1,214,64.0,90,61.0,29.91,30.0056,0,0,14331,12897900,,,64.0,2026-08-05,2026-06-12T17:37:00.000Z,,2026-08-05 22:37:00-07:00
1785993720000,0.0,0.0,0,0,1,214,64.2,90,61.2,29.91,30.0056,0,0,14331,12897900,America/Los_Angeles,True,64.2,2026-08-05,,,2026-08-05 22:22:00-07:00
1785992820000,0.0,0.0,0,0,1,214,64.6,90,61.6,29.91,30.0055,0,0,14331,12897900,,,64.6,2026-08-05,2026-06-12T17:37:00.000Z,,2026-08-05 22:07:00-07:00
1785991920000,0.0,0.0,0,0,1,214,64.6,89,61.28,29.91,30.0055,0,0,14331,12897900,,,64.6,2026-08-05,2026-06-12T17:37:00.000Z,,2026-08-05 21:52:00-07:00
1785991020000,0.0,0.0,0,0,1,214,64.8,89,61.48,29.9,29.9955,0,0,14331,12897900,,,64.8,2026-08-05,2026-06-12T17:37:00.000Z,4.31,2026-08-05 21:37:00-07:00
1785990120000,0.0,0.0,0,0,1,214,65.1,89,61.77,29.89,29.9854,0,0,14331,12897900,,,65.1,2026-08-05,2026-06-12T17:37:00.000Z,,2026-08-05 21:22:00-07:00
1785989220000,0.0,0.0,0,0,1,214,65.7,89,62.36,29.89,29.9853,0,0,14331,12897900,,,65.7,2026-08-05,2026-06-12T17:37:00.000Z,,2026-08-05 21:07:00-07:00
1785988320000,0.0,0.0,0,0,1,214,66.0,89,62.66,29.88,29.9752,0,0,14331,12897900,,,66.0,2026-08-05,2026-06-12T17:37:00.000Z,,2026-08-05 20:52:00-07:00
1785987420000,0.0,0.0,0,0,1,214,66.2,89,62.86,29.88,29.9751,0,0,14331,12897900,,,66.2,2026-08-05,2026-06-12T17:37:00.000Z,4.32,2026-08-05 20:37:00-07:00
1785986520000,0.2237,2.0132,0,0,1,214,66.2,88,62.54,29.88,29.9751,0,0,14331,12897900,,,66.2,2026-08-05,2026-06-12T17:37:00.000Z,,2026-08-05 20:22:00-07:00
1785985620000,0.4474,2.4606,0,0,1,214,66.4,88,62.73,29.88,29.9751,0,0,14331,12897900,,,66.4,2026-08-05,2026-06-12T17:37:00.000Z,,2026-08-05 20:07:00-07:00
1785984720000,0.6711,2.6843,0,0,1,214,66.4,88,62.73,29.88,29.9751,2,1800,14329,12897900,,,66.4,2026-08-05,2026-06-12T17:37:00.000Z,,2026-08-05 19:52:00-07:00
1785983820000,1.3422,4.4739,0,0,1,214,66.6,87,62.6,29.88,29.9751,6,5400,14323,12896100,,,66.6,2026-08-05,2026-06-12T17:37:00.000Z,,2026-08-05 19:37:00-07:00
