dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,lastRain,date,batt1volts,tz,historical,local_time
1787640660000,1.3422,2.6843,0,0,1,352,67.8,84,62.78,29.89,29.962,0,0,22696,20426400,67.8,2026-08-10T03:36:00.000Z,2026-08-24,,,,2026-08-24 23:51:00-07:00
1787639760000,1.1185,2.908,0,0,1,352,67.8,84,62.78,29.89,29.962,0,0,22696,20426400,67.8,2026-08-10T03:36:00.000Z,2026-08-24,,,,2026-08-24 23:36:00-07:00
1787638860000,1.1185,2.6843,0,0,1,352,67.3,85,62.63,29.9,29.9721,0,0,22696,20426400,67.3,2026-08-10T03:36:00.000Z,2026-08-24,4.27,,,2026-08-24 23:21:00-07:00
1787637960000,0.0,2.0132,0,0,1,295,67.5,85,62.83,29.9,29.9721,0,0,22696,20426400,67.5,2026-08-10T03:36:00.000Z,2026-08-24,,,,2026-08-24 23:06:00-07:00
1787637060000,0.0,0.0,0,0,1,257,67.3,85,62.63,29.9,29.9721,0,0,22696,20426400,67.3,2026-08-10T03:36:00.000Z,2026-08-24,,,,2026-08-24 22:51:00-07:00
1787636160000,0.0,0.0,0,0,1,257,66.9,86,62.57,29.9,29.9722,0,0,22696,20426400,66.9,2026-08-10T03:36:00.000Z,2026-08-24,,,,2026-08-24 22:36:00-07:00
1787635260000,0.0,0.0,0,0,1,257,66.9,85,62.24,29.9,29.9722,0,0,22696,20426400,66.9,,2026-08-24,4.27,America/Los_Angeles,True,2026-08-24 22:21:00-07:00
1787634360000,0.0,0.0,0,0,1,257,67.3,85,62.63,29.9,29.9721,0,0,22696,20426400,67.3,2026-08-10T03:36:00.000Z,2026-08-24,,,,2026-08-24 22:06:00-07:00
1787633460000,0.0,0.0,0,0,1,257,67.3,85,62.63,29.9,29.9721,0,0,22696,20426400,67.3,2026-08-10T03:36:00.000Z,2026-08-24,,,,2026-08-24 21:51:00-07:00
1787632560000,0.2237,1.1185,0,0,1,257,67.6,85,62.92,29.91,29.9821,0,0,22696,20426400,67.6,2026-08-10T03:36:00.000Z,2026-08-24,4.28,,,2026-08-24 21:36:00-07:00
1787631660000,0.0,0.0,0,0,1,257,67.6,84,62.59,29.91,29.9821,0,0,22696,20426400,67.6,2026-08-10T03:36:00.000Z,2026-08-24,,,,2026-08-24 21:21:00-07:00
