dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,lastRain,date,tz,historical,local_time
1789195980000,0.0,0.0,0,0,1,198,67.1,90,4.3,64.06,29.83,29.9248,0,0,10256,9230400,67.1,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 23:53:00-07:00
1789195080000,0.0,0.0,0,0,1,198,67.3,90,,64.26,29.83,29.9248,0,0,10256,9230400,67.3,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 23:38:00-07:00
1789194180000,0.0,0.0,0,0,1,198,67.6,90,,64.56,29.83,29.9247,0,0,10256,9230400,67.6,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 23:23:00-07:00
1789193280000,0.0,1.1185,0,0,1,198,68.4,89,,65.03,29.83,29.9246,0,0,10256,9230400,69.12,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 23:08:00-07:00
1789192380000,0.2237,1.3422,0,0,1,198,68.7,90,4.3,65.64,29.83,29.9245,0,0,10256,9230400,69.5,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 22:53:00-07:00
1789191480000,0.0,1.1185,0,0,1,198,68.0,91,,65.27,29.83,29.9247,0,0,10256,9230400,68.0,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 22:38:00-07:00
1789190580000,0.0,0.0,0,0,1,198,67.3,90,,64.26,29.82,29.9147,0,0,10256,9230400,67.3,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 22:23:00-07:00
1789189680000,0.0,0.0,0,0,1,198,67.3,88,,63.62,29.82,29.9147,0,0,10256,9230400,67.3,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 22:08:00-07:00
1789188780000,0.0,0.0,0,0,1,198,67.6,87,4.31,63.59,29.82,29.9147,0,0,10256,9230400,67.6,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 21:53:00-07:00
1789187880000,0.0,0.0,0,0,1,198,68.0,86,,63.65,29.81,29.9046,0,0,10256,9230400,68.0,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 21:38:00-07:00
1789186980000,0.0,0.0,0,0,1,198,68.7,86,,64.34,29.81,29.9045,0,0,10256,9230400,69.31,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 21:23:00-07:00
1789186080000,0.0,1.3422,0,0,1,198,69.3,85,,64.59,29.8,29.8943,0,0,10256,9230400,69.93,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 21:08:00-07:00
1789185180000,0.2237,2.0132,0,0,1,198,70.5,85,4.31,65.76,29.8,29.8941,0,0,10256,9230400,71.25,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 20:53:00-07:00
1789184280000,0.0,0.0,0,0,1,198,71.2,84,,66.11,29.8,29.894,0,0,10256,9230400,71.97,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 20:38:00-07:00
1789183380000,0.0,0.0,0,0,1,198,71.6,84,,66.5,29.79,29.8839,0,0,10256,9230400,72.41,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 20:23:00-07:00
1789182480000,0.0,0.0,0,0,1,198,71.8,84,,66.7,29.79,29.8838,0,0,10256,9230400,72.63,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 20:08:00-07:00
1789181580000,0.0,0.0,0,0,1,198,71.8,83,4.32,66.35,29.79,29.8838,0,0,10256,9230400,72.58,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 19:53:00-07:00
1789180680000,0.0,0.0,0,0,1,198,72.1,82,,66.29,29.78,29.8738,0,0,10256,9230400,72.86,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 19:38:00-07:00
1789179780000,0.0,0.0,0,0,1,198,72.5,82,,66.68,29.78,29.8737,0,0,10256,9230400,73.3,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 19:23:00-07:00
1789178880000,0.0,0.0,0,0,1,198,73.0,82,,67.17,29.78,29.8736,2,1800,10254,9230400,73.85,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 19:08:00-07:00
1789177980000,0.0,1.3422,0,0,1,198,73.6,82,4.32,67.75,29.78,29.8735,6,5400,10248,9228600,74.51,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 18:53:00-07:00
1789177080000,0.2237,1.5659,0,0,1,198,74.3,81,,68.08,29.78,29.8734,10,9000,10238,9223200,75.24,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 18:38:00-07:00
1789176180000,0.6711,2.0132,0,0,1,198,75.7,78,,68.34,29.78,29.8731,14,12600,10224,9214200,76.64,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 18:23:00-07:00
1789175280000,0.2237,2.0132,0,0,1,198,75.9,75,,67.39,29.78,29.8731,20,18000,10204,9201600,76.72,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 18:08:00-07:00
1789174380000,0.8948,2.6843,0,0,1,198,75.4,79,4.34,68.42,29.78,29.8732,24,21600,10180,9183600,76.35,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 17:53:00-07:00
1789173480000,1.3422,2.4606,0,0,1,198,76.3,75,,67.78,29.79,29.8831,30,27000,10150,9162000,77.16,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 17:38:00-07:00
1789172580000,0.2237,2.4606,0,0,1,198,75.7,76,,67.58,29.79,29.8832,32,28800,10118,9135000,76.54,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 17:23:00-07:00
1789171680000,1.5659,3.1317,0,0,1,198,75.2,80,,68.59,29.79,29.8832,37,33300,10081,9106200,76.18,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 17:08:00-07:00
1789170720000,2.0132,2.908,0,0,1,198,75.4,81,4.35,69.15,29.79,29.8832,38,34200,10043,9072900,76.45,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 16:52:00-07:00
1789169880000,2.2369,3.5791,0,0,1,198,75.4,79,,68.42,29.79,29.8832,54,48600,9989,9038700,76.35,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 16:38:00-07:00
1789168980000,2.2369,3.5791,0,0,1,198,75.4,80,,68.79,29.8,29.8932,49,44100,9940,8990100,76.4,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 16:23:00-07:00
1789168080000,1.1185,3.5791,0,0,1,198,75.7,78,,68.34,29.81,29.9032,49,44100,9891,8946000,76.64,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 16:08:00-07:00
1789167180000,1.3422,3.8028,0,0,1,198,76.3,75,4.37,67.78,29.81,29.9031,53,47700,9838,8901900,77.16,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 15:53:00-07:00
1789166280000,2.2369,4.0265,0,0,1,198,77.4,67,,65.56,29.81,29.9029,65,58500,9773,8854200,77.99,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 15:38:00-07:00
1789165380000,1.5659,3.5791,0,0,1,198,77.2,71,,67.05,29.82,29.913,354,318600,9419,8795700,77.96,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 15:23:00-07:00
1789164480000,2.4606,4.2502,0,0,1,198,76.5,76,,68.36,29.83,29.9231,517,465300,8902,8477100,77.42,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 15:08:00-07:00
1789163580000,2.6843,4.0265,0,0,1,198,76.8,75,4.39,68.26,29.83,29.9231,125,112500,8777,8011800,77.71,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 14:53:00-07:00
1789162680000,2.2369,4.0265,0,0,1,198,77.9,70,,67.31,29.84,29.9329,91,81900,8686,7899300,78.68,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 14:38:00-07:00
1789161780000,2.4606,3.8028,0,0,1,198,78.1,70,,67.5,29.84,29.9329,409,368100,8277,7817400,78.9,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 14:23:00-07:00
1789160880000,2.6843,4.6976,0,0,1,198,78.6,70,,67.98,29.85,29.9428,737,663300,7540,7449300,79.45,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 14:08:00-07:00
1789159980000,2.4606,3.5791,0,0,1,198,78.8,70,4.49,68.17,29.85,29.9428,754,678600,6786,6786000,79.67,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 13:53:00-07:00
1789159080000,2.0132,4.0265,0,0,1,198,79.0,71,,68.77,29.85,29.9428,767,690300,6019,6107400,79.94,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 13:38:00-07:00
1789158180000,2.0132,4.2502,0,0,1,198,78.4,73,,69.01,29.86,29.9529,775,697500,5244,5417100,79.37,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 13:23:00-07:00
1789157280000,2.2369,3.8028,0,0,1,198,78.1,74,,69.12,29.86,29.953,778,700200,4466,4719600,79.09,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 13:08:00-07:00
1789156380000,2.908,4.2502,0,0,1,198,76.8,77,4.5,69.03,29.87,29.9632,777,699300,3689,4019400,77.8,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 12:53:00-07:00
1789155480000,3.1317,3.8028,0,0,1,198,76.6,75,,68.07,29.87,29.9633,773,695700,2916,3320100,77.48,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 12:38:00-07:00
1789154580000,2.6843,4.0265,0,0,1,198,78.1,70,,67.5,29.88,29.973,450,405000,2466,2624400,78.9,2026-09-08T22:23:00.000Z,2026-09-11,,,2026-09-11 12:23:00-07:00
