dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,date,batt1volts,tz,historical,local_time
1748501400000,2.0132,6.2634,0,0,1,106,58.1,86,29.96,30.0336,0,0,10282,9253800,58.1,53.93,2025-05-28,,,,2025-05-28 23:50:00-07:00
1748500500000,1.1185,5.145,0,0,1,107,57.7,87,29.96,30.0336,0,0,10282,9253800,57.7,53.86,2025-05-28,4.29,,,2025-05-28 23:35:00-07:00
1748499600000,0.0,2.0132,0,0,1,107,57.7,87,29.96,30.0336,0,0,10282,9253800,57.7,53.86,2025-05-28,,,,2025-05-28 23:20:00-07:00
1748498700000,0.0,0.0,0,0,1,107,57.7,87,29.96,30.0336,0,0,10282,9253800,57.7,53.86,2025-05-28,,,,2025-05-28 23:05:00-07:00
1748497800000,0.0,1.7895,0,0,1,107,57.9,87,29.96,30.0336,0,0,10282,9253800,57.9,54.05,2025-05-28,,,,2025-05-28 22:50:00-07:00
1748496900000,0.6711,5.145,0,0,1,107,57.9,87,29.96,30.0336,0,0,10282,9253800,57.9,54.05,2025-05-28,4.3,,,2025-05-28 22:35:00-07:00
1748496000000,0.6711,5.5923,0,0,1,107,57.9,87,29.95,30.0236,0,0,10282,9253800,57.9,54.05,2025-05-28,,,,2025-05-28 22:20:00-07:00
1748495100000,0.6711,4.2502,0,0,1,107,58.1,87,29.94,30.0135,0,0,10282,9253800,58.1,54.25,2025-05-28,,,,2025-05-28 22:05:00-07:00
1748494200000,0.4474,4.4739,0,0,1,109,58.1,86,29.94,30.0135,0,0,10282,9253800,58.1,53.93,2025-05-28,,,,2025-05-28 21:50:00-07:00
1748493300000,1.1185,5.145,0,0,1,88,58.1,86,29.93,30.0035,0,0,10282,9253800,58.1,53.93,2025-05-28,4.31,,,2025-05-28 21:35:00-07:00
1748492400000,1.1185,4.0265,0,0,1,59,58.3,85,29.93,30.0035,0,0,10282,9253800,58.3,53.81,2025-05-28,,,,2025-05-28 21:20:00-07:00
1748491500000,0.8948,4.0265,0,0,1,61,58.5,85,29.93,30.0034,0,0,10282,9253800,58.5,54.0,2025-05-28,,,,2025-05-28 21:05:00-07:00
1748490600000,1.7895,6.2634,0,0,1,95,58.6,84,29.93,30.0034,0,0,10282,9253800,58.6,53.78,2025-05-28,,,,2025-05-28 20:50:00-07:00
1748489700000,1.7895,7.1582,0,0,1,75,59.0,83,29.93,30.0034,0,0,10282,9253800,59.0,53.84,2025-05-28,4.31,,,2025-05-28 20:35:00-07:00
1748488800000,2.2369,6.9345,0,0,1,118,59.4,82,29.92,29.9933,1,900,10281,9253800,59.4,53.9,2025-05-28,,,,2025-05-28 20:20:00-07:00
1748487900000,1.3422,6.0397,0,0,1,45,59.7,80,29.92,29.9932,7,6300,10274,9252900,59.7,53.52,2025-05-28,,,,2025-05-28 20:05:00-07:00
1748487000000,2.0132,8.5004,0,0,1,107,60.3,78,29.92,29.9931,17,15300,10257,9246600,60.3,53.41,2025-05-28,,,,2025-05-28 19:50:00-07:00
1748486100000,2.0132,6.9345,0,0,1,89,61.0,76,29.91,29.983,39,35100,10218,9231300,61.0,53.38,2025-05-28,4.32,,,2025-05-28 19:35:00-07:00
1748485200000,1.7895,5.816,0,0,1,62,61.5,75,29.91,29.983,64,57600,10154,9196200,61.5,53.5,2025-05-28,,,,2025-05-28 19:20:00-07:00
1748484300000,2.6843,7.3819,0,0,1,124,62.2,75,29.91,29.9829,116,104400,9714,8847000,62.2,54.17,2025-05-28,,,,2025-05-28 19:05:00-07:00
1748483400000,4.9213,9.1714,0,0,1,122,62.4,75,29.9,29.9728,146,131400,9830,9034200,62.4,54.37,2025-05-28,,America/Los_Angeles,True,2025-05-28 18:50:00-07:00
1748482500000,5.145,8.7241,0,0,1,124,63.5,73,29.9,29.9727,178,160200,9830,8902800,63.5,54.69,2025-05-28,,America/Los_Angeles,True,2025-05-28 18:35:00-07:00
1748481600000,2.4606,7.8293,0,0,1,123,64.2,71,29.9,29.9726,264,237600,9450,8742600,64.2,54.59,2025-05-28,,,,2025-05-28 18:20:00-07:00
