dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,lastRain,date,batt1volts,tz,historical,local_time
1788504780000,0.0,0.0,0,0,1,356,64.8,72,55.56,29.88,29.9754,0,0,11665,10498500,64.8,2026-06-12T17:37:00.000Z,2026-09-03,,,,2026-09-03 23:53:00-07:00
1788503880000,0.0,1.1185,0,0,1,356,64.9,70,54.88,29.88,29.9754,0,0,11665,10498500,64.9,2026-06-12T17:37:00.000Z,2026-09-03,,,,2026-09-03 23:38:00-07:00
1788502980000,0.0,0.0,0,0,1,356,65.3,69,54.86,29.88,29.9753,0,0,11665,10498500,65.3,2026-06-12T17:37:00.000Z,2026-09-03,4.3,,,2026-09-03 23:23:00-07:00
1788502080000,0.0,0.0,0,0,1,356,65.8,69,55.34,29.88,29.9752,0,0,11665,10498500,65.8,2026-06-12T17:37:00.000Z,2026-09-03,,,,2026-09-03 23:08:00-07:00
1788501180000,0.0,1.5659,0,0,1,356,66.2,68,55.32,29.88,29.9751,0,0,11665,10498500,66.2,2026-06-12T17:37:00.000Z,2026-09-03,,,,2026-09-03 22:53:00-07:00
1788500280000,0.0,0.0,0,0,1,356,66.7,66,54.97,29.88,29.975,0,0,11665,10498500,66.7,2026-06-12T17:37:00.000Z,2026-09-03,,,,2026-09-03 22:38:00-07:00
1788499380000,0.0,0.0,0,0,1,356,67.6,64,54.98,29.88,29.9749,0,0,11665,10498500,67.6,2026-06-12T17:37:00.000Z,2026-09-03,4.31,,,2026-09-03 22:23:00-07:00
1788498480000,0.0,0.0,0,0,1,356,68.2,63,55.11,29.88,29.9748,0,0,11665,10498500,67.68,,2026-09-03,,America/Los_Angeles,True,2026-09-03 22:08:00-07:00
1788497580000,1.1185,4.6976,0,0,1,356,69.8,60,55.28,29.88,29.9745,0,0,11665,10498500,69.3,2026-06-12T17:37:00.000Z,2026-09-03,,,,2026-09-03 21:53:00-07:00
1788496680000,2.908,6.4871,0,0,1,357,69.6,62,55.99,29.87,29.9645,0,0,11665,10498500,69.17,2026-06-12T17:37:00.000Z,2026-09-03,,,,2026-09-03 21:38:00-07:00
1788495780000,2.4606,4.0265,0,0,1,358,69.3,65,57.02,29.87,29.9645,0,0,11665,10498500,68.99,2026-06-12T17:37:00.000Z,2026-09-03,4.31,,,2026-09-03 21:23:00-07:00
1788494880000,1.1185,5.5923,0,0,1,298,67.3,76,59.47,29.87,29.9649,0,0,11665,10498500,67.3,2026-06-12T17:37:00.000Z,2026-09-03,,,,2026-09-03 21:08:00-07:00
1788493980000,0.0,0.0,0,0,1,205,67.1,82,61.41,29.87,29.9649,0,0,11665,10498500,67.1,2026-06-12T17:37:00.000Z,2026-09-03,,,,2026-09-03 20:53:00-07:00
1788493080000,0.0,0.0,0,0,1,205,67.6,81,61.55,29.86,29.9548,0,0,11665,10498500,67.6,2026-06-12T17:37:00.000Z,2026-09-03,,,,2026-09-03 20:38:00-07:00
1788492180000,0.0,0.0,0,0,1,205,68.2,81,62.14,29.86,29.9547,0,0,11665,10498500,68.53,2026-06-12T17:37:00.000Z,2026-09-03,4.32,,,2026-09-03 20:23:00-07:00
1788491280000,0.0,0.0,0,0,1,205,68.7,80,62.27,29.86,29.9546,0,0,11665,10498500,69.03,2026-06-12T17:37:00.000Z,2026-09-03,,,,2026-09-03 20:08:00-07:00
