dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,lastRain,date,batt1volts,tz,historical,local_time
1770018720000,0.0,0.0,0,0,1,224,52.9,92,50.64,30.02,30.1181,0,0,5829,5246100,52.9,2026-01-12T19:41:00.000Z,2026-02-01,,,,2026-02-01 23:52:00-08:00
1770017820000,0.0,0.0,0,0,1,224,52.9,91,50.34,30.02,30.1181,0,0,5829,5246100,52.9,2026-01-12T19:41:00.000Z,2026-02-01,,,,2026-02-01 23:37:00-08:00
1770016920000,0.0,1.3422,0,0,1,224,53.1,90,50.24,30.03,30.1281,0,0,5829,5246100,53.1,2026-01-12T19:41:00.000Z,2026-02-01,4.29,,,2026-02-01 23:22:00-08:00
1770016020000,0.0,0.0,0,0,1,224,53.4,89,50.24,30.03,30.128,0,0,5829,5246100,53.4,2026-01-12T19:41:00.000Z,2026-02-01,,,,2026-02-01 23:07:00-08:00
1770015120000,0.0,0.0,0,0,1,224,54.1,87,50.32,30.02,30.1178,0,0,5829,5246100,54.1,2026-01-12T19:41:00.000Z,2026-02-01,,,,2026-02-01 22:52:00-08:00
1770014220000,0.0,0.0,0,0,1,224,54.7,86,50.59,30.02,30.1177,0,0,5829,5246100,54.7,2026-01-12T19:41:00.000Z,2026-02-01,,,,2026-02-01 22:37:00-08:00
1770013320000,0.0,0.0,0,0,1,224,54.7,87,50.91,30.02,30.1177,0,0,5829,5246100,54.7,2026-01-12T19:41:00.000Z,2026-02-01,4.29,,,2026-02-01 22:22:00-08:00
1770012420000,0.0,0.0,0,0,1,224,54.7,88,51.22,30.02,30.1177,0,0,5829,5246100,54.7,2026-01-12T19:41:00.000Z,2026-02-01,,,,2026-02-01 22:07:00-08:00
1770011520000,0.0,0.0,0,0,1,224,54.9,89,51.72,30.02,30.1177,0,0,5829,5246100,54.9,2026-01-12T19:41:00.000Z,2026-02-01,,,,2026-02-01 21:52:00-08:00
1770010620000,0.0,0.0,0,0,1,224,54.5,90,51.63,30.02,30.1178,0,0,5829,5246100,54.5,2026-01-12T19:41:00.000Z,2026-02-01,,,,2026-02-01 21:37:00-08:00
1770009720000,0.0,0.0,0,0,1,224,54.7,91,52.12,30.02,30.1177,0,0,5829,5246100,54.7,2026-01-12T19:41:00.000Z,2026-02-01,4.3,,,2026-02-01 21:22:00-08:00
1770008820000,0.0,0.0,0,0,1,224,55.2,91,52.62,30.02,30.1176,0,0,5829,5246100,55.2,2026-01-12T19:41:00.000Z,2026-02-01,,,,2026-02-01 21:07:00-08:00
1770007920000,0.0,0.0,0,0,1,224,55.0,91,52.42,30.02,30.1177,0,0,5829,5246100,55.0,2026-01-12T19:41:00.000Z,2026-02-01,,,,2026-02-01 20:52:00-08:00
