dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,lastRain,date,batt1volts,local_time
1789282260000,0.6711,2.4606,0,0,1,4,64.4,85,59.79,29.88,29.9525,0,0,22604,20343600,64.4,2026-09-08T22:06:00.000Z,2026-09-12,,2026-09-12 23:51:00-07:00
1789281360000,0.0,2.2369,0,0,1,4,64.9,85,60.28,29.88,29.9524,0,0,22604,20343600,64.9,2026-09-08T22:06:00.000Z,2026-09-12,,2026-09-12 23:36:00-07:00
1789280460000,0.8948,2.2369,0,0,1,4,65.3,84,60.34,29.88,29.9524,0,0,22604,20343600,65.3,2026-09-08T22:06:00.000Z,2026-09-12,4.27,2026-09-12 23:21:00-07:00
1789279560000,0.4474,2.4606,0,0,1,4,65.7,84,60.73,29.88,29.9523,0,0,22604,20343600,65.7,2026-09-08T22:06:00.000Z,2026-09-12,,2026-09-12 23:06:00-07:00
1789278660000,0.0,2.0132,0,0,1,11,66.0,83,60.68,29.87,29.9422,0,0,22604,20343600,66.0,2026-09-08T22:06:00.000Z,2026-09-12,,2026-09-12 22:51:00-07:00
1789277760000,0.0,0.0,0,0,1,57,66.2,83,60.88,29.87,29.9422,0,0,22604,20343600,66.2,2026-09-08T22:06:00.000Z,2026-09-12,,2026-09-12 22:36:00-07:00
1789276860000,0.0,0.0,0,0,1,57,66.7,84,61.71,29.86,29.9321,0,0,22604,20343600,66.7,2026-09-08T22:06:00.000Z,2026-09-12,4.28,2026-09-12 22:21:00-07:00
1789275960000,0.0,2.0132,0,0,1,69,66.7,83,61.37,29.87,29.9421,0,0,22604,20343600,66.7,2026-09-08T22:06:00.000Z,2026-09-12,,2026-09-12 22:06:00-07:00
1789275060000,0.2237,1.7895,0,0,1,75,67.3,83,61.95,29.86,29.932,0,0,22604,20343600,67.3,2026-09-08T22:06:00.000Z,2026-09-12,,2026-09-12 21:51:00-07:00
1789274160000,0.2237,2.6843,0,0,1,75,67.6,82,61.9,29.85,29.922,0,0,22604,20343600,67.6,2026-09-08T22:06:00.000Z,2026-09-12,,2026-09-12 21:36:00-07:00
1789273260000,0.0,1.1185,0,0,1,94,68.4,81,62.33,29.85,29.9219,0,0,22604,20343600,68.75,2026-09-08T22:06:00.000Z,2026-09-12,4.26,2026-09-12 21:21:00-07:00
1789272360000,0.2237,2.6843,0,0,1,113,69.1,81,63.02,29.85,29.9218,0,0,22604,20343600,69.52,2026-09-08T22:06:00.000Z,2026-09-12,,2026-09-12 21:06:00-07:00
1789271460000,0.8948,3.8028,0,0,1,113,69.1,81,63.02,29.84,29.9117,0,0,22604,20343600,69.52,2026-09-08T22:06:00.000Z,2026-09-12,,2026-09-12 20:51:00-07:00
1789270560000,0.8948,5.3686,0,0,1,60,69.3,79,62.5,29.84,29.9117,0,0,22604,20343600,69.64,2026-09-08T22:06:00.000Z,2026-09-12,,2026-09-12 20:36:00-07:00
1789269660000,0.6711,4.4739,0,0,1,61,69.8,78,62.62,29.83,29.9016,0,0,22604,20343600,70.15,2026-09-08T22:06:00.000Z,2026-09-12,4.29,2026-09-12 20:21:00-07:00
1789268760000,0.2237,3.5791,0,0,1,90,70.2,77,62.64,29.83,29.9016,0,0,22604,20343600,70.54,2026-09-08T22:06:00.000Z,2026-09-12,,2026-09-12 20:06:00-07:00
