dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,feelsLike,date,lastRain,batt1volts,local_time
1783147860000,0.0,0.0,0,0,1,264,56.8,89,53.59,30.0,30.0738,0,0,0,26266500,America/Los_Angeles,True,56.8,2026-07-03,,,2026-07-03 23:51:00-07:00
1783146960000,0.0,0.0,0,0,1,264,57.0,88,53.48,30.01,30.0838,0,0,29185,26266500,,,57.0,2026-07-03,2026-06-06T17:21:00.000Z,,2026-07-03 23:36:00-07:00
1783146060000,0.0,0.0,0,0,1,264,57.6,88,54.07,30.01,30.0838,0,0,29185,26266500,,,57.6,2026-07-03,2026-06-06T17:21:00.000Z,4.27,2026-07-03 23:21:00-07:00
1783145160000,0.0,0.0,0,0,1,264,58.1,88,54.56,30.01,30.0837,0,0,29185,26266500,,,58.1,2026-07-03,2026-06-06T17:21:00.000Z,,2026-07-03 23:06:00-07:00
1783144260000,0.2237,1.7895,0,0,1,264,59.0,87,55.13,30.01,30.0836,0,0,29185,26266500,,,59.0,2026-07-03,2026-06-06T17:21:00.000Z,,2026-07-03 22:51:00-07:00
1783143360000,0.0,1.7895,0,0,1,264,59.4,87,55.53,30.01,30.0835,0,0,29185,26266500,,,59.4,2026-07-03,2026-06-06T17:21:00.000Z,,2026-07-03 22:36:00-07:00
1783142460000,0.6711,2.908,0,0,1,264,59.9,86,55.7,30.01,30.0834,0,0,29185,26266500,,,59.9,2026-07-03,2026-06-06T17:21:00.000Z,4.28,2026-07-03 22:21:00-07:00
1783141560000,0.8948,4.6976,0,0,1,264,59.9,86,55.7,30.01,30.0834,0,0,29185,26266500,,,59.9,2026-07-03,2026-06-06T17:21:00.000Z,,2026-07-03 22:06:00-07:00
1783140660000,4.0265,8.053,0,0,1,264,60.3,86,56.09,30.0,30.0733,0,0,29185,26266500,,,60.3,2026-07-03,2026-06-06T17:21:00.000Z,,2026-07-03 21:51:00-07:00
1783139760000,4.6976,8.7241,0,0,1,258,60.4,86,56.19,29.99,30.0633,0,0,29185,26266500,,,60.4,2026-07-03,2026-06-06T17:21:00.000Z,,2026-07-03 21:36:00-07:00
1783138860000,3.3554,6.0397,0,0,1,283,60.4,85,55.87,29.99,30.0633,0,0,29185,26266500,,,60.4,2026-07-03,2026-06-06T17:21:00.000Z,4.29,2026-07-03 21:21:00-07:00
1783137960000,3.8028,6.9345,0,0,1,277,60.4,85,55.87,29.99,30.0633,0,0,29185,26266500,,,60.4,2026-07-03,2026-06-06T17:21:00.000Z,,2026-07-03 21:06:00-07:00
1783137060000,3.3554,7.3819,0,0,1,280,61.0,85,56.45,29.98,30.0532,0,0,29185,26266500,,,61.0,2026-07-03,2026-06-06T17:21:00.000Z,,2026-07-03 20:51:00-07:00
1783136160000,4.2502,7.8293,0,0,1,274,61.2,84,56.32,29.98,30.0532,1,900,29184,26266500,,,61.2,2026-07-03,2026-06-06T17:21:00.000Z,,2026-07-03 20:36:00-07:00
