dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,lastRain,date,tz,historical,local_time
1746044160000,1.3422,2.6843,0,0,1,219,58.3,89,4.26,30.02,30.117,113,47460,1281,1254600,58.3,55.07,2025-04-26T15:31:00.000Z,2025-04-30,,,2025-04-30 13:16:00-07:00
1746043260000,0.8948,3.1317,0,0,1,218,58.1,90,,30.02,30.1171,114,54720,1394,1255500,58.1,55.18,,2025-04-30,America/Los_Angeles,True,2025-04-30 13:01:00-07:00
1746042360000,1.7895,2.4606,0,0,1,173,57.7,91,,30.03,30.1272,107,44940,1174,1152900,57.7,55.09,2025-04-26T15:31:00.000Z,2025-04-30,,,2025-04-30 12:46:00-07:00
1746041460000,1.7895,2.908,0,0,1,173,57.7,91,4.26,30.03,30.1272,107,51360,1067,1056600,57.7,55.09,2025-04-26T15:31:00.000Z,2025-04-30,,,2025-04-30 12:31:00-07:00
1746040560000,2.0132,3.1317,0,0,1,173,57.7,91,,30.03,30.1272,86,36120,981,960300,57.7,55.09,2025-04-26T15:31:00.000Z,2025-04-30,,,2025-04-30 12:16:00-07:00
1746039660000,2.4606,3.1317,0,0,1,173,58.1,90,,30.04,30.1371,78,37440,903,882900,58.1,55.18,2025-04-26T15:31:00.000Z,2025-04-30,,,2025-04-30 12:01:00-07:00
1746038760000,1.7895,2.908,0,0,1,173,58.5,85,,30.04,30.1371,76,31920,827,812700,58.5,54.0,2025-04-26T15:31:00.000Z,2025-04-30,,,2025-04-30 11:46:00-07:00
1746037860000,0.6711,2.908,0,0,1,173,58.3,86,4.26,30.04,30.1371,65,31200,762,744300,58.3,54.13,2025-04-26T15:31:00.000Z,2025-04-30,,,2025-04-30 11:31:00-07:00
1746036960000,0.6711,2.6843,0,0,1,173,58.1,88,,30.05,30.1472,66,27720,696,685800,58.1,54.56,2025-04-26T15:31:00.000Z,2025-04-30,,,2025-04-30 11:16:00-07:00
1746036060000,0.8948,2.6843,0,0,1,173,58.1,89,,30.05,30.1472,66,31680,630,626400,58.1,54.87,2025-04-26T15:31:00.000Z,2025-04-30,,,2025-04-30 11:01:00-07:00
1746035160000,0.6711,2.908,0,0,1,173,57.9,89,,30.04,30.1372,80,33600,358,394200,57.9,54.68,2025-04-26T15:31:00.000Z,2025-04-30,,,2025-04-30 10:46:00-07:00
1746034260000,0.4474,2.908,0,0,1,173,57.7,89,4.26,30.04,30.1372,74,35520,497,495000,57.7,54.48,,2025-04-30,America/Los_Angeles,True,2025-04-30 10:31:00-07:00
1746033360000,0.4474,2.6843,0,0,1,173,57.6,89,,30.04,30.1372,59,24780,438,428400,57.6,54.38,,2025-04-30,America/Los_Angeles,True,2025-04-30 10:16:00-07:00
