dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,date,tz,historical,batt1volts,local_time
1741618800000,0,0,0,0,1,212,38.1,90,29.95,30.0507,10,1800,0,9000,38.1,35.43,2025-03-10,,,,2025-03-10 08:00:00-07:00
1741617900000,0,0,0,0,1,212,38.1,89,29.95,30.0507,6,1080,10,7200,38.1,35.15,2025-03-10,America/Los_Angeles,True,,2025-03-10 07:45:00-07:00
1741617000000,0,0,0,0,1,212,38.7,89,29.95,30.0506,2,360,10,1800,38.7,35.74,2025-03-10,America/Los_Angeles,True,,2025-03-10 07:30:00-07:00
1741616100000,0,0,0,0,1,212,39.4,89,29.95,30.0505,0,0,10,0,39.4,36.43,2025-03-10,America/Los_Angeles,True,4.02,2025-03-10 07:15:00-07:00
1741615200000,0,0,0,0,1,212,39.7,88,29.95,30.0504,0,0,10,0,39.7,36.44,2025-03-10,America/Los_Angeles,True,,2025-03-10 07:00:00-07:00
1741614300000,0,0,0,0,1,212,39.7,88,29.95,30.0504,0,0,10,0,39.7,36.44,2025-03-10,America/Los_Angeles,True,,2025-03-10 06:45:00-07:00
1741613400000,0,0,0,0,1,212,39.6,88,29.96,30.0605,0,0,10,0,39.6,36.34,2025-03-10,America/Los_Angeles,True,,2025-03-10 06:30:00-07:00
1741612500000,0,0,0,0,1,212,39.4,89,29.96,30.0605,0,0,10,0,39.4,36.43,2025-03-10,America/Los_Angeles,True,4.02,2025-03-10 06:15:00-07:00
1741611600000,0,0,0,0,1,212,39.6,89,29.96,30.0605,0,0,10,0,39.6,36.63,2025-03-10,America/Los_Angeles,True,,2025-03-10 06:00:00-07:00
1741610700000,0,0,0,0,1,212,39.6,89,29.96,30.0605,0,0,10,0,39.6,36.63,2025-03-10,America/Los_Angeles,True,,2025-03-10 05:45:00-07:00
1741609800000,0,0,0,0,1,212,39.7,90,29.97,30.0705,0,0,10,0,39.7,37.01,2025-03-10,America/Los_Angeles,True,,2025-03-10 05:30:00-07:00
1741608900000,0,0,0,0,1,212,39.9,89,29.97,30.0705,0,0,10,0,39.9,36.93,2025-03-10,America/Los_Angeles,True,4.03,2025-03-10 05:15:00-07:00
1741608000000,0,0,0,0,1,212,40.3,89,29.97,30.0704,0,0,10,0,40.3,37.32,2025-03-10,America/Los_Angeles,True,,2025-03-10 05:00:00-07:00
1741607100000,0,0,0,0,1,212,40.3,90,29.98,30.0804,0,0,10,0,40.3,37.6,2025-03-10,America/Los_Angeles,True,,2025-03-10 04:45:00-07:00
1741606200000,0,0,0,0,1,212,40.1,91,29.98,30.0804,0,0,10,0,40.1,37.69,2025-03-10,America/Los_Angeles,True,,2025-03-10 04:30:00-07:00
1741605300000,0,0,0,0,1,212,40.1,92,29.98,30.0804,0,0,10,0,40.1,37.97,2025-03-10,America/Los_Angeles,True,4.03,2025-03-10 04:15:00-07:00
1741604400000,0,0,0,0,1,212,40.1,93,29.98,30.0804,0,0,10,0,40.1,38.24,2025-03-10,America/Los_Angeles,True,,2025-03-10 04:00:00-07:00
1741603500000,0,0,0,0,1,212,40.3,92,29.99,30.0904,0,0,10,0,40.3,38.16,2025-03-10,America/Los_Angeles,True,,2025-03-10 03:45:00-07:00
1741602600000,0,0,0,0,1,212,40.5,93,30.0,30.1004,0,0,10,0,40.5,38.64,2025-03-10,America/Los_Angeles,True,,2025-03-10 03:30:00-07:00
1741601700000,0,0,0,0,1,212,40.6,93,30.0,30.1004,0,0,10,0,40.6,38.74,2025-03-10,America/Los_Angeles,True,4.03,2025-03-10 03:15:00-07:00
1741600800000,0,0,0,0,1,212,40.6,92,30.01,30.1104,0,0,10,0,40.6,38.46,2025-03-10,America/Los_Angeles,True,,2025-03-10 03:00:00-07:00
1741599900000,0,0,0,0,1,212,40.8,90,30.01,30.1104,0,0,10,0,40.8,38.1,2025-03-10,America/Los_Angeles,True,,2025-03-10 02:45:00-07:00
1741599000000,0,0,0,0,1,212,41.2,91,30.02,30.1204,0,0,10,0,41.2,38.78,2025-03-10,America/Los_Angeles,True,,2025-03-10 02:30:00-07:00
1741598100000,0,0,0,0,1,212,41.4,90,30.02,30.1203,0,0,10,0,41.4,38.69,2025-03-10,America/Los_Angeles,True,4.03,2025-03-10 02:15:00-07:00
1741597200000,0,0,0,0,1,212,41.5,88,30.03,30.1303,0,0,10,0,41.5,38.22,2025-03-10,America/Los_Angeles,True,,2025-03-10 02:00:00-07:00
1741596300000,0,0,0,0,1,212,41.9,88,30.04,30.1403,0,0,10,0,41.9,38.61,2025-03-10,America/Los_Angeles,True,,2025-03-10 01:45:00-07:00
1741595400000,0,0,0,0,1,212,42.1,88,30.04,30.1402,0,0,10,0,42.1,38.81,2025-03-10,America/Los_Angeles,True,,2025-03-10 01:30:00-07:00
1741594500000,0,0,0,0,1,212,42.4,89,30.04,30.1402,0,0,10,0,42.4,39.39,2025-03-10,America/Los_Angeles,True,4.04,2025-03-10 01:15:00-07:00
1741593600000,0,0,0,0,1,212,43.0,88,30.05,30.1501,0,0,10,0,43.0,39.69,2025-03-10,America/Los_Angeles,True,,2025-03-10 01:00:00-07:00
1741592700000,0,0,0,0,1,212,43.3,87,30.05,30.15,0,0,10,0,43.3,39.7,2025-03-10,America/Los_Angeles,True,,2025-03-10 00:45:00-07:00
1741591800000,0,0,0,0,1,212,43.5,86,30.06,30.16,0,0,10,0,43.5,39.59,2025-03-10,America/Los_Angeles,True,,2025-03-10 00:30:00-07:00
1741590900000,0,0,0,0,1,212,43.9,86,30.06,30.16,0,0,10,0,43.9,39.99,2025-03-10,America/Los_Angeles,True,4.04,2025-03-10 00:15:00-07:00
1741590000000,0,0,0,0,1,212,43.9,87,30.07,30.17,0,0,10,7839900,43.9,40.29,2025-03-10,America/Los_Angeles,True,,2025-03-10 00:00:00-07:00
