dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,feelsLike,date,batt1volts,lastRain,local_time
1783752720000,0.0,0.0,0,0,1,225,56.5,94,54.79,29.89,29.987,0,0,0,8721900,America/Los_Angeles,True,56.5,2026-07-10,,,2026-07-10 23:52:00-07:00
1783751820000,0.0,0.0,0,0,1,225,56.8,93,54.8,29.89,29.9869,0,0,9691,8721900,,,56.8,2026-07-10,4.29,2026-06-12T17:37:00.000Z,2026-07-10 23:37:00-07:00
1783750920000,0.0,0.0,0,0,1,225,56.8,93,54.8,29.89,29.9869,0,0,9691,8721900,,,56.8,2026-07-10,,2026-06-12T17:37:00.000Z,2026-07-10 23:22:00-07:00
1783750020000,0.0,0.0,0,0,1,225,56.8,93,54.8,29.9,29.9969,0,0,9691,8721900,,,56.8,2026-07-10,,2026-06-12T17:37:00.000Z,2026-07-10 23:07:00-07:00
1783749120000,0.0,0.0,0,0,1,225,57.0,93,54.99,29.9,29.9969,0,0,9691,8721900,,,57.0,2026-07-10,,2026-06-12T17:37:00.000Z,2026-07-10 22:52:00-07:00
1783748220000,0.0,0.0,0,0,1,225,57.2,92,54.9,29.89,29.9868,0,0,9691,8721900,,,57.2,2026-07-10,4.29,2026-06-12T17:37:00.000Z,2026-07-10 22:37:00-07:00
1783747320000,0.0,0.0,0,0,1,225,57.9,93,55.89,29.89,29.9867,0,0,9691,8721900,,,57.9,2026-07-10,,2026-06-12T17:37:00.000Z,2026-07-10 22:22:00-07:00
1783746420000,0.0,0.0,0,0,1,225,58.1,93,56.09,29.89,29.9867,0,0,9691,8721900,,,58.1,2026-07-10,,2026-06-12T17:37:00.000Z,2026-07-10 22:07:00-07:00
1783745520000,0.0,0.0,0,0,1,225,58.5,93,56.48,29.89,29.9866,0,0,9691,8721900,,,58.5,2026-07-10,,2026-06-12T17:37:00.000Z,2026-07-10 21:52:00-07:00
1783744620000,0.0,0.0,0,0,1,225,58.6,93,56.58,29.88,29.9765,0,0,9691,8721900,,,58.6,2026-07-10,4.3,2026-06-12T17:37:00.000Z,2026-07-10 21:37:00-07:00
