dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,feelsLike,dewPoint,date,lastRain,batt1volts,local_time
1739864700000,0.0,0.0,0,0,1,170,47.5,88,29.98,30.079,0,0,0,5452200,America/Los_Angeles,True,47.5,44.13,2025-02-17,,,2025-02-17 23:45:00-08:00
1739863800000,0.0,0.0,0,0,1,170,47.7,89,29.98,30.0789,0,0,6058,5452200,,,47.7,44.62,2025-02-17,2025-02-14T20:35:00.000Z,,2025-02-17 23:30:00-08:00
1739862900000,0.0,0.0,0,0,1,170,47.7,87,29.98,30.0789,0,0,6058,5452200,,,47.7,44.02,2025-02-17,2025-02-14T20:35:00.000Z,,2025-02-17 23:15:00-08:00
1739862000000,0.2237,2.0132,0,0,1,170,48.0,86,29.98,30.0789,0,0,6058,5452200,,,48.0,44.01,2025-02-17,2025-02-14T20:35:00.000Z,4.13,2025-02-17 23:00:00-08:00
1739861100000,0.0,1.3422,0,0,1,170,48.4,84,29.98,30.0788,0,0,6058,5452200,,,48.4,43.79,2025-02-17,2025-02-14T20:35:00.000Z,,2025-02-17 22:45:00-08:00
1739860200000,0.0,0.0,0,0,1,170,48.7,83,29.98,30.0787,0,0,6058,5452200,,,48.7,43.77,2025-02-17,2025-02-14T20:35:00.000Z,,2025-02-17 22:30:00-08:00
1739859300000,0.0,1.5659,0,0,1,170,49.5,82,29.98,30.0786,0,0,6058,5452200,,,49.5,44.24,2025-02-17,2025-02-14T20:35:00.000Z,,2025-02-17 22:15:00-08:00
1739858400000,0.0,0.0,0,0,1,170,50.2,82,29.98,30.0785,0,0,6058,5452200,,,50.2,44.92,2025-02-17,2025-02-14T20:35:00.000Z,4.13,2025-02-17 22:00:00-08:00
1739857500000,0.0,1.1185,0,0,1,170,51.4,80,29.98,30.0782,0,0,6058,5452200,,,51.4,45.44,2025-02-17,2025-02-14T20:35:00.000Z,,2025-02-17 21:45:00-08:00
1739856600000,0.0,0.0,0,0,1,170,52.7,77,29.97,30.0679,0,0,6058,5452200,,,52.7,45.69,2025-02-17,2025-02-14T20:35:00.000Z,,2025-02-17 21:30:00-08:00
