dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,date,batt1volts,local_time
1764402600000,0.0,0.0,0,0,1,169,51.1,98,50.55,51.1,30.01,30.1084,0,0,3951,3555900,2025-10-14T14:47:00.000Z,2025-11-28,,2025-11-28 23:50:00-08:00
1764401700000,0.0,0.0,0,0,1,169,51.1,97,50.28,51.1,30.01,30.1084,0,0,3951,3555900,2025-10-14T14:47:00.000Z,2025-11-28,,2025-11-28 23:35:00-08:00
1764400800000,0.0,0.0,0,0,1,169,51.4,97,50.58,51.4,30.02,30.1184,0,0,3951,3555900,2025-10-14T14:47:00.000Z,2025-11-28,,2025-11-28 23:20:00-08:00
1764399900000,0.0,0.0,0,0,1,169,51.8,98,51.25,51.8,30.02,30.1183,0,0,3951,3555900,2025-10-14T14:47:00.000Z,2025-11-28,4.23,2025-11-28 23:05:00-08:00
1764399000000,0.0,0.0,0,0,1,169,51.8,97,50.98,51.8,30.02,30.1183,0,0,3951,3555900,2025-10-14T14:47:00.000Z,2025-11-28,,2025-11-28 22:50:00-08:00
1764398100000,0.0,0.0,0,0,1,169,52.2,97,51.37,52.2,30.03,30.1282,0,0,3951,3555900,2025-10-14T14:47:00.000Z,2025-11-28,,2025-11-28 22:35:00-08:00
1764397200000,0.0,0.0,0,0,1,169,52.5,97,51.67,52.5,30.03,30.1282,0,0,3951,3555900,2025-10-14T14:47:00.000Z,2025-11-28,,2025-11-28 22:20:00-08:00
1764396300000,0.0,0.0,0,0,1,169,52.7,97,51.87,52.7,30.02,30.1181,0,0,3951,3555900,2025-10-14T14:47:00.000Z,2025-11-28,4.24,2025-11-28 22:05:00-08:00
1764395400000,0.0,0.0,0,0,1,169,52.5,97,51.67,52.5,30.02,30.1181,0,0,3951,3555900,2025-10-14T14:47:00.000Z,2025-11-28,,2025-11-28 21:50:00-08:00
1764394500000,0.0,0.0,0,0,1,169,52.2,97,51.37,52.2,30.02,30.1182,0,0,3951,3555900,2025-10-14T14:47:00.000Z,2025-11-28,,2025-11-28 21:35:00-08:00
1764393600000,0.0,0.0,0,0,1,169,52.5,97,51.67,52.5,30.01,30.1081,0,0,3951,3555900,2025-10-14T14:47:00.000Z,2025-11-28,,2025-11-28 21:20:00-08:00
1764392700000,0.0,0.0,0,0,1,169,52.5,97,51.67,52.5,30.01,30.1081,0,0,3951,3555900,2025-10-14T14:47:00.000Z,2025-11-28,4.24,2025-11-28 21:05:00-08:00
1764391800000,0.0,0.0,0,0,1,169,52.5,97,51.67,52.5,30.01,30.1081,0,0,3951,3555900,2025-10-14T14:47:00.000Z,2025-11-28,,2025-11-28 20:50:00-08:00
1764390900000,0.0,0.0,0,0,1,169,52.7,96,51.59,52.7,30.01,30.1081,0,0,3951,3555900,2025-10-14T14:47:00.000Z,2025-11-28,,2025-11-28 20:35:00-08:00
1764390000000,0.0,0.0,0,0,1,169,53.1,96,51.99,53.1,30.01,30.108,0,0,3951,3555900,2025-10-14T14:47:00.000Z,2025-11-28,,2025-11-28 20:20:00-08:00
1764389100000,0.0,0.0,0,0,1,169,53.1,96,51.99,53.1,30.01,30.108,0,0,3951,3555900,2025-10-14T14:47:00.000Z,2025-11-28,4.24,2025-11-28 20:05:00-08:00
1764388200000,0.0,0.0,0,0,1,169,53.4,95,52.0,53.4,30.01,30.1079,0,0,3951,3555900,2025-10-14T14:47:00.000Z,2025-11-28,,2025-11-28 19:50:00-08:00
1764387300000,0.0,0.0,0,0,1,169,54.0,95,52.6,54.0,30.0,30.0978,0,0,3951,3555900,2025-10-14T14:47:00.000Z,2025-11-28,,2025-11-28 19:35:00-08:00
1764386400000,0.0,0.0,0,0,1,169,54.5,95,53.1,54.5,30.01,30.1077,0,0,3951,3555900,2025-10-14T14:47:00.000Z,2025-11-28,,2025-11-28 19:20:00-08:00
1764385500000,0.0,0.0,0,0,1,169,55.2,95,53.79,55.2,30.0,30.0976,0,0,3951,3555900,2025-10-14T14:47:00.000Z,2025-11-28,4.25,2025-11-28 19:05:00-08:00
1764384600000,0.0,0.0,0,0,1,169,55.6,94,53.9,55.6,30.0,30.0975,0,0,3951,3555900,2025-10-14T14:47:00.000Z,2025-11-28,,2025-11-28 18:50:00-08:00
1764383700000,0.0,0.0,0,0,1,169,55.2,92,52.92,55.2,30.0,30.0976,0,0,3951,3555900,2025-10-14T14:47:00.000Z,2025-11-28,,2025-11-28 18:35:00-08:00
1764382800000,0.0,0.0,0,0,1,169,55.6,90,52.71,55.6,30.0,30.0975,0,0,3951,3555900,2025-10-14T14:47:00.000Z,2025-11-28,,2025-11-28 18:20:00-08:00
1764381900000,0.0,0.0,0,0,1,169,56.5,90,53.6,56.5,29.99,30.0873,0,0,3951,3555900,2025-10-14T14:47:00.000Z,2025-11-28,4.25,2025-11-28 18:05:00-08:00
1764381000000,0.0,0.0,0,0,1,169,57.4,89,54.18,57.4,29.99,30.0871,0,0,3951,3555900,2025-10-14T14:47:00.000Z,2025-11-28,,2025-11-28 17:50:00-08:00
1764380100000,0.0,0.0,0,0,1,169,58.3,87,54.45,58.3,29.99,30.0869,0,0,3951,3555900,2025-10-14T14:47:00.000Z,2025-11-28,,2025-11-28 17:35:00-08:00
1764379200000,0.0,0.0,0,0,1,169,59.5,87,55.63,59.5,29.98,30.0767,0,0,3951,3555900,2025-10-14T14:47:00.000Z,2025-11-28,,2025-11-28 17:20:00-08:00
1764378300000,0.0,0.0,0,0,1,169,60.6,87,56.71,60.6,29.98,30.0765,0,0,3951,3555900,2025-10-14T14:47:00.000Z,2025-11-28,4.26,2025-11-28 17:05:00-08:00
