dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,lastRain,date,batt1volts,tz,historical,local_time
1741934940000,2.0132,9.1714,0.0,0.42,1,294,46.6,69,29.98,30.0553,0,0,19241,17316900,46.6,36.98,2025-03-13T18:34:00.000Z,2025-03-13,,,,2025-03-13 23:49:00-07:00
1741934040000,1.1185,5.145,0.0,0.42,1,326,46.4,72,29.98,30.0553,0,0,19241,17316900,46.4,37.87,2025-03-13T18:34:00.000Z,2025-03-13,,,,2025-03-13 23:34:00-07:00
1741933140000,2.0132,5.816,0.0,0.42,1,264,47.7,68,29.98,30.0551,0,0,19241,17316900,47.7,37.66,2025-03-13T18:34:00.000Z,2025-03-13,4.29,,,2025-03-13 23:19:00-07:00
1741932240000,2.6843,6.0397,0.0,0.42,1,245,48.0,66,29.98,30.0551,0,0,19241,17316900,48.0,37.19,2025-03-13T18:34:00.000Z,2025-03-13,,,,2025-03-13 23:04:00-07:00
1741931340000,1.5659,6.2634,0.0,0.42,1,250,48.0,68,29.98,30.0551,0,0,19241,17316900,48.0,37.95,2025-03-13T18:34:00.000Z,2025-03-13,,,,2025-03-13 22:49:00-07:00
1741930440000,0.8948,6.2634,0.0,0.42,1,323,48.4,70,29.98,30.055,0,0,19241,17316900,48.4,39.07,2025-03-13T18:34:00.000Z,2025-03-13,,,,2025-03-13 22:34:00-07:00
1741929540000,1.1185,8.9477,0.0,0.42,1,300,48.9,71,29.98,30.0549,0,0,19241,17316900,48.9,39.92,2025-03-13T18:34:00.000Z,2025-03-13,4.3,,,2025-03-13 22:19:00-07:00
1741928640000,3.5791,11.6321,0.0,0.42,1,300,49.3,70,29.98,30.0549,0,0,19241,17316900,48.38,39.94,2025-03-13T18:34:00.000Z,2025-03-13,,,,2025-03-13 22:04:00-07:00
1741927740000,6.7108,14.5401,0.0,0.42,1,291,49.6,70,29.97,30.0448,0,0,19241,17316900,46.84,40.22,2025-03-13T18:34:00.000Z,2025-03-13,,,,2025-03-13 21:49:00-07:00
1741926840000,9.1714,20.1324,0.0,0.42,1,287,49.6,70,29.96,30.0348,0,0,19241,17316900,45.83,40.22,2025-03-13T18:34:00.000Z,2025-03-13,,,,2025-03-13 21:34:00-07:00
1741925940000,9.6188,16.1059,0.0,0.42,1,283,49.3,71,29.96,30.0348,0,0,19241,17316900,45.3,40.3,2025-03-13T18:34:00.000Z,2025-03-13,4.28,,,2025-03-13 21:19:00-07:00
1741925040000,10.961,17.4481,0.0,0.42,1,273,49.3,71,29.96,30.0348,0,0,19241,17316900,44.86,40.3,2025-03-13T18:34:00.000Z,2025-03-13,,,,2025-03-13 21:04:00-07:00
1741924140000,11.1847,17.8955,0.0,0.42,1,268,49.5,71,29.95,30.0248,0,0,19241,17316900,45.04,40.49,2025-03-13T18:34:00.000Z,2025-03-13,,,,2025-03-13 20:49:00-07:00
1741923240000,11.6321,19.2377,0.0,0.42,1,269,49.6,71,29.95,30.0248,0,0,19241,17316900,45.03,40.59,,2025-03-13,,America/Los_Angeles,True,2025-03-13 20:34:00-07:00
1741922340000,12.9742,19.014,0.0,0.42,1,266,49.8,72,29.94,30.0147,0,0,19241,17316900,44.9,41.14,2025-03-13T18:34:00.000Z,2025-03-13,4.31,,,2025-03-13 20:19:00-07:00
1741921440000,11.1847,18.7903,0.0,0.42,1,269,49.5,72,29.93,30.0047,0,0,19241,17316900,45.04,40.85,2025-03-13T18:34:00.000Z,2025-03-13,,,,2025-03-13 20:04:00-07:00
1741920540000,9.3951,16.5533,0.0,0.42,1,274,49.3,69,29.93,30.0048,0,0,19241,17316900,45.38,39.57,2025-03-13T18:34:00.000Z,2025-03-13,,,,2025-03-13 19:49:00-07:00
1741919640000,6.4871,13.1979,0.0,0.42,1,279,50.0,65,29.92,29.9946,0,0,19241,17316900,50.0,38.7,2025-03-13T18:34:00.000Z,2025-03-13,,,,2025-03-13 19:34:00-07:00
1741918740000,3.3554,10.5136,0.0,0.42,1,293,50.7,63,29.92,29.9945,1,900,19240,17316900,50.7,38.57,2025-03-13T18:34:00.000Z,2025-03-13,4.32,,,2025-03-13 19:19:00-07:00
1741917840000,3.8028,10.5136,0.0,0.42,1,297,51.4,61,29.91,29.9844,9,8100,19231,17316000,51.4,38.41,2025-03-13T18:34:00.000Z,2025-03-13,,,,2025-03-13 19:04:00-07:00
1741916940000,5.3686,17.0007,0.0,0.42,1,286,52.0,62,29.91,29.9843,24,21600,19207,17307900,52.0,39.39,2025-03-13T18:34:00.000Z,2025-03-13,,,,2025-03-13 18:49:00-07:00
1741916040000,4.4739,11.6321,0.0,0.42,1,281,52.9,60,29.91,29.9842,62,55800,19145,17286300,52.9,39.4,2025-03-13T18:34:00.000Z,2025-03-13,,,,2025-03-13 18:34:00-07:00
1741915140000,3.8028,14.5401,0.0,0.42,1,294,53.6,59,29.9,29.9741,96,86400,19049,17230500,53.6,39.62,2025-03-13T18:34:00.000Z,2025-03-13,4.4,,,2025-03-13 18:19:00-07:00
1741914240000,3.8028,12.5268,0.0,0.42,1,304,54.9,56,29.9,29.9739,165,148500,18884,17144100,54.9,39.5,2025-03-13T18:34:00.000Z,2025-03-13,,,,2025-03-13 18:04:00-07:00
1741913340000,5.145,21.2509,0.0,0.42,1,302,55.6,50,29.89,29.9637,225,202500,18659,16995600,55.6,37.26,2025-03-13T18:34:00.000Z,2025-03-13,,,,2025-03-13 17:49:00-07:00
