dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,date,batt1volts,tz,historical,local_time
1750834200000,0.0,1.1185,0,0,1,227,57.0,87,53.17,57.0,29.96,30.0337,0,0,19081,17172900,2025-06-03T23:50:00.000Z,2025-06-24,,,,2025-06-24 23:50:00-07:00
1750833300000,0.0,1.3422,0,0,1,252,57.2,87,53.36,57.2,29.96,30.0337,0,0,19081,17172900,2025-06-03T23:50:00.000Z,2025-06-24,4.29,,,2025-06-24 23:35:00-07:00
1750832400000,0.0,0.0,0,0,1,262,57.2,87,53.36,57.2,29.96,30.0337,0,0,19081,17172900,2025-06-03T23:50:00.000Z,2025-06-24,,,,2025-06-24 23:20:00-07:00
1750831500000,0.0,0.0,0,0,1,262,57.2,86,53.05,57.2,29.96,30.0337,0,0,19081,17172900,2025-06-03T23:50:00.000Z,2025-06-24,,,,2025-06-24 23:05:00-07:00
1750830600000,0.0,1.3422,0,0,1,262,57.2,86,53.05,57.2,29.96,30.0337,0,0,19081,17172900,2025-06-03T23:50:00.000Z,2025-06-24,,,,2025-06-24 22:50:00-07:00
1750829700000,0.0,1.3422,0,0,1,262,57.0,87,53.17,57.0,29.96,30.0337,0,0,19081,17172900,2025-06-03T23:50:00.000Z,2025-06-24,4.29,,,2025-06-24 22:35:00-07:00
1750828800000,0.0,0.0,0,0,1,262,56.7,88,53.18,56.7,29.96,30.0338,0,0,19081,17172900,2025-06-03T23:50:00.000Z,2025-06-24,,,,2025-06-24 22:20:00-07:00
1750827900000,0.0,0.0,0,0,1,262,56.8,87,52.97,56.8,29.96,30.0337,0,0,19081,17172900,2025-06-03T23:50:00.000Z,2025-06-24,,,,2025-06-24 22:05:00-07:00
1750827000000,0.0,0.0,0,0,1,262,57.4,87,53.56,57.4,29.95,30.0236,0,0,19081,17172900,2025-06-03T23:50:00.000Z,2025-06-24,,,,2025-06-24 21:50:00-07:00
1750826100000,0.0,0.0,0,0,1,262,57.7,87,53.86,57.7,29.95,30.0236,0,0,19081,17172900,2025-06-03T23:50:00.000Z,2025-06-24,4.3,,,2025-06-24 21:35:00-07:00
1750825200000,0.0,0.0,0,0,1,262,57.9,86,53.74,57.9,29.95,30.0236,0,0,19081,17172900,2025-06-03T23:50:00.000Z,2025-06-24,,,,2025-06-24 21:20:00-07:00
1750824300000,0.0,0.0,0,0,1,262,58.3,86,54.13,58.3,29.94,30.0135,0,0,19081,17172900,2025-06-03T23:50:00.000Z,2025-06-24,,,,2025-06-24 21:05:00-07:00
1750823400000,0.0,0.0,0,0,1,262,58.5,84,53.68,58.5,29.94,30.0135,0,0,19081,17172900,2025-06-03T23:50:00.000Z,2025-06-24,,,,2025-06-24 20:50:00-07:00
1750822500000,0.0,1.3422,0,0,1,262,59.2,84,54.37,59.2,29.94,30.0134,0,0,19081,17172900,2025-06-03T23:50:00.000Z,2025-06-24,4.31,,,2025-06-24 20:35:00-07:00
1750821600000,2.0132,3.1317,0,0,1,262,59.7,82,54.19,59.7,29.94,30.0133,3,2700,19078,17172900,2025-06-03T23:50:00.000Z,2025-06-24,,,,2025-06-24 20:20:00-07:00
1750820700000,1.7895,4.6976,0,0,1,262,60.4,81,54.54,60.4,29.94,30.0132,12,10800,19066,17170200,2025-06-03T23:50:00.000Z,2025-06-24,,,,2025-06-24 20:05:00-07:00
1750819800000,3.1317,6.4871,0,0,1,276,61.2,79,54.63,61.2,29.94,30.0131,21,18900,19045,17159400,2025-06-03T23:50:00.000Z,2025-06-24,,,,2025-06-24 19:50:00-07:00
1750818900000,4.2502,7.1582,0,0,1,263,62.1,77,54.8,62.1,29.94,30.0129,60,54000,18985,17140500,2025-06-03T23:50:00.000Z,2025-06-24,4.32,,,2025-06-24 19:35:00-07:00
1750818000000,4.2502,8.2767,0,0,1,269,62.6,76,54.92,62.6,29.94,30.0129,95,85500,18890,17086500,2025-06-03T23:50:00.000Z,2025-06-24,,,,2025-06-24 19:20:00-07:00
1750817100000,5.3686,11.1847,0,0,1,277,63.0,75,54.95,63.0,29.93,30.0028,131,117900,18759,17001000,2025-06-03T23:50:00.000Z,2025-06-24,,,,2025-06-24 19:05:00-07:00
1750816200000,5.5923,11.4084,0,0,1,270,63.7,75,55.62,63.7,29.94,30.0127,171,153900,18588,16883100,2025-06-03T23:50:00.000Z,2025-06-24,,,,2025-06-24 18:50:00-07:00
1750815300000,5.5923,9.8425,0,0,1,264,64.2,74,55.73,64.2,29.93,30.0026,213,191700,18375,16729200,2025-06-03T23:50:00.000Z,2025-06-24,4.33,,,2025-06-24 18:35:00-07:00
1750814400000,5.3686,10.7373,0,0,1,276,64.8,73,55.94,64.8,29.93,30.0025,257,231300,17466,15950700,2025-06-03T23:50:00.000Z,2025-06-24,,,,2025-06-24 18:20:00-07:00
1750813500000,6.2634,11.8558,0,0,1,266,65.1,72,55.84,65.1,29.93,30.0025,303,272700,17723,16306200,,2025-06-24,,America/Los_Angeles,True,2025-06-24 18:05:00-07:00
1750812600000,6.7108,12.3031,0,0,1,263,64.9,73,56.03,64.9,29.93,30.0025,349,314100,17723,16033500,,2025-06-24,4.37,America/Los_Angeles,True,2025-06-24 17:50:00-07:00
1750811700000,7.1582,12.5268,0,0,1,272,65.5,72,56.23,65.5,29.93,30.0024,396,356400,17070,15719400,2025-06-03T23:50:00.000Z,2025-06-24,,,,2025-06-24 17:35:00-07:00
1750810800000,6.7108,12.5268,0,0,1,267,66.2,71,56.51,66.2,29.94,30.0124,442,397800,16628,15363000,2025-06-03T23:50:00.000Z,2025-06-24,,,,2025-06-24 17:20:00-07:00
