dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,date,tz,historical,batt1volts,local_time
1752771660000,0.4474,2.4606,0,0,1,213,61.9,86,57.66,61.9,30.0,30.0963,87,15660,0,78300,2025-04-26T15:31:00.000Z,2025-07-17,,,,2025-07-17 10:01:00-07:00
1752770760000,0.0,0.8948,0,0,1,213,61.3,87,57.39,61.3,30.0,30.0964,72,12960,245,344700,,2025-07-17,America/Los_Angeles,True,,2025-07-17 09:46:00-07:00
1752769860000,0.0,0.0,0,0,1,213,60.8,89,57.53,60.8,30.0,30.0965,59,10620,207,279900,,2025-07-17,America/Los_Angeles,True,,2025-07-17 09:31:00-07:00
1752768960000,0.0,1.1185,0,0,1,213,60.4,90,57.45,60.4,29.99,30.0866,51,9180,207,226800,,2025-07-17,America/Los_Angeles,True,4.24,2025-07-17 09:16:00-07:00
1752768060000,0.0,0.0,0,0,1,213,59.9,91,57.26,59.9,29.99,30.0866,43,7740,207,180900,,2025-07-17,America/Los_Angeles,True,,2025-07-17 09:01:00-07:00
1752767160000,0.2237,1.5659,0,0,1,213,59.7,91,57.07,59.7,29.99,30.0867,38,6840,156,142200,,2025-07-17,America/Los_Angeles,True,,2025-07-17 08:46:00-07:00
1752766260000,0.0,1.1185,0,0,1,213,59.9,91,57.26,59.9,29.98,30.0766,28,5040,135,108000,,2025-07-17,America/Los_Angeles,True,,2025-07-17 08:31:00-07:00
1752765360000,0.0,0.0,0,0,1,213,59.7,91,57.07,59.7,29.98,30.0766,23,4140,135,82800,,2025-07-17,America/Los_Angeles,True,4.24,2025-07-17 08:16:00-07:00
1752764460000,0.0,0.0,0,0,1,213,59.7,91,57.07,59.7,29.98,30.0766,21,3780,96,62100,,2025-07-17,America/Los_Angeles,True,,2025-07-17 08:01:00-07:00
1752763560000,0.4474,2.2369,0,0,1,213,59.5,91,56.87,59.5,29.98,30.0767,17,3060,91,43200,,2025-07-17,America/Los_Angeles,True,,2025-07-17 07:46:00-07:00
1752762660000,0.0,1.1185,0,0,1,213,59.4,91,56.77,59.4,29.97,30.0667,14,2520,88,27900,,2025-07-17,America/Los_Angeles,True,,2025-07-17 07:31:00-07:00
1752761760000,0.0,0.0,0,0,1,213,59.4,91,56.77,59.4,29.97,30.0667,8,1440,88,15300,,2025-07-17,America/Los_Angeles,True,4.23,2025-07-17 07:16:00-07:00
