dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,date,batt1volts,tz,historical,local_time
1748328600000,0.2237,2.0132,0,0,1,72,58.3,88,29.93,30.0035,0,0,27326,24593400,58.3,54.76,2025-05-26,,,,2025-05-26 23:50:00-07:00
1748327700000,0.4474,2.908,0,0,1,72,58.6,87,29.94,30.0134,0,0,27326,24593400,58.6,54.74,2025-05-26,,,,2025-05-26 23:35:00-07:00
1748326800000,0.8948,3.8028,0,0,1,72,58.6,86,29.94,30.0134,0,0,27326,24593400,58.6,54.42,2025-05-26,4.29,,,2025-05-26 23:20:00-07:00
1748325900000,0.4474,2.2369,0,0,1,72,58.6,85,29.93,30.0034,0,0,27326,24593400,58.6,54.1,2025-05-26,,,,2025-05-26 23:05:00-07:00
1748325000000,0.4474,4.0265,0,0,1,75,58.8,84,29.93,30.0034,0,0,27326,24593400,58.8,53.97,2025-05-26,,,,2025-05-26 22:50:00-07:00
1748324100000,1.3422,3.5791,0,0,1,133,58.5,82,29.93,30.0034,0,0,27326,24593400,58.5,53.02,2025-05-26,,America/Los_Angeles,True,2025-05-26 22:35:00-07:00
1748323200000,1.1185,5.3686,0,0,1,133,58.6,84,29.93,30.0034,0,0,27326,24593400,58.6,53.78,2025-05-26,4.3,,,2025-05-26 22:20:00-07:00
1748322300000,0.2237,3.1317,0,0,1,133,58.6,85,29.92,29.9934,0,0,27326,24593400,58.6,54.1,2025-05-26,,,,2025-05-26 22:05:00-07:00
1748321400000,1.1185,4.0265,0,0,1,133,59.0,85,29.91,29.9833,0,0,27326,24593400,59.0,54.49,2025-05-26,,,,2025-05-26 21:50:00-07:00
1748320500000,2.4606,5.5923,0,0,1,133,59.4,85,29.91,29.9833,0,0,27326,24593400,59.4,54.89,2025-05-26,,,,2025-05-26 21:35:00-07:00
1748319600000,2.908,5.816,0,0,1,114,59.2,83,29.91,29.9833,0,0,27326,24593400,59.2,54.04,2025-05-26,4.31,,,2025-05-26 21:20:00-07:00
