dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,date,batt1volts,local_time
1757746020000,0.0,0.0,0,0,1,210,63.5,93,61.44,63.5,29.9,29.9957,0,0,0,4954500,America/Los_Angeles,True,2025-09-12,,2025-09-12 23:47:00-07:00
1757745120000,0.0,0.0,0,0,1,210,63.1,92,60.74,63.1,29.9,29.9958,0,0,0,4954500,America/Los_Angeles,True,2025-09-12,,2025-09-12 23:32:00-07:00
1757744220000,0.0,0.0,0,0,1,210,63.1,91,60.43,63.1,29.9,29.9958,0,0,0,4954500,America/Los_Angeles,True,2025-09-12,4.31,2025-09-12 23:17:00-07:00
1757743320000,0.0,0.0,0,0,1,210,63.1,90,60.12,63.1,29.91,30.0058,0,0,0,4954500,America/Los_Angeles,True,2025-09-12,,2025-09-12 23:02:00-07:00
1757742420000,0.0,0.0,0,0,1,210,63.3,90,60.31,63.3,29.91,30.0058,0,0,0,4954500,America/Los_Angeles,True,2025-09-12,,2025-09-12 22:47:00-07:00
1757741520000,0.0,0.0,0,0,1,210,63.7,90,60.71,63.7,29.91,30.0057,0,0,0,4954500,America/Los_Angeles,True,2025-09-12,,2025-09-12 22:32:00-07:00
1757740620000,0.0,0.0,0,0,1,210,63.7,89,60.39,63.7,29.91,30.0057,0,0,0,4954500,America/Los_Angeles,True,2025-09-12,4.31,2025-09-12 22:17:00-07:00
1757739720000,0.0,0.0,0,0,1,210,63.9,89,60.59,63.9,29.91,30.0056,0,0,0,4954500,America/Los_Angeles,True,2025-09-12,,2025-09-12 22:02:00-07:00
1757738820000,0.0,0.0,0,0,1,210,64.2,88,60.57,64.2,29.91,30.0056,0,0,0,4954500,America/Los_Angeles,True,2025-09-12,,2025-09-12 21:47:00-07:00
1757737920000,0.0,0.0,0,0,1,210,64.4,89,61.08,64.4,29.9,29.9955,0,0,0,4954500,America/Los_Angeles,True,2025-09-12,,2025-09-12 21:32:00-07:00
1757737020000,0.0,0.0,0,0,1,210,64.6,89,61.28,64.6,29.9,29.9955,0,0,0,4954500,America/Los_Angeles,True,2025-09-12,4.33,2025-09-12 21:17:00-07:00
1757736120000,0.6711,2.0132,0,0,1,210,64.8,89,61.48,64.8,29.9,29.9955,0,0,0,4954500,America/Los_Angeles,True,2025-09-12,,2025-09-12 21:02:00-07:00
1757735220000,0.0,0.0,0,0,1,210,65.1,88,61.45,65.1,29.9,29.9954,0,0,0,4954500,America/Los_Angeles,True,2025-09-12,,2025-09-12 20:47:00-07:00
1757734320000,0.0,0.0,0,0,1,210,65.5,87,61.52,65.5,29.9,29.9953,0,0,0,4954500,America/Los_Angeles,True,2025-09-12,,2025-09-12 20:32:00-07:00
1757733420000,0.0,0.0,0,0,1,210,65.8,87,61.82,65.8,29.9,29.9953,0,0,0,4954500,America/Los_Angeles,True,2025-09-12,4.33,2025-09-12 20:17:00-07:00
1757732520000,0.0,0.0,0,0,1,210,66.2,87,62.21,66.2,29.9,29.9952,0,0,0,4954500,America/Los_Angeles,True,2025-09-12,,2025-09-12 20:02:00-07:00
