dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,date,tz,historical,batt1volts,local_time
1741007700000,2.0132,6.0397,0,0,1,225,49.8,72,30.08,30.1789,0,0,0,0,49.8,41.14,2025-03-03,,,,2025-03-03 05:15:00-08:00
1741006800000,2.4606,6.0397,0,0,1,228,49.8,72,30.08,30.1789,0,0,0,0,49.8,41.14,2025-03-03,America/Los_Angeles,True,,2025-03-03 05:00:00-08:00
1741005900000,2.6843,5.816,0,0,1,229,50.0,70,30.08,30.1788,0,0,0,0,50.0,40.61,2025-03-03,America/Los_Angeles,True,,2025-03-03 04:45:00-08:00
1741005000000,2.4606,5.5923,0,0,1,237,50.0,69,30.08,30.1788,0,0,0,0,50.0,40.24,2025-03-03,America/Los_Angeles,True,4.08,2025-03-03 04:30:00-08:00
1741004100000,2.2369,5.145,0,0,1,253,50.0,71,30.09,30.1889,0,0,0,0,50.0,40.97,2025-03-03,America/Los_Angeles,True,,2025-03-03 04:15:00-08:00
1741003200000,1.5659,5.145,0,0,1,232,50.2,70,30.08,30.1788,0,0,0,0,50.2,40.8,2025-03-03,America/Los_Angeles,True,,2025-03-03 04:00:00-08:00
1741002300000,1.7895,6.2634,0,0,1,282,50.0,68,30.09,30.1889,0,0,0,0,50.0,39.86,2025-03-03,America/Los_Angeles,True,,2025-03-03 03:45:00-08:00
1741001400000,0.2237,4.2502,0,0,1,6,50.0,68,30.09,30.1889,0,0,0,0,50.0,39.86,2025-03-03,America/Los_Angeles,True,4.08,2025-03-03 03:30:00-08:00
1741000500000,0.6711,5.145,0,0,1,352,50.0,69,30.09,30.1889,0,0,0,0,50.0,40.24,2025-03-03,America/Los_Angeles,True,,2025-03-03 03:15:00-08:00
1740999600000,0.4474,3.1317,0,0,1,225,50.0,70,30.09,30.1889,0,0,0,0,50.0,40.61,2025-03-03,America/Los_Angeles,True,,2025-03-03 03:00:00-08:00
1740998700000,0.8948,4.4739,0,0,1,281,50.0,71,30.09,30.1889,0,0,0,0,50.0,40.97,2025-03-03,America/Los_Angeles,True,,2025-03-03 02:45:00-08:00
1740997800000,0.8948,4.6976,0,0,1,294,50.0,72,30.09,30.1889,0,0,0,0,50.0,41.33,2025-03-03,America/Los_Angeles,True,4.08,2025-03-03 02:30:00-08:00
1740996900000,1.1185,4.9213,0,0,1,308,50.4,71,30.08,30.1787,0,0,0,0,50.4,41.36,2025-03-03,America/Los_Angeles,True,,2025-03-03 02:15:00-08:00
1740996000000,1.1185,4.0265,0,0,1,292,50.5,69,30.08,30.1787,0,0,0,0,50.5,40.71,2025-03-03,America/Los_Angeles,True,,2025-03-03 02:00:00-08:00
1740995100000,1.5659,4.2502,0,0,1,308,50.5,69,30.08,30.1787,0,0,0,0,50.5,40.71,2025-03-03,America/Los_Angeles,True,,2025-03-03 01:45:00-08:00
1740994200000,1.3422,7.8293,0,0,1,357,50.5,68,30.08,30.1787,0,0,0,0,50.5,40.34,2025-03-03,America/Los_Angeles,True,4.08,2025-03-03 01:30:00-08:00
1740993300000,1.5659,8.053,0,0,1,0,50.7,67,30.08,30.1787,0,0,0,0,50.7,40.15,2025-03-03,America/Los_Angeles,True,,2025-03-03 01:15:00-08:00
1740992400000,2.4606,7.1582,0,0,1,2,50.7,67,30.08,30.1787,0,0,0,0,50.7,40.15,2025-03-03,America/Los_Angeles,True,,2025-03-03 01:00:00-08:00
1740991500000,3.1317,11.4084,0,0,1,354,50.5,69,30.08,30.1787,0,0,0,0,50.5,40.71,2025-03-03,America/Los_Angeles,True,,2025-03-03 00:45:00-08:00
1740990600000,2.0132,5.816,0,0,1,350,50.7,68,30.08,30.1787,0,0,0,0,50.7,40.53,2025-03-03,America/Los_Angeles,True,4.09,2025-03-03 00:30:00-08:00
1740989700000,3.1317,8.7241,0,0,1,0,50.9,67,30.08,30.1786,0,0,0,0,50.9,40.34,2025-03-03,America/Los_Angeles,True,,2025-03-03 00:15:00-08:00
1740988800000,3.1317,10.7373,0,0,1,1,51.1,66,30.08,30.1786,0,0,0,4806900,51.1,40.14,2025-03-03,America/Los_Angeles,True,,2025-03-03 00:00:00-08:00
