dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,date,batt1volts,local_time
1753253400000,1.7895,6.7108,0,0,1,71,59.4,91,56.77,59.4,29.97,30.0434,0,0,25517,22965300,2025-07-17T04:20:00.000Z,2025-07-22,,2025-07-22 23:50:00-07:00
1753252500000,2.0132,8.053,0,0,1,100,59.7,91,57.07,59.7,29.97,30.0434,0,0,25517,22965300,2025-07-17T04:20:00.000Z,2025-07-22,,2025-07-22 23:35:00-07:00
1753251600000,2.4606,7.6056,0,0,1,71,60.1,90,57.15,60.1,29.97,30.0433,0,0,25517,22965300,2025-07-17T04:20:00.000Z,2025-07-22,,2025-07-22 23:20:00-07:00
1753250700000,2.0132,7.1582,0,0,1,76,60.3,90,57.35,60.3,29.97,30.0433,0,0,25517,22965300,2025-07-17T04:20:00.000Z,2025-07-22,4.29,2025-07-22 23:05:00-07:00
1753249800000,1.7895,4.6976,0,0,1,50,60.3,90,57.35,60.3,29.96,30.0332,0,0,25517,22965300,2025-07-17T04:20:00.000Z,2025-07-22,,2025-07-22 22:50:00-07:00
1753248900000,1.5659,5.3686,0,0,1,44,60.1,90,57.15,60.1,29.96,30.0333,0,0,25517,22965300,2025-07-17T04:20:00.000Z,2025-07-22,,2025-07-22 22:35:00-07:00
1753248000000,1.1185,4.9213,0,0,1,73,59.5,91,56.87,59.5,29.96,30.0334,0,0,25517,22965300,2025-07-17T04:20:00.000Z,2025-07-22,,2025-07-22 22:20:00-07:00
1753247100000,0.4474,3.3554,0,0,1,73,59.7,91,57.07,59.7,29.96,30.0333,0,0,25517,22965300,2025-07-17T04:20:00.000Z,2025-07-22,4.3,2025-07-22 22:05:00-07:00
1753246200000,0.2237,3.5791,0,0,1,237,59.9,91,57.26,59.9,29.96,30.0333,0,0,25517,22965300,2025-07-17T04:20:00.000Z,2025-07-22,,2025-07-22 21:50:00-07:00
1753245300000,0.0,0.0,0,0,1,247,59.7,91,57.07,59.7,29.96,30.0333,0,0,25517,22965300,2025-07-17T04:20:00.000Z,2025-07-22,,2025-07-22 21:35:00-07:00
1753244400000,0.0,0.0,0,0,1,247,59.9,90,56.96,59.9,29.95,30.0233,0,0,25517,22965300,2025-07-17T04:20:00.000Z,2025-07-22,,2025-07-22 21:20:00-07:00
1753243500000,0.0,0.0,0,0,1,247,60.1,89,56.84,60.1,29.95,30.0233,0,0,25517,22965300,2025-07-17T04:20:00.000Z,2025-07-22,4.3,2025-07-22 21:05:00-07:00
1753242600000,0.0,0.0,0,0,1,247,60.4,88,56.83,60.4,29.94,30.0132,0,0,25517,22965300,2025-07-17T04:20:00.000Z,2025-07-22,,2025-07-22 20:50:00-07:00
1753241700000,0.0,0.0,0,0,1,247,60.8,88,57.22,60.8,29.94,30.0131,0,0,25517,22965300,2025-07-17T04:20:00.000Z,2025-07-22,,2025-07-22 20:35:00-07:00
1753240800000,0.6711,2.908,0,0,1,247,61.3,87,57.39,61.3,29.94,30.0131,0,0,25517,22965300,2025-07-17T04:20:00.000Z,2025-07-22,,2025-07-22 20:20:00-07:00
1753239900000,1.7895,3.1317,0,0,1,247,61.9,86,57.66,61.9,29.94,30.013,6,5400,25511,22965300,2025-07-17T04:20:00.000Z,2025-07-22,4.31,2025-07-22 20:05:00-07:00
1753239000000,2.4606,5.5923,0,0,1,247,62.6,85,58.02,62.6,29.94,30.0129,15,13500,25496,22959900,2025-07-17T04:20:00.000Z,2025-07-22,,2025-07-22 19:50:00-07:00
1753238100000,4.6976,8.7241,0,0,1,244,63.0,84,58.09,63.0,29.94,30.0128,57,51300,25439,22946400,2025-07-17T04:20:00.000Z,2025-07-22,,2025-07-22 19:35:00-07:00
1753237200000,6.0397,9.8425,0,0,1,244,63.3,83,58.04,63.3,29.94,30.0128,89,80100,25350,22895100,2025-07-17T04:20:00.000Z,2025-07-22,,2025-07-22 19:20:00-07:00
1753236300000,6.7108,11.1847,0,0,1,246,64.0,82,58.39,64.0,29.94,30.0127,126,113400,25224,22815000,2025-07-17T04:20:00.000Z,2025-07-22,4.32,2025-07-22 19:05:00-07:00
