dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,lastRain,date,tz,historical,batt1volts,local_time
1745218200000,0.0,0.0,0,0,1,274,52.2,92,29.97,30.0444,0,0,26205,23584500,52.2,49.95,2025-04-01T21:20:00.000Z,2025-04-20,,,,2025-04-20 23:50:00-07:00
1745217300000,0.0,0.0,0,0,1,274,52.3,92,29.97,30.0444,0,0,26205,23584500,52.3,50.04,,2025-04-20,America/Los_Angeles,True,,2025-04-20 23:35:00-07:00
1745216400000,0.0,0.8948,0,0,1,274,52.5,92,29.96,30.0344,0,0,26205,23584500,52.5,50.24,2025-04-01T21:20:00.000Z,2025-04-20,,,,2025-04-20 23:20:00-07:00
1745215500000,0.0,1.1185,0,0,1,274,52.5,92,29.97,30.0444,0,0,26205,23584500,52.5,50.24,2025-04-01T21:20:00.000Z,2025-04-20,,,,2025-04-20 23:05:00-07:00
1745214600000,0.0,0.0,0,0,1,274,52.7,92,29.98,30.0544,0,0,26205,23584500,52.7,50.44,2025-04-01T21:20:00.000Z,2025-04-20,,,,2025-04-20 22:50:00-07:00
1745213700000,0.0,0.0,0,0,1,274,52.7,92,29.98,30.0544,0,0,26205,23584500,52.7,50.44,2025-04-01T21:20:00.000Z,2025-04-20,,,4.3,2025-04-20 22:35:00-07:00
1745212800000,0.0,0.0,0,0,1,274,52.9,92,29.98,30.0544,0,0,26205,23584500,52.9,50.64,2025-04-01T21:20:00.000Z,2025-04-20,,,,2025-04-20 22:20:00-07:00
1745211900000,0.0,0.0,0,0,1,274,53.1,92,29.98,30.0543,0,0,26205,23584500,53.1,50.84,2025-04-01T21:20:00.000Z,2025-04-20,,,,2025-04-20 22:05:00-07:00
1745211000000,0.0,0.0,0,0,1,274,53.2,92,29.99,30.0643,0,0,26205,23584500,53.2,50.94,2025-04-01T21:20:00.000Z,2025-04-20,,,,2025-04-20 21:50:00-07:00
1745210100000,0.0,0.0,0,0,1,274,53.2,92,29.99,30.0643,0,0,26205,23584500,53.2,50.94,2025-04-01T21:20:00.000Z,2025-04-20,,,4.31,2025-04-20 21:35:00-07:00
1745209200000,0.0,0.0,0,0,1,274,53.4,91,30.0,30.0743,0,0,26205,23584500,53.4,50.84,2025-04-01T21:20:00.000Z,2025-04-20,,,,2025-04-20 21:20:00-07:00
1745208300000,0.0,0.0,0,0,1,274,54.0,91,30.0,30.0742,0,0,26205,23584500,54.0,51.43,2025-04-01T21:20:00.000Z,2025-04-20,,,,2025-04-20 21:05:00-07:00
1745207400000,0.0,0.0,0,0,1,274,54.0,91,30.0,30.0742,0,0,26205,23584500,54.0,51.43,2025-04-01T21:20:00.000Z,2025-04-20,,,,2025-04-20 20:50:00-07:00
1745206500000,0.0,0.0,0,0,1,274,54.0,90,29.99,30.0642,0,0,26205,23584500,54.0,51.13,2025-04-01T21:20:00.000Z,2025-04-20,,,4.31,2025-04-20 20:35:00-07:00
