dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,date,tz,historical,batt1volts,local_time
1741880700000,0.0,0.0,0.0,0.0,1,212,46.2,98,29.88,29.9789,23,4140,0,20700,46.2,45.67,2025-03-13,,,,2025-03-13 08:45:00-07:00
1741879800000,0.0,0.0,0.0,0.36,1,212,46.0,98,29.88,29.9789,17,3060,27,40500,46.0,45.47,2025-03-13,America/Los_Angeles,True,,2025-03-13 08:30:00-07:00
1741878900000,0.0,0.0,0.0,0.36,1,212,46.0,99,29.88,29.9789,9,1620,27,25200,46.0,45.73,2025-03-13,America/Los_Angeles,True,4.01,2025-03-13 08:15:00-07:00
1741878000000,0.0,0.0,0.0,0.36,1,212,45.7,99,29.88,29.979,4,720,23,17100,45.7,45.43,2025-03-13,America/Los_Angeles,True,,2025-03-13 08:00:00-07:00
1741877100000,0.0,0.0,0.0945,0.36,1,212,45.5,99,29.86,29.959,11,1980,23,13500,45.5,45.24,2025-03-13,America/Los_Angeles,True,,2025-03-13 07:45:00-07:00
1741876200000,0.0,0.0,0.0,0.36,1,212,45.5,99,29.86,29.959,4,720,23,3600,45.5,45.24,2025-03-13,America/Los_Angeles,True,,2025-03-13 07:30:00-07:00
1741875300000,0.0,0.0,0.0,0.34,1,212,45.5,98,29.86,29.959,0,0,23,0,45.5,44.97,2025-03-13,America/Los_Angeles,True,4.0,2025-03-13 07:15:00-07:00
1741874400000,0.0,0.0,0.0,0.34,1,212,45.1,98,29.86,29.959,0,0,23,0,45.1,44.57,2025-03-13,America/Los_Angeles,True,,2025-03-13 07:00:00-07:00
1741873500000,0.0,0.0,0.063,0.34,1,212,45.0,98,29.85,29.949,0,0,23,0,45.0,44.47,2025-03-13,America/Los_Angeles,True,,2025-03-13 06:45:00-07:00
1741872600000,0.0,0.0,0.0,0.34,1,212,45.0,98,29.85,29.949,0,0,23,0,45.0,44.47,2025-03-13,America/Los_Angeles,True,,2025-03-13 06:30:00-07:00
1741871700000,0.0,0.0,0.0,0.33,1,212,45.1,98,29.84,29.939,0,0,23,0,45.1,44.57,2025-03-13,America/Los_Angeles,True,4.01,2025-03-13 06:15:00-07:00
1741870800000,0.0,0.0,0.0315,0.33,1,212,45.3,98,29.84,29.9389,0,0,23,0,45.3,44.77,2025-03-13,America/Los_Angeles,True,,2025-03-13 06:00:00-07:00
1741869900000,0.0,0.0,0.0,0.33,1,212,45.5,97,29.83,29.9289,0,0,23,0,45.5,44.7,2025-03-13,America/Los_Angeles,True,,2025-03-13 05:45:00-07:00
1741869000000,0.0,0.0,0.0,0.33,1,212,45.7,97,29.83,29.9288,0,0,23,0,45.7,44.9,2025-03-13,America/Los_Angeles,True,,2025-03-13 05:30:00-07:00
1741868100000,0.0,0.0,0.0,0.33,1,212,46.0,97,29.84,29.9388,0,0,23,0,46.0,45.2,2025-03-13,America/Los_Angeles,True,4.0,2025-03-13 05:15:00-07:00
1741867200000,0.0,0.0,0.0,0.33,1,212,46.4,97,29.84,29.9387,0,0,23,0,46.4,45.6,2025-03-13,America/Los_Angeles,True,,2025-03-13 05:00:00-07:00
1741866300000,0.0,0.0,0.0,0.32,1,212,46.8,97,29.85,29.9487,0,0,23,0,46.8,45.99,2025-03-13,America/Los_Angeles,True,,2025-03-13 04:45:00-07:00
1741865400000,0.0,0.0,0.0,0.32,1,212,46.9,97,29.85,29.9487,0,0,23,0,46.9,46.09,2025-03-13,America/Los_Angeles,True,,2025-03-13 04:30:00-07:00
