dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,date,tz,historical,batt1volts,local_time
1741968000000,0.0,1.1185,0.0,0.0,1,6,45.9,92,30.01,30.1094,21,3780,0,18900,45.9,43.71,2025-03-14,,,,2025-03-14 09:00:00-07:00
1741967100000,0.0,0.0,0.0,0.03,1,6,45.7,92,30.01,30.1094,16,2880,21,46800,45.7,43.51,2025-03-14,America/Los_Angeles,True,,2025-03-14 08:45:00-07:00
1741966200000,0.6711,2.4606,0.0,0.03,1,6,45.5,92,30.01,30.1095,11,1980,23,32400,45.5,43.31,2025-03-14,America/Los_Angeles,True,,2025-03-14 08:30:00-07:00
1741965300000,1.5659,2.2369,0.0,0.03,1,6,45.1,92,30.01,30.1095,10,1800,21,22500,45.1,42.92,2025-03-14,America/Los_Angeles,True,4.05,2025-03-14 08:15:00-07:00
1741964400000,1.1185,2.2369,0.0315,0.03,1,6,45.0,93,30.01,30.1096,13,2340,21,13500,45.0,43.1,2025-03-14,America/Los_Angeles,True,,2025-03-14 08:00:00-07:00
1741963500000,1.3422,2.0132,0.0,0.02,1,6,45.0,94,30.01,30.1096,2,360,21,1800,45.0,43.38,2025-03-14,America/Los_Angeles,True,,2025-03-14 07:45:00-07:00
1741962600000,0.4474,2.0132,0.0315,0.0,1,6,45.0,95,30.0,30.0995,0,0,21,0,45.0,43.65,2025-03-14,America/Los_Angeles,True,,2025-03-14 07:30:00-07:00
1741961700000,0.0,0.0,0.0,0.0,1,6,44.8,95,30.0,30.0996,0,0,21,0,44.8,43.46,2025-03-14,America/Los_Angeles,True,4.05,2025-03-14 07:15:00-07:00
1741960800000,0.0,0.0,0.0,0.0,1,6,44.8,93,30.0,30.0996,0,0,21,0,44.8,42.9,2025-03-14,America/Los_Angeles,True,,2025-03-14 07:00:00-07:00
1741959900000,0.0,0.0,0.0315,0.0,1,6,44.8,92,29.99,30.0895,0,0,21,0,44.8,42.62,2025-03-14,America/Los_Angeles,True,,2025-03-14 06:45:00-07:00
