dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,feelsLike,dewPoint,date,lastRain,local_time
1744959000000,1.1185,4.4739,0,0,1,221,53.8,80,4.29,29.92,29.9941,0,0,0,11956500,America/Los_Angeles,True,53.8,47.78,2025-04-17,,2025-04-17 23:50:00-07:00
1744958100000,0.0,0.0,0,0,1,276,53.2,81,,29.92,29.9942,0,0,13285,11956500,,,53.2,47.52,2025-04-17,2025-04-01T21:20:00.000Z,2025-04-17 23:35:00-07:00
1744957200000,0.0,0.0,0,0,1,276,54.7,80,,29.92,29.9939,0,0,13285,11956500,,,54.7,48.65,2025-04-17,2025-04-01T21:20:00.000Z,2025-04-17 23:20:00-07:00
1744956300000,0.2237,2.6843,0,0,1,276,54.9,79,4.29,29.92,29.9939,0,0,13285,11956500,,,54.9,48.51,2025-04-17,2025-04-01T21:20:00.000Z,2025-04-17 23:05:00-07:00
1744955400000,1.1185,4.4739,0,0,1,276,55.0,75,,29.92,29.9939,0,0,13285,11956500,,,55.0,47.22,2025-04-17,2025-04-01T21:20:00.000Z,2025-04-17 22:50:00-07:00
1744954500000,3.1317,7.6056,0,0,1,262,55.6,73,,29.92,29.9938,0,0,13285,11956500,,,55.6,47.08,2025-04-17,2025-04-01T21:20:00.000Z,2025-04-17 22:35:00-07:00
1744953600000,0.2237,5.145,0,0,1,221,55.8,72,,29.91,29.9838,0,0,13285,11956500,,,55.8,46.91,2025-04-17,2025-04-01T21:20:00.000Z,2025-04-17 22:20:00-07:00
1744952700000,0.4474,4.4739,0,0,1,109,55.6,76,4.3,29.91,29.9838,0,0,13285,11956500,,,55.6,48.15,2025-04-17,2025-04-01T21:20:00.000Z,2025-04-17 22:05:00-07:00
1744951800000,0.2237,2.4606,0,0,1,266,55.6,78,,29.92,29.9938,0,0,13285,11956500,,,55.6,48.85,2025-04-17,2025-04-01T21:20:00.000Z,2025-04-17 21:50:00-07:00
1744950900000,3.3554,6.4871,0,0,1,271,56.1,77,,29.91,29.9837,0,0,13285,11956500,,,56.1,48.99,2025-04-17,2025-04-01T21:20:00.000Z,2025-04-17 21:35:00-07:00
1744950000000,4.2502,8.7241,0,0,1,283,56.5,78,,29.91,29.9837,0,0,13285,11956500,America/Los_Angeles,True,56.5,49.72,2025-04-17,,2025-04-17 21:20:00-07:00
1744949100000,3.1317,9.6188,0,0,1,273,56.8,78,4.31,29.91,29.9836,0,0,13285,11956500,,,56.8,50.01,2025-04-17,2025-04-01T21:20:00.000Z,2025-04-17 21:05:00-07:00
