dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,lastRain,date,batt1volts,local_time
1785480720000,0.0,0.0,0,0,1,202,64.4,91,61.71,29.93,30.0256,0,0,15164,13647600,64.4,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 23:52:00-07:00
1785479820000,0.0,0.0,0,0,1,202,64.9,91,62.21,29.93,30.0255,0,0,15164,13647600,64.9,2026-06-12T17:37:00.000Z,2026-07-30,4.3,2026-07-30 23:37:00-07:00
1785478920000,0.0,0.0,0,0,1,202,65.5,91,62.8,29.93,30.0254,0,0,15164,13647600,65.5,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 23:22:00-07:00
1785478020000,0.4474,2.0132,0,0,1,202,65.8,91,63.1,29.93,30.0254,0,0,15164,13647600,65.8,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 23:07:00-07:00
1785477120000,0.8948,2.2369,0,0,1,202,65.8,92,63.41,29.93,30.0254,0,0,15164,13647600,65.8,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 22:52:00-07:00
1785476220000,0.4474,2.0132,0,0,1,202,65.5,92,63.11,29.93,30.0254,0,0,15164,13647600,65.5,2026-06-12T17:37:00.000Z,2026-07-30,4.31,2026-07-30 22:37:00-07:00
1785475320000,0.0,0.0,0,0,1,202,65.3,92,62.91,29.93,30.0255,0,0,15164,13647600,65.3,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 22:22:00-07:00
1785474420000,0.0,0.0,0,0,1,202,65.1,91,62.4,29.92,30.0155,0,0,15164,13647600,65.1,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 22:07:00-07:00
1785473520000,0.0,0.0,0,0,1,202,65.1,91,62.4,29.92,30.0155,0,0,15164,13647600,65.1,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 21:52:00-07:00
1785472620000,0.0,0.0,0,0,1,202,65.5,90,62.48,29.91,30.0054,0,0,15164,13647600,65.5,2026-06-12T17:37:00.000Z,2026-07-30,4.31,2026-07-30 21:37:00-07:00
1785471720000,0.0,1.3422,0,0,1,202,65.7,90,62.68,29.91,30.0053,0,0,15164,13647600,65.7,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 21:22:00-07:00
1785470820000,0.0,1.1185,0,0,1,202,65.7,89,62.36,29.91,30.0053,0,0,15164,13647600,65.7,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 21:07:00-07:00
1785469920000,1.1185,2.0132,0,0,1,202,65.5,89,62.17,29.91,30.0054,0,0,15164,13647600,65.5,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 20:52:00-07:00
1785469020000,0.0,0.0,0,0,1,202,65.5,89,62.17,29.91,30.0054,0,0,15164,13647600,65.5,2026-06-12T17:37:00.000Z,2026-07-30,4.32,2026-07-30 20:37:00-07:00
1785468120000,0.0,0.0,0,0,1,202,65.3,88,61.65,29.91,30.0054,0,0,15164,13647600,65.3,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 20:22:00-07:00
1785467220000,0.0,0.0,0,0,1,202,65.5,88,61.85,29.9,29.9953,0,0,15164,13647600,65.5,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 20:07:00-07:00
1785466320000,0.0,1.3422,0,0,1,202,65.8,87,61.82,29.9,29.9953,3,2700,15161,13647600,65.8,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 19:52:00-07:00
1785465420000,0.0,0.0,0,0,1,202,66.2,87,62.21,29.89,29.9852,7,6300,15154,13644900,66.2,2026-06-12T17:37:00.000Z,2026-07-30,4.31,2026-07-30 19:37:00-07:00
1785464520000,0.0,1.1185,0,0,1,202,66.0,87,62.01,29.89,29.9852,10,9000,15144,13638600,66.0,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 19:22:00-07:00
1785463620000,0.2237,2.4606,0,0,1,202,66.0,87,62.01,29.89,29.9852,15,13500,15129,13629600,66.0,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 19:07:00-07:00
1785462720000,0.6711,2.6843,0,0,1,202,65.8,87,61.82,29.89,29.9852,20,18000,15109,13616100,65.8,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 18:52:00-07:00
1785461820000,1.1185,2.4606,0,0,1,202,66.0,87,62.01,29.9,29.9952,24,21600,15085,13598100,66.0,2026-06-12T17:37:00.000Z,2026-07-30,4.33,2026-07-30 18:37:00-07:00
1785460920000,1.3422,3.1317,0,0,1,202,66.2,87,62.21,29.9,29.9952,32,28800,15053,13576500,66.2,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 18:22:00-07:00
1785460020000,2.0132,4.4739,0,0,1,202,66.6,86,62.28,29.91,30.0052,37,33300,15016,13547700,66.6,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 18:07:00-07:00
1785459120000,1.7895,4.6976,0,0,1,202,66.9,85,62.24,29.91,30.0051,47,42300,14969,13514400,66.9,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 17:52:00-07:00
1785458220000,1.3422,4.4739,0,0,1,224,66.9,85,62.24,29.91,30.0051,43,38700,14926,13472100,66.9,2026-06-12T17:37:00.000Z,2026-07-30,4.34,2026-07-30 17:37:00-07:00
1785457320000,2.6843,5.816,0,0,1,216,67.5,84,62.49,29.91,30.005,46,41400,14880,13433400,67.5,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 17:22:00-07:00
1785456420000,1.5659,6.4871,0,0,1,220,67.5,84,62.49,29.91,30.005,53,47700,14827,13392000,67.5,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 17:07:00-07:00
1785455520000,2.2369,6.2634,0,0,1,220,67.1,85,62.43,29.91,30.0051,76,68400,14751,13344300,67.1,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 16:52:00-07:00
1785454620000,2.908,7.8293,0,0,1,217,67.3,86,62.96,29.91,30.005,143,128700,14608,13275900,67.3,2026-06-12T17:37:00.000Z,2026-07-30,4.4,2026-07-30 16:37:00-07:00
1785453720000,1.5659,6.2634,0,0,1,242,67.6,85,62.92,29.91,30.005,167,150300,14441,13147200,67.6,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 16:22:00-07:00
1785452820000,2.0132,5.816,0,0,1,236,68.0,85,63.32,29.92,30.0149,196,176400,14245,12996900,68.0,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 16:07:00-07:00
1785451920000,2.908,6.7108,0,0,1,212,69.3,84,64.25,29.92,30.0147,212,190800,14033,12820500,69.88,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 15:52:00-07:00
1785451020000,2.908,6.2634,0,0,1,209,70.3,81,64.18,29.92,30.0145,267,240300,13766,12629700,70.84,2026-06-12T17:37:00.000Z,2026-07-30,4.48,2026-07-30 15:37:00-07:00
1785450120000,2.908,7.6056,0,0,1,218,71.1,80,64.61,29.92,30.0144,397,357300,13369,12389400,71.67,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 15:22:00-07:00
1785449220000,3.3554,6.9345,0,0,1,217,71.2,79,64.34,29.92,30.0144,573,515700,12796,12032100,71.73,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 15:07:00-07:00
1785448320000,2.2369,5.816,0,0,1,214,72.1,77,64.48,29.93,30.0242,692,622800,12104,11516400,72.63,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 14:52:00-07:00
1785447420000,2.4606,7.6056,0,0,1,231,72.0,77,64.38,29.93,30.0243,676,608400,11428,10893600,72.52,2026-06-12T17:37:00.000Z,2026-07-30,4.57,2026-07-30 14:37:00-07:00
1785446520000,3.1317,6.9345,0,0,1,227,72.0,78,64.75,29.94,30.0343,737,663300,10691,10285200,72.57,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 14:22:00-07:00
1785445620000,1.7895,5.5923,0,0,1,218,72.5,77,64.87,29.94,30.0342,798,718200,9893,9621900,73.07,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 14:07:00-07:00
1785444720000,3.1317,5.5923,0,0,1,201,72.1,79,65.22,29.94,30.0343,781,702900,9112,8903700,72.72,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 13:52:00-07:00
1785443820000,4.0265,8.2767,0,0,1,209,72.1,79,65.22,29.94,30.0343,843,758700,8269,8200800,72.72,2026-06-12T17:37:00.000Z,2026-07-30,4.57,2026-07-30 13:37:00-07:00
1785442920000,2.908,6.0397,0,0,1,220,72.5,78,65.24,29.94,30.0342,862,775800,7407,7442100,73.12,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 13:22:00-07:00
1785442020000,3.1317,6.0397,0,0,1,202,72.7,78,65.43,29.94,30.0342,872,784800,6535,6666300,73.34,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 13:07:00-07:00
1785441120000,3.1317,5.816,0,0,1,210,72.9,78,65.63,29.94,30.0341,888,799200,5647,5881500,73.56,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 12:52:00-07:00
1785440220000,2.0132,5.5923,0,0,1,209,72.5,78,65.24,29.94,30.0342,883,794700,4764,5082300,73.12,2026-06-12T17:37:00.000Z,2026-07-30,4.58,2026-07-30 12:37:00-07:00
1785439320000,1.5659,6.4871,0,0,1,206,71.8,80,65.29,29.94,30.0343,871,783900,3893,4287600,72.44,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 12:22:00-07:00
1785438420000,2.0132,5.5923,0,0,1,246,71.2,81,65.06,29.94,30.0344,852,766800,3041,3503700,71.83,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 12:07:00-07:00
1785437520000,1.3422,5.5923,0,0,1,202,70.3,83,64.88,29.95,30.0446,829,746100,2212,2736900,70.93,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 11:52:00-07:00
1785436620000,1.5659,4.4739,0,0,1,198,69.3,85,64.59,29.95,30.0448,686,617400,1526,1990800,69.93,2026-06-12T17:37:00.000Z,2026-07-30,4.38,2026-07-30 11:37:00-07:00
1785435720000,0.6711,3.8028,0,0,1,198,68.2,87,64.18,29.96,30.055,270,243000,1256,1373400,68.81,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 11:22:00-07:00
1785434820000,0.6711,3.5791,0,0,1,198,67.6,88,63.91,29.97,30.0652,215,193500,1041,1130400,67.6,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 11:07:00-07:00
1785433920000,1.3422,5.5923,0,0,1,198,66.7,90,63.67,29.96,30.0553,183,164700,858,936900,66.7,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 10:52:00-07:00
1785433020000,0.8948,4.4739,0,0,1,198,66.0,91,63.29,29.96,30.0554,147,132300,711,772200,66.0,2026-06-12T17:37:00.000Z,2026-07-30,4.27,2026-07-30 10:37:00-07:00
1785432120000,0.6711,2.908,0,0,1,198,66.0,91,63.29,29.97,30.0655,96,86400,615,639900,66.0,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 10:22:00-07:00
1785431220000,2.0132,3.8028,0,0,1,198,66.0,92,63.61,29.96,30.0554,78,70200,537,553500,66.0,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 10:07:00-07:00
1785430320000,2.4606,4.0265,0,0,1,198,66.4,90,63.37,29.95,30.0453,73,65700,464,483300,66.4,2026-06-12T17:37:00.000Z,2026-07-30,,2026-07-30 09:52:00-07:00
1785429420000,1.1185,3.5791,0,0,1,198,67.5,88,63.82,29.95,30.0451,78,70200,386,417600,67.5,2026-06-12T17:37:00.000Z,2026-07-30,4.27,2026-07-30 09:37:00-07:00
