dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,date,batt1volts,tz,historical,local_time
1764143460000,0.0,0.0,0.0,0.01,1,296,48.9,83,43.97,48.9,30.05,30.1251,0,0,13906,12515400,2025-11-25T12:06:00.000Z,2025-11-25,,,,2025-11-25 23:51:00-08:00
1764142560000,0.0,1.1185,0.0,0.01,1,296,48.4,85,44.1,48.4,30.06,30.1352,0,0,13906,12515400,2025-11-25T12:06:00.000Z,2025-11-25,4.25,,,2025-11-25 23:36:00-08:00
1764141660000,0.0,0.0,0.0,0.01,1,296,48.6,85,44.3,48.6,30.06,30.1352,0,0,13906,12515400,2025-11-25T12:06:00.000Z,2025-11-25,,,,2025-11-25 23:21:00-08:00
1764140760000,0.0,0.0,0.0,0.01,1,296,48.7,83,43.77,48.7,30.06,30.1352,0,0,13906,12515400,,2025-11-25,,America/Los_Angeles,True,2025-11-25 23:06:00-08:00
1764139860000,0.0,0.0,0.0,0.01,1,296,48.9,83,43.97,48.9,30.06,30.1351,0,0,13906,12515400,2025-11-25T12:06:00.000Z,2025-11-25,,,,2025-11-25 22:51:00-08:00
1764138960000,0.0,0.0,0.0,0.01,1,296,49.3,83,44.36,49.3,30.06,30.1351,0,0,13906,12515400,2025-11-25T12:06:00.000Z,2025-11-25,4.26,,,2025-11-25 22:36:00-08:00
1764138060000,0.2237,2.0132,0.0,0.01,1,296,50.2,80,44.27,50.2,30.06,30.1349,0,0,13906,12515400,,2025-11-25,,America/Los_Angeles,True,2025-11-25 22:21:00-08:00
1764137160000,0.0,1.5659,0.0,0.01,1,296,50.5,79,44.23,50.5,30.06,30.1349,0,0,13906,12515400,2025-11-25T12:06:00.000Z,2025-11-25,,,,2025-11-25 22:06:00-08:00
1764136260000,0.0,0.0,0.0,0.01,1,296,50.0,82,44.72,50.0,30.06,30.135,0,0,13906,12515400,2025-11-25T12:06:00.000Z,2025-11-25,4.27,,,2025-11-25 21:51:00-08:00
1764135360000,0.0,0.0,0.0,0.01,1,296,50.5,82,45.21,50.5,30.06,30.1349,0,0,13906,12515400,2025-11-25T12:06:00.000Z,2025-11-25,,,,2025-11-25 21:36:00-08:00
1764134460000,0.2237,1.3422,0.0,0.01,1,296,50.9,82,45.6,50.9,30.05,30.1248,0,0,13906,12515400,2025-11-25T12:06:00.000Z,2025-11-25,,,,2025-11-25 21:21:00-08:00
1764133560000,0.4474,2.4606,0.0,0.01,1,296,50.7,84,46.04,50.7,30.05,30.1249,0,0,13906,12515400,2025-11-25T12:06:00.000Z,2025-11-25,,,,2025-11-25 21:06:00-08:00
1764132660000,0.0,0.0,0.0,0.01,1,296,51.3,83,46.31,51.3,30.04,30.1147,0,0,13906,12515400,2025-11-25T12:06:00.000Z,2025-11-25,4.28,,,2025-11-25 20:51:00-08:00
1764131760000,0.2237,1.5659,0.0,0.01,1,296,51.3,86,47.26,51.3,30.04,30.1147,0,0,13906,12515400,2025-11-25T12:06:00.000Z,2025-11-25,,,,2025-11-25 20:36:00-08:00
1764130860000,0.2237,1.1185,0.0,0.01,1,296,52.0,86,47.94,52.0,30.04,30.1146,0,0,13906,12515400,2025-11-25T12:06:00.000Z,2025-11-25,,,,2025-11-25 20:21:00-08:00
1764129960000,0.0,0.8948,0.0,0.01,1,296,52.2,86,48.14,52.2,30.04,30.1146,0,0,13906,12515400,2025-11-25T12:06:00.000Z,2025-11-25,,,,2025-11-25 20:06:00-08:00
1764129060000,0.0,0.0,0.0,0.01,1,296,52.3,86,48.24,52.3,30.04,30.1146,0,0,13906,12515400,2025-11-25T12:06:00.000Z,2025-11-25,4.29,,,2025-11-25 19:51:00-08:00
1764128160000,0.0,0.0,0.0,0.01,1,296,53.2,84,48.49,53.2,30.04,30.1145,0,0,13906,12515400,2025-11-25T12:06:00.000Z,2025-11-25,,,,2025-11-25 19:36:00-08:00
1764127260000,0.0,0.0,0.0,0.01,1,296,53.4,84,48.69,53.4,30.04,30.1144,0,0,13906,12515400,2025-11-25T12:06:00.000Z,2025-11-25,,,,2025-11-25 19:21:00-08:00
1764126360000,0.0,0.0,0.0,0.01,1,296,53.6,84,48.88,53.6,30.04,30.1144,0,0,13906,12515400,2025-11-25T12:06:00.000Z,2025-11-25,,,,2025-11-25 19:06:00-08:00
1764125460000,0.0,1.1185,0.0,0.01,1,296,54.5,83,49.44,54.5,30.04,30.1143,0,0,13906,12515400,2025-11-25T12:06:00.000Z,2025-11-25,4.3,,,2025-11-25 18:51:00-08:00
1764124560000,0.4474,2.2369,0.0,0.01,1,296,55.0,86,50.89,55.0,30.03,30.1042,0,0,13906,12515400,2025-11-25T12:06:00.000Z,2025-11-25,,,,2025-11-25 18:36:00-08:00
1764123660000,0.4474,1.7895,0.0,0.01,1,296,55.9,86,51.77,55.9,30.04,30.1141,0,0,13906,12515400,2025-11-25T12:06:00.000Z,2025-11-25,,,,2025-11-25 18:21:00-08:00
1764122760000,0.2237,2.2369,0.0,0.01,1,296,57.0,86,52.85,57.0,30.03,30.1039,0,0,13906,12515400,2025-11-25T12:06:00.000Z,2025-11-25,,,,2025-11-25 18:06:00-08:00
1764121860000,0.0,0.0,0.0,0.01,1,296,58.5,85,54.0,58.5,30.03,30.1037,0,0,13906,12515400,2025-11-25T12:06:00.000Z,2025-11-25,4.31,,,2025-11-25 17:51:00-08:00
1764120960000,0.2237,1.7895,0.0,0.01,1,296,59.9,83,54.72,59.9,30.03,30.1035,0,0,13906,12515400,2025-11-25T12:06:00.000Z,2025-11-25,,,,2025-11-25 17:36:00-08:00
1764120060000,1.5659,3.5791,0.0,0.01,1,296,61.2,80,54.98,61.2,30.02,30.0933,0,0,13906,12515400,2025-11-25T12:06:00.000Z,2025-11-25,,,,2025-11-25 17:21:00-08:00
1764119160000,1.7895,4.0265,0.0,0.01,1,296,61.5,79,54.92,61.5,30.02,30.0932,0,0,13906,12515400,2025-11-25T12:06:00.000Z,2025-11-25,,,,2025-11-25 17:06:00-08:00
1764118260000,2.4606,5.145,0.0,0.01,1,293,62.6,77,55.28,62.6,30.02,30.0931,13,11700,13893,12515400,2025-11-25T12:06:00.000Z,2025-11-25,4.33,,,2025-11-25 16:51:00-08:00
1764117360000,2.6843,4.6976,0.0,0.01,1,286,64.0,70,54.01,64.0,30.01,30.0829,42,37800,13670,12340800,2025-11-25T12:06:00.000Z,2025-11-25,,,,2025-11-25 16:36:00-08:00
