dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,date,tz,historical,batt1volts,local_time
1757048520000,0.0,0.0,0,0,1,213,66.4,91,63.69,66.4,29.81,29.9049,0,0,0,0,2025-04-26T15:31:00.000Z,2025-09-04,,,,2025-09-04 22:02:00-07:00
1757047620000,0.0,1.1185,0,0,1,213,65.8,91,63.1,65.8,29.81,29.905,0,0,7114,6402600,,2025-09-04,America/Los_Angeles,True,,2025-09-04 21:47:00-07:00
1757046720000,0.0,0.0,0,0,1,213,66.0,90,62.98,66.0,29.81,29.9049,0,0,7114,6402600,,2025-09-04,America/Los_Angeles,True,4.33,2025-09-04 21:32:00-07:00
1757045820000,0.0,0.0,0,0,1,213,66.0,90,62.98,66.0,29.81,29.9049,0,0,7114,6402600,,2025-09-04,America/Los_Angeles,True,,2025-09-04 21:17:00-07:00
1757044920000,0.0,0.0,0,0,1,213,66.0,89,62.66,66.0,29.81,29.9049,0,0,7114,6402600,,2025-09-04,America/Los_Angeles,True,,2025-09-04 21:02:00-07:00
1757044020000,0.0,0.0,0,0,1,213,66.4,88,62.73,66.4,29.8,29.8948,0,0,7114,6402600,,2025-09-04,America/Los_Angeles,True,,2025-09-04 20:47:00-07:00
1757043120000,0.0,0.0,0,0,1,213,67.1,89,63.74,67.1,29.8,29.8947,0,0,7114,6402600,,2025-09-04,America/Los_Angeles,True,4.33,2025-09-04 20:32:00-07:00
1757042220000,0.0,0.0,0,0,1,213,67.6,88,63.91,67.6,29.8,29.8946,0,0,7114,6402600,,2025-09-04,America/Los_Angeles,True,,2025-09-04 20:17:00-07:00
1757041320000,0.0,0.0,0,0,1,213,68.2,88,64.5,68.86,29.8,29.8945,0,0,7114,6402600,,2025-09-04,America/Los_Angeles,True,,2025-09-04 20:02:00-07:00
1757040420000,0.0,0.0,0,0,1,213,68.7,88,65.0,69.41,29.8,29.8944,0,0,7113,6402600,,2025-09-04,America/Los_Angeles,True,,2025-09-04 19:47:00-07:00
1757039520000,0.4474,1.5659,0,0,1,213,69.4,87,65.36,70.13,29.79,29.8843,0,0,7113,6402600,,2025-09-04,America/Los_Angeles,True,4.34,2025-09-04 19:32:00-07:00
1757038620000,0.6711,2.0132,0,0,1,213,69.8,86,65.42,70.52,29.79,29.8842,1,180,7093,6402600,,2025-09-04,America/Los_Angeles,True,,2025-09-04 19:17:00-07:00
1757037720000,0.4474,1.5659,0,0,1,213,70.0,86,65.61,70.74,29.79,29.8842,3,540,7061,6401700,,2025-09-04,America/Los_Angeles,True,,2025-09-04 19:02:00-07:00
1757036820000,0.6711,2.2369,0,0,1,213,70.2,86,65.81,70.96,29.79,29.8841,7,1260,7079,6399000,,2025-09-04,America/Los_Angeles,True,,2025-09-04 18:47:00-07:00
1757035920000,1.7895,3.1317,0,0,1,213,70.7,84,65.62,71.42,29.8,29.8941,10,1800,7061,6392700,,2025-09-04,America/Los_Angeles,True,4.34,2025-09-04 18:32:00-07:00
1757035020000,1.1185,2.6843,0,0,1,213,71.2,81,65.06,71.83,29.8,29.894,14,2520,7061,6383700,,2025-09-04,America/Los_Angeles,True,,2025-09-04 18:17:00-07:00
