dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,date,tz,historical,batt1volts,local_time
1756104600000,2.0132,8.2767,0,0,1,97,66.2,87,62.21,66.2,29.85,29.9222,0,0,25470,22923000,2025-08-16T03:20:00.000Z,2025-08-24,,,,2025-08-24 23:50:00-07:00
1756103700000,1.7895,5.816,0,0,1,52,66.4,87,62.41,66.4,29.84,29.9121,0,0,25470,22923000,,2025-08-24,America/Los_Angeles,True,,2025-08-24 23:35:00-07:00
1756102800000,1.5659,5.3686,0,0,1,77,66.6,87,62.6,66.6,29.84,29.9121,0,0,25470,22923000,2025-08-16T03:20:00.000Z,2025-08-24,,,,2025-08-24 23:20:00-07:00
1756101900000,1.5659,5.5923,0,0,1,48,66.4,87,62.41,66.4,29.84,29.9121,0,0,25470,22923000,,2025-08-24,America/Los_Angeles,True,4.29,2025-08-24 23:05:00-07:00
1756101000000,1.1185,4.2502,0,0,1,80,66.4,87,62.41,66.4,29.83,29.9021,0,0,25470,22923000,2025-08-16T03:20:00.000Z,2025-08-24,,,,2025-08-24 22:50:00-07:00
1756100100000,1.3422,4.6976,0,0,1,99,66.4,86,62.08,66.4,29.83,29.9021,0,0,25470,22923000,2025-08-16T03:20:00.000Z,2025-08-24,,,,2025-08-24 22:35:00-07:00
1756099200000,0.6711,3.3554,0,0,1,100,66.6,86,62.28,66.6,29.83,29.9021,0,0,25470,22923000,2025-08-16T03:20:00.000Z,2025-08-24,,,,2025-08-24 22:20:00-07:00
1756098300000,0.8948,3.5791,0,0,1,100,66.9,85,62.24,66.9,29.83,29.902,0,0,25470,22923000,2025-08-16T03:20:00.000Z,2025-08-24,,,4.29,2025-08-24 22:05:00-07:00
1756097400000,1.1185,5.5923,0,0,1,95,67.3,84,62.29,67.3,29.83,29.902,0,0,25470,22923000,2025-08-16T03:20:00.000Z,2025-08-24,,,,2025-08-24 21:50:00-07:00
1756096500000,1.1185,4.4739,0,0,1,81,67.3,84,62.29,67.3,29.83,29.902,0,0,25470,22923000,2025-08-16T03:20:00.000Z,2025-08-24,,,,2025-08-24 21:35:00-07:00
1756095600000,1.5659,4.6976,0,0,1,63,67.1,84,62.1,67.1,29.83,29.902,0,0,25470,22923000,2025-08-16T03:20:00.000Z,2025-08-24,,,,2025-08-24 21:20:00-07:00
1756094700000,0.8948,4.0265,0,0,1,97,66.9,84,61.9,66.9,29.83,29.902,0,0,25470,22923000,2025-08-16T03:20:00.000Z,2025-08-24,,,4.3,2025-08-24 21:05:00-07:00
1756093800000,0.0,0.0,0,0,1,216,66.4,85,61.75,66.4,29.83,29.9021,0,0,25470,22923000,2025-08-16T03:20:00.000Z,2025-08-24,,,,2025-08-24 20:50:00-07:00
1756092900000,0.0,0.0,0,0,1,216,66.4,85,61.75,66.4,29.83,29.9021,0,0,25470,22923000,2025-08-16T03:20:00.000Z,2025-08-24,,,,2025-08-24 20:35:00-07:00
1756092000000,0.0,1.1185,0,0,1,216,66.4,84,61.41,66.4,29.82,29.8921,0,0,25470,22923000,2025-08-16T03:20:00.000Z,2025-08-24,,,,2025-08-24 20:20:00-07:00
1756091100000,0.0,0.0,0,0,1,216,66.6,83,61.27,66.6,29.82,29.892,0,0,25470,22923000,2025-08-16T03:20:00.000Z,2025-08-24,,,4.31,2025-08-24 20:05:00-07:00
1756090200000,0.0,0.0,0,0,1,216,67.1,83,61.76,67.1,29.81,29.8819,0,0,25470,22923000,2025-08-16T03:20:00.000Z,2025-08-24,,,,2025-08-24 19:50:00-07:00
1756089300000,0.2237,2.2369,0,0,1,216,67.6,82,61.9,67.6,29.81,29.8819,8,7200,25403,22869900,2025-08-16T03:20:00.000Z,2025-08-24,,,,2025-08-24 19:35:00-07:00
1756088400000,0.6711,2.4606,0,0,1,216,68.4,81,62.33,68.75,29.8,29.8717,31,27900,25372,22862700,2025-08-16T03:20:00.000Z,2025-08-24,,,,2025-08-24 19:20:00-07:00
1756087500000,0.8948,3.8028,0,0,1,216,69.1,80,62.66,69.47,29.8,29.8716,59,53100,25411,22887900,,2025-08-24,America/Los_Angeles,True,4.32,2025-08-24 19:05:00-07:00
1756086600000,2.908,5.3686,0,0,1,216,69.6,79,62.79,69.97,29.8,29.8716,91,81900,25153,22719600,2025-08-16T03:20:00.000Z,2025-08-24,,,,2025-08-24 18:50:00-07:00
1756085700000,2.4606,4.2502,0,0,1,216,70.3,78,63.11,70.7,29.8,29.8715,128,115200,25244,22752900,,2025-08-24,America/Los_Angeles,True,,2025-08-24 18:35:00-07:00
1756084800000,2.2369,4.2502,0,0,1,216,70.5,77,62.93,70.87,29.8,29.8715,169,152100,24984,22637700,2025-08-16T03:20:00.000Z,2025-08-24,,,4.36,2025-08-24 18:20:00-07:00
