dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,date,tz,historical,local_time
1752994200000,2.4606,8.2767,0,0,1,90,61.0,88,4.29,57.42,61.0,29.97,30.0432,0,0,24991,22491900,2025-07-17T04:20:00.000Z,2025-07-19,,,2025-07-19 23:50:00-07:00
1752993300000,2.908,9.8425,0,0,1,77,61.2,88,,57.61,61.2,29.97,30.0431,0,0,24991,22491900,2025-07-17T04:20:00.000Z,2025-07-19,,,2025-07-19 23:35:00-07:00
1752992400000,2.4606,7.8293,0,0,1,70,61.2,88,,57.61,61.2,29.97,30.0431,0,0,24991,22491900,2025-07-17T04:20:00.000Z,2025-07-19,,,2025-07-19 23:20:00-07:00
1752991500000,2.0132,7.8293,0,0,1,54,61.2,88,,57.61,61.2,29.96,30.0331,0,0,24991,22491900,2025-07-17T04:20:00.000Z,2025-07-19,,,2025-07-19 23:05:00-07:00
1752990600000,2.2369,7.8293,0,0,1,60,61.3,87,4.3,57.39,61.3,29.96,30.0331,0,0,24991,22491900,2025-07-17T04:20:00.000Z,2025-07-19,,,2025-07-19 22:50:00-07:00
1752989700000,2.2369,8.5004,0,0,1,84,61.5,87,,57.59,61.5,29.96,30.0331,0,0,24991,22491900,2025-07-17T04:20:00.000Z,2025-07-19,,,2025-07-19 22:35:00-07:00
1752988800000,2.0132,6.9345,0,0,1,89,61.7,86,,57.47,61.7,29.95,30.023,0,0,24991,22491900,2025-07-17T04:20:00.000Z,2025-07-19,,,2025-07-19 22:20:00-07:00
1752987900000,2.2369,7.6056,0,0,1,85,62.1,86,,57.86,62.1,29.95,30.023,0,0,24991,22491900,2025-07-17T04:20:00.000Z,2025-07-19,,,2025-07-19 22:05:00-07:00
1752987000000,2.908,8.5004,0,0,1,89,62.2,85,4.3,57.63,62.2,29.95,30.023,0,0,24991,22491900,2025-07-17T04:20:00.000Z,2025-07-19,,,2025-07-19 21:50:00-07:00
1752986100000,3.1317,10.5136,0,0,1,60,62.2,84,,57.3,62.2,29.94,30.0129,0,0,24991,22491900,2025-07-17T04:20:00.000Z,2025-07-19,,,2025-07-19 21:35:00-07:00
1752985200000,2.2369,7.8293,0,0,1,58,62.4,84,,57.5,62.4,29.94,30.0129,0,0,24991,22491900,2025-07-17T04:20:00.000Z,2025-07-19,,,2025-07-19 21:20:00-07:00
1752984300000,1.7895,6.9345,0,0,1,76,62.2,84,,57.3,62.2,29.94,30.0129,0,0,24991,22491900,2025-07-17T04:20:00.000Z,2025-07-19,,,2025-07-19 21:05:00-07:00
