dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,date,batt1volts,local_time
1764748200000,0.0,0.0,0,0,1,222,50.7,97,49.88,50.7,29.96,30.0583,0,0,2781,2502900,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 23:50:00-08:00
1764747300000,0.0,0.0,0,0,1,222,51.1,97,50.28,51.1,29.96,30.0582,0,0,2781,2502900,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 23:35:00-08:00
1764746400000,0.0,0.0,0,0,1,222,51.8,96,50.7,51.8,29.96,30.0581,0,0,2781,2502900,2025-10-14T14:47:00.000Z,2025-12-02,4.21,2025-12-02 23:20:00-08:00
1764745500000,0.0,0.0,0,0,1,222,52.3,97,51.47,52.3,29.96,30.058,0,0,2781,2502900,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 23:05:00-08:00
1764744600000,0.0,0.0,0,0,1,222,52.5,96,51.39,52.5,29.97,30.068,0,0,2781,2502900,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 22:50:00-08:00
1764743700000,0.0,0.0,0,0,1,222,52.9,96,51.79,52.9,29.97,30.0679,0,0,2781,2502900,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 22:35:00-08:00
1764742800000,0.0,0.0,0,0,1,222,53.2,95,51.8,53.2,29.97,30.0678,0,0,2781,2502900,2025-10-14T14:47:00.000Z,2025-12-02,4.22,2025-12-02 22:20:00-08:00
1764741900000,0.0,0.0,0,0,1,222,53.8,94,52.11,53.8,29.97,30.0677,0,0,2781,2502900,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 22:05:00-08:00
1764741000000,0.0,0.0,0,0,1,222,54.9,94,53.2,54.9,29.97,30.0675,0,0,2781,2502900,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 21:50:00-08:00
1764740100000,0.0,0.0,0,0,1,222,55.0,94,53.3,55.0,29.97,30.0675,0,0,2781,2502900,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 21:35:00-08:00
1764739200000,0.6711,1.3422,0,0,1,222,54.9,95,53.49,54.9,29.97,30.0675,0,0,2781,2502900,2025-10-14T14:47:00.000Z,2025-12-02,4.21,2025-12-02 21:20:00-08:00
1764738300000,0.8948,1.7895,0,0,1,222,54.9,95,53.49,54.9,29.97,30.0675,0,0,2781,2502900,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 21:05:00-08:00
1764737400000,1.1185,1.7895,0,0,1,222,54.3,96,53.18,54.3,29.97,30.0676,0,0,2781,2502900,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 20:50:00-08:00
1764736500000,0.0,1.3422,0,0,1,222,53.6,96,52.49,53.6,29.97,30.0678,0,0,2781,2502900,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 20:35:00-08:00
1764735600000,0.0,0.0,0,0,1,222,53.6,96,52.49,53.6,29.96,30.0577,0,0,2781,2502900,2025-10-14T14:47:00.000Z,2025-12-02,4.23,2025-12-02 20:20:00-08:00
1764734700000,0.0,0.0,0,0,1,222,54.1,96,52.98,54.1,29.96,30.0576,0,0,2781,2502900,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 20:05:00-08:00
1764733800000,0.0,0.0,0,0,1,222,54.7,95,53.3,54.7,29.96,30.0575,0,0,2781,2502900,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 19:50:00-08:00
1764732900000,0.0,0.0,0,0,1,222,55.2,95,53.79,55.2,29.97,30.0675,0,0,2781,2502900,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 19:35:00-08:00
1764732000000,0.0,0.0,0,0,1,222,55.8,94,54.1,55.8,29.97,30.0673,0,0,2781,2502900,2025-10-14T14:47:00.000Z,2025-12-02,4.24,2025-12-02 19:20:00-08:00
1764731100000,0.0,0.0,0,0,1,222,56.3,94,54.59,56.3,29.97,30.0673,0,0,2781,2502900,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 19:05:00-08:00
1764730200000,0.0,0.0,0,0,1,222,56.8,94,55.09,56.8,29.96,30.0571,0,0,2781,2502900,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 18:50:00-08:00
1764729300000,0.0,1.3422,0,0,1,222,57.7,93,55.69,57.7,29.96,30.057,0,0,2781,2502900,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 18:35:00-08:00
1764728400000,0.0,1.3422,0,0,1,222,58.6,92,56.28,58.6,29.96,30.0568,0,0,2781,2502900,2025-10-14T14:47:00.000Z,2025-12-02,4.24,2025-12-02 18:20:00-08:00
1764727500000,0.6711,2.2369,0,0,1,222,59.2,91,56.57,59.2,29.97,30.0667,0,0,2781,2502900,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 18:05:00-08:00
1764726600000,0.8948,2.2369,0,0,1,222,59.4,91,56.77,59.4,29.97,30.0667,0,0,2781,2502900,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 17:50:00-08:00
1764725700000,0.8948,2.6843,0,0,1,222,59.5,90,56.56,59.5,29.97,30.0667,0,0,2781,2502900,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 17:35:00-08:00
1764724800000,2.0132,3.1317,0,0,1,222,59.5,89,56.25,59.5,29.97,30.0667,0,0,2781,2502900,2025-10-14T14:47:00.000Z,2025-12-02,4.25,2025-12-02 17:20:00-08:00
1764723900000,1.7895,3.5791,0,0,1,222,59.7,90,56.76,59.7,29.98,30.0766,0,0,2781,2502900,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 17:05:00-08:00
1764723000000,1.5659,4.0265,0,0,1,222,60.1,89,56.84,60.1,29.98,30.0766,0,0,2781,2502900,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 16:50:00-08:00
1764722100000,1.7895,4.4739,0,0,1,222,60.6,88,57.02,60.6,29.98,30.0765,3,1260,2778,2502900,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 16:35:00-08:00
1764721200000,1.5659,3.1317,0,0,1,222,61.0,87,57.1,61.0,29.98,30.0764,7,3360,2771,2500200,2025-10-14T14:47:00.000Z,2025-12-02,4.26,2025-12-02 16:20:00-08:00
1764720300000,1.3422,4.0265,0,0,1,222,61.7,85,57.14,61.7,29.98,30.0763,10,4200,2761,2493900,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 16:05:00-08:00
1764719400000,1.3422,2.908,0,0,1,222,62.2,83,56.97,62.2,29.98,30.0762,22,10560,2739,2484900,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 15:50:00-08:00
1764718500000,0.8948,3.1317,0,0,1,222,62.6,79,55.99,62.6,29.99,30.0861,18,7560,2721,2465100,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 15:35:00-08:00
1764717600000,1.1185,3.5791,0,0,1,222,63.0,73,54.2,63.0,29.99,30.0861,18,8640,2703,2448900,2025-10-14T14:47:00.000Z,2025-12-02,4.27,2025-12-02 15:20:00-08:00
1764716700000,1.7895,3.8028,0,0,1,222,63.1,68,52.36,63.1,30.0,30.0961,21,8820,2682,2432700,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 15:05:00-08:00
1764715800000,1.7895,4.4739,0,0,1,222,63.1,59,48.54,63.1,30.0,30.0961,25,12000,2657,2413800,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 14:50:00-08:00
1764714900000,1.1185,3.1317,0,0,1,222,63.3,63,50.49,63.3,30.0,30.096,69,28980,2588,2391300,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 14:35:00-08:00
1764714000000,1.3422,4.2502,0,0,1,222,63.5,70,53.54,63.5,30.0,30.096,47,22560,2541,2329200,2025-10-14T14:47:00.000Z,2025-12-02,4.3,2025-12-02 14:20:00-08:00
1764713100000,1.5659,4.2502,0,0,1,222,63.9,71,54.31,63.9,29.99,30.0859,59,24780,2482,2286900,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 14:05:00-08:00
1764712200000,2.0132,4.4739,0,0,1,222,64.6,67,53.39,64.6,30.0,30.0958,99,47520,2383,2233800,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 13:50:00-08:00
1764711300000,1.7895,3.8028,0,0,1,222,64.4,65,52.37,64.4,30.0,30.0958,315,132300,2068,2144700,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 13:35:00-08:00
1764710400000,2.2369,4.0265,0,0,1,222,64.4,61,50.65,64.4,30.01,30.1059,324,155520,1744,1861200,2025-10-14T14:47:00.000Z,2025-12-02,4.35,2025-12-02 13:20:00-08:00
1764709500000,2.0132,3.8028,0,0,1,222,63.9,59,49.29,63.9,30.02,30.116,227,95340,1517,1569600,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 13:05:00-08:00
1764708600000,1.7895,3.1317,0,0,1,222,63.3,58,48.27,63.3,30.03,30.1261,187,89760,1330,1365300,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 12:50:00-08:00
1764707700000,1.5659,3.1317,0,0,1,222,63.3,58,48.27,63.3,30.03,30.1261,88,36960,1242,1197000,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 12:35:00-08:00
1764706800000,2.0132,3.8028,0,0,1,222,63.7,62,50.43,63.7,30.04,30.1361,138,66240,1104,1117800,2025-10-14T14:47:00.000Z,2025-12-02,4.28,2025-12-02 12:20:00-08:00
1764705900000,1.7895,3.1317,0,0,1,222,63.3,72,54.11,63.3,30.05,30.1462,127,53340,977,993600,2025-10-14T14:47:00.000Z,2025-12-02,,2025-12-02 12:05:00-08:00
