dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,date,tz,historical,batt1volts,local_time
1741269600000,0.2237,2.4606,0.0,0.0,1,231,47.1,79,29.88,29.9787,0,0,0,0,47.1,40.93,2025-03-06,,,,2025-03-06 06:00:00-08:00
1741268700000,0.0,0.0,0.0,0.01,1,231,47.5,78,29.88,29.9786,0,0,0,0,47.5,40.99,2025-03-06,America/Los_Angeles,True,,2025-03-06 05:45:00-08:00
1741267800000,0.0,1.1185,0.0,0.01,1,231,47.7,77,29.88,29.9786,0,0,0,0,47.7,40.85,2025-03-06,America/Los_Angeles,True,,2025-03-06 05:30:00-08:00
1741266900000,0.2237,2.908,0.0,0.01,1,231,47.7,78,29.88,29.9786,0,0,0,0,47.7,41.18,2025-03-06,America/Los_Angeles,True,4.03,2025-03-06 05:15:00-08:00
1741266000000,0.0,1.3422,0.0,0.01,1,231,47.7,79,29.88,29.9786,0,0,0,0,47.7,41.51,2025-03-06,America/Los_Angeles,True,,2025-03-06 05:00:00-08:00
1741265100000,0.8948,2.908,0.0,0.01,1,231,47.7,79,29.87,29.9686,0,0,0,0,47.7,41.51,2025-03-06,America/Los_Angeles,True,,2025-03-06 04:45:00-08:00
1741264200000,0.0,1.7895,0.0,0.01,1,231,47.7,80,29.88,29.9786,0,0,0,0,47.7,41.84,2025-03-06,America/Los_Angeles,True,,2025-03-06 04:30:00-08:00
1741263300000,0.2237,2.0132,0.0,0.01,1,231,47.8,82,29.88,29.9786,0,0,0,0,47.8,42.58,2025-03-06,America/Los_Angeles,True,4.03,2025-03-06 04:15:00-08:00
1741262400000,0.2237,2.2369,0.0,0.01,1,231,48.0,83,29.88,29.9785,0,0,0,0,48.0,43.09,2025-03-06,America/Los_Angeles,True,,2025-03-06 04:00:00-08:00
1741261500000,0.0,2.4606,0.0,0.0,1,231,47.8,85,29.88,29.9786,0,0,0,0,47.8,43.51,2025-03-06,America/Los_Angeles,True,,2025-03-06 03:45:00-08:00
1741260600000,0.0,2.2369,0.0,0.0,1,231,47.8,85,29.88,29.9786,0,0,0,0,47.8,43.51,2025-03-06,America/Los_Angeles,True,,2025-03-06 03:30:00-08:00
1741259700000,0.2237,1.5659,0.0,0.0,1,231,48.2,83,29.88,29.9785,0,0,0,0,48.2,43.28,2025-03-06,America/Los_Angeles,True,4.04,2025-03-06 03:15:00-08:00
1741258800000,0.6711,6.9345,0.0315,0.0,1,337,48.6,82,29.89,29.9885,0,0,0,0,48.6,43.36,2025-03-06,America/Los_Angeles,True,,2025-03-06 03:00:00-08:00
1741257900000,0.6711,8.5004,0.0,0.0,1,337,48.4,83,29.88,29.9785,0,0,0,0,48.4,43.48,2025-03-06,America/Los_Angeles,True,,2025-03-06 02:45:00-08:00
1741257000000,0.0,0.0,0.0,0.0,1,4,48.2,84,29.89,29.9885,0,0,0,0,48.2,43.6,2025-03-06,America/Los_Angeles,True,,2025-03-06 02:30:00-08:00
1741256100000,0.0,1.1185,0.0,0.0,1,4,48.4,83,29.89,29.9885,0,0,0,0,48.4,43.48,2025-03-06,America/Los_Angeles,True,4.04,2025-03-06 02:15:00-08:00
1741255200000,0.0,0.0,0.0,0.0,1,4,48.7,81,29.9,29.9985,0,0,0,0,48.7,43.13,2025-03-06,America/Los_Angeles,True,,2025-03-06 02:00:00-08:00
1741254300000,0.2237,3.5791,0.0,0.0,1,4,49.1,80,29.9,29.9984,0,0,0,0,49.1,43.2,2025-03-06,America/Los_Angeles,True,,2025-03-06 01:45:00-08:00
1741253400000,0.0,2.2369,0.0,0.0,1,4,48.9,78,29.91,30.0085,0,0,0,0,48.9,42.35,2025-03-06,America/Los_Angeles,True,,2025-03-06 01:30:00-08:00
1741252500000,0.0,3.1317,0.0,0.0,1,4,48.9,77,29.91,30.0085,0,0,0,0,48.9,42.01,2025-03-06,America/Los_Angeles,True,4.04,2025-03-06 01:15:00-08:00
1741251600000,1.1185,6.2634,0.0,0.0,1,4,49.1,75,29.91,30.0084,0,0,0,0,49.1,41.52,2025-03-06,America/Los_Angeles,True,,2025-03-06 01:00:00-08:00
1741250700000,0.2237,4.4739,0.0,0.0,1,20,49.1,74,29.91,30.0084,0,0,0,0,49.1,41.18,2025-03-06,America/Los_Angeles,True,,2025-03-06 00:45:00-08:00
1741249800000,0.4474,4.0265,0.0,0.0,1,234,48.7,74,29.91,30.0085,0,0,0,0,48.7,40.79,2025-03-06,America/Los_Angeles,True,,2025-03-06 00:30:00-08:00
1741248900000,0.2237,1.5659,0.0,0.0,1,346,48.2,74,29.91,30.0086,0,0,0,0,48.2,40.31,2025-03-06,America/Los_Angeles,True,4.04,2025-03-06 00:15:00-08:00
1741248000000,0.4474,4.0265,0.0,0.0,1,346,47.8,75,29.9,29.9987,0,0,0,1161000,47.8,40.27,2025-03-06,America/Los_Angeles,True,,2025-03-06 00:00:00-08:00
