dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,date,lastRain,local_time
1765698660000,0.0,0.0,0,0,1,292,50.7,96,4.25,49.6,50.7,30.02,30.0948,0,0,0,4521600,America/Los_Angeles,True,2025-12-13,,2025-12-13 23:51:00-08:00
1765697760000,0.0,0.0,0,0,1,292,50.7,96,,49.6,50.7,30.02,30.0948,0,0,0,4521600,America/Los_Angeles,True,2025-12-13,,2025-12-13 23:36:00-08:00
1765696860000,0.0,0.0,0,0,1,292,50.4,96,,49.3,50.4,30.03,30.1048,0,0,5024,4521600,,,2025-12-13,2025-12-08T20:51:00.000Z,2025-12-13 23:21:00-08:00
1765695060000,0.0,0.0,0,0,1,292,50.7,96,4.26,49.6,50.7,30.02,30.0948,0,0,5024,4521600,,,2025-12-13,2025-12-08T20:51:00.000Z,2025-12-13 22:51:00-08:00
1765694160000,0.0,0.0,0,0,1,292,50.7,96,,49.6,50.7,30.02,30.0948,0,0,5024,4521600,,,2025-12-13,2025-12-08T20:51:00.000Z,2025-12-13 22:36:00-08:00
1765693260000,0.0,0.0,0,0,1,292,50.7,95,,49.32,50.7,30.02,30.0948,0,0,5024,4521600,,,2025-12-13,2025-12-08T20:51:00.000Z,2025-12-13 22:21:00-08:00
1765692360000,0.0,0.0,0,0,1,292,50.9,95,,49.52,50.9,30.02,30.0947,0,0,5024,4521600,,,2025-12-13,2025-12-08T20:51:00.000Z,2025-12-13 22:06:00-08:00
1765691460000,0.0,0.0,0,0,1,292,50.9,95,4.26,49.52,50.9,30.02,30.0947,0,0,5024,4521600,,,2025-12-13,2025-12-08T20:51:00.000Z,2025-12-13 21:51:00-08:00
1765690560000,0.0,1.1185,0,0,1,292,51.1,95,,49.72,51.1,30.01,30.0847,0,0,5024,4521600,,,2025-12-13,2025-12-08T20:51:00.000Z,2025-12-13 21:36:00-08:00
1765689660000,0.0,0.0,0,0,1,292,51.4,95,,50.02,51.4,30.02,30.0947,0,0,5024,4521600,,,2025-12-13,2025-12-08T20:51:00.000Z,2025-12-13 21:21:00-08:00
1765688760000,0.0,0.0,0,0,1,292,51.4,94,,49.73,51.4,30.01,30.0846,0,0,5024,4521600,,,2025-12-13,2025-12-08T20:51:00.000Z,2025-12-13 21:06:00-08:00
1765687860000,0.0,0.0,0,0,1,292,51.6,94,4.28,49.93,51.6,30.01,30.0846,0,0,5024,4521600,,,2025-12-13,2025-12-08T20:51:00.000Z,2025-12-13 20:51:00-08:00
1765686960000,0.0,0.0,0,0,1,292,51.8,94,,50.13,51.8,30.01,30.0846,0,0,5024,4521600,,,2025-12-13,2025-12-08T20:51:00.000Z,2025-12-13 20:36:00-08:00
1765686060000,0.0,0.0,0,0,1,292,52.2,93,,50.24,52.2,30.01,30.0845,0,0,5024,4521600,,,2025-12-13,2025-12-08T20:51:00.000Z,2025-12-13 20:21:00-08:00
1765685160000,0.0,0.0,0,0,1,292,52.5,93,,50.53,52.5,30.01,30.0845,0,0,5024,4521600,,,2025-12-13,2025-12-08T20:51:00.000Z,2025-12-13 20:06:00-08:00
1765684260000,0.0,0.0,0,0,1,292,52.9,92,4.3,50.64,52.9,30.01,30.0844,0,0,5024,4521600,,,2025-12-13,2025-12-08T20:51:00.000Z,2025-12-13 19:51:00-08:00
1765683360000,0.0,0.0,0,0,1,292,53.8,92,,51.53,53.8,30.01,30.0843,0,0,5024,4521600,,,2025-12-13,2025-12-08T20:51:00.000Z,2025-12-13 19:36:00-08:00
1765682460000,0.0,1.3422,0,0,1,292,54.5,92,,52.22,54.5,30.01,30.0842,0,0,5024,4521600,America/Los_Angeles,True,2025-12-13,,2025-12-13 19:21:00-08:00
1765681560000,0.0,0.0,0,0,1,292,55.0,92,4.31,52.72,55.0,30.01,30.0841,0,0,5024,4521600,,,2025-12-13,2025-12-08T20:51:00.000Z,2025-12-13 19:06:00-08:00
1765680660000,0.0,0.0,0,0,1,292,55.2,91,,52.62,55.2,30.0,30.0741,0,0,5024,4521600,,,2025-12-13,2025-12-08T20:51:00.000Z,2025-12-13 18:51:00-08:00
1765679760000,0.0,0.0,0,0,1,292,55.4,91,,52.82,55.4,30.0,30.074,0,0,5024,4521600,,,2025-12-13,2025-12-08T20:51:00.000Z,2025-12-13 18:36:00-08:00
1765678860000,0.0,0.0,0,0,1,292,55.6,91,,53.01,55.6,30.0,30.074,0,0,5024,4521600,,,2025-12-13,2025-12-08T20:51:00.000Z,2025-12-13 18:21:00-08:00
1765677960000,0.0,0.0,0,0,1,292,56.1,90,4.33,53.21,56.1,30.0,30.0739,0,0,5024,4521600,,,2025-12-13,2025-12-08T20:51:00.000Z,2025-12-13 18:06:00-08:00
1765677060000,2.2369,5.3686,0,0,1,291,56.8,90,,53.9,56.8,30.0,30.0738,0,0,5024,4521600,,,2025-12-13,2025-12-08T20:51:00.000Z,2025-12-13 17:51:00-08:00
1765676160000,3.5791,8.7241,0,0,1,277,56.7,90,,53.8,56.7,30.0,30.0739,0,0,5024,4521600,,,2025-12-13,2025-12-08T20:51:00.000Z,2025-12-13 17:36:00-08:00
1765675260000,4.0265,8.2767,0,0,1,274,56.7,89,,53.49,56.7,29.99,30.0638,0,0,5024,4521600,,,2025-12-13,2025-12-08T20:51:00.000Z,2025-12-13 17:21:00-08:00
1765674360000,4.0265,9.1714,0,0,1,287,56.8,89,4.35,53.59,56.8,29.99,30.0638,0,0,5024,4521600,,,2025-12-13,2025-12-08T20:51:00.000Z,2025-12-13 17:06:00-08:00
