dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,passkey,time,loc,date,batt1volts,local_time
1759301220000,0.0,0.0,0,0,1,257,62.4,88,58.8,62.4,30.0,30.0962,0,0,0,5766300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1759276800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1759276800000.json,2025-09-30,,2025-09-30 23:47:00-07:00
1759300320000,0.0,0.0,0,0,1,257,62.8,88,59.19,62.8,30.0,30.0961,0,0,0,5766300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1759276800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1759276800000.json,2025-09-30,4.32,2025-09-30 23:32:00-07:00
1759299420000,0.0,0.0,0,0,1,257,63.1,87,59.16,63.1,30.0,30.0961,0,0,0,5766300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1759276800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1759276800000.json,2025-09-30,,2025-09-30 23:17:00-07:00
1759298520000,0.0,0.0,0,0,1,257,63.9,85,59.3,63.9,30.0,30.0959,0,0,0,5766300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1759276800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1759276800000.json,2025-09-30,,2025-09-30 23:02:00-07:00
1759297620000,0.0,1.3422,0,0,1,257,64.6,84,59.65,64.6,30.0,30.0958,0,0,0,5766300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1759276800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1759276800000.json,2025-09-30,,2025-09-30 22:47:00-07:00
1759296720000,0.0,0.0,0,0,1,257,64.9,84,59.94,64.9,30.0,30.0958,0,0,0,5766300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1759276800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1759276800000.json,2025-09-30,4.33,2025-09-30 22:32:00-07:00
1759295820000,0.0,2.0132,0,0,1,257,64.8,85,60.18,64.8,30.0,30.0958,0,0,0,5766300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1759276800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1759276800000.json,2025-09-30,,2025-09-30 22:17:00-07:00
1759294920000,0.0,2.0132,0,0,1,257,64.6,84,59.65,64.6,30.0,30.0958,0,0,0,5766300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1759276800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1759276800000.json,2025-09-30,,2025-09-30 22:02:00-07:00
1759294020000,0.2237,2.0132,0,0,1,257,64.9,84,59.94,64.9,29.99,30.0857,0,0,0,5766300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1759276800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1759276800000.json,2025-09-30,,2025-09-30 21:47:00-07:00
1759293120000,0.0,0.0,0,0,1,257,66.0,82,60.34,66.0,29.99,30.0855,0,0,0,5766300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1759276800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1759276800000.json,2025-09-30,4.34,2025-09-30 21:32:00-07:00
1759292220000,0.0,0.0,0,0,1,257,67.5,81,61.46,67.5,29.99,30.0852,0,0,0,5766300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1759276800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1759276800000.json,2025-09-30,,2025-09-30 21:17:00-07:00
