dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,passkey,time,loc,date,batt1volts,local_time
1758782820000,1.1185,2.2369,0,0,1,227,65.5,98,64.92,65.5,29.96,30.0555,0,0,0,4787100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1758758400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1758758400000.json,2025-09-24,,2025-09-24 23:47:00-07:00
1758781920000,0.0,1.5659,0,0,1,227,65.7,98,65.12,65.7,29.96,30.0555,0,0,0,4787100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1758758400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1758758400000.json,2025-09-24,,2025-09-24 23:32:00-07:00
1758781020000,0.6711,1.7895,0,0,1,227,65.7,98,65.12,65.7,29.96,30.0555,0,0,0,4787100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1758758400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1758758400000.json,2025-09-24,,2025-09-24 23:17:00-07:00
1758780120000,0.8948,2.0132,0,0,1,227,65.7,98,65.12,65.7,29.96,30.0555,0,0,0,4787100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1758758400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1758758400000.json,2025-09-24,4.33,2025-09-24 23:02:00-07:00
1758779220000,0.8948,2.0132,0,0,1,227,65.8,98,65.22,65.8,29.96,30.0555,0,0,0,4787100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1758758400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1758758400000.json,2025-09-24,,2025-09-24 22:47:00-07:00
1758778320000,1.1185,2.0132,0,0,1,227,65.8,97,64.92,65.8,29.96,30.0555,0,0,0,4787100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1758758400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1758758400000.json,2025-09-24,,2025-09-24 22:32:00-07:00
1758777420000,1.3422,2.2369,0,0,1,227,66.0,97,65.12,66.0,29.96,30.0554,0,0,0,4787100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1758758400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1758758400000.json,2025-09-24,,2025-09-24 22:17:00-07:00
1758776520000,1.5659,2.2369,0,0,1,227,66.2,96,65.02,66.2,29.96,30.0554,0,0,0,4787100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1758758400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1758758400000.json,2025-09-24,4.33,2025-09-24 22:02:00-07:00
1758775620000,0.2237,2.0132,0,0,1,227,66.0,96,64.82,66.0,29.96,30.0554,0,0,0,4787100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1758758400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1758758400000.json,2025-09-24,,2025-09-24 21:47:00-07:00
1758774720000,0.4474,1.7895,0,0,1,227,66.0,96,64.82,66.0,29.96,30.0554,0,0,0,4787100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1758758400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1758758400000.json,2025-09-24,,2025-09-24 21:32:00-07:00
1758773820000,1.1185,1.7895,0,0,1,227,65.8,96,64.63,65.8,29.96,30.0555,0,0,0,4787100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1758758400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1758758400000.json,2025-09-24,,2025-09-24 21:17:00-07:00
1758772920000,1.1185,2.0132,0,0,1,227,65.7,97,64.82,65.7,29.96,30.0555,0,0,0,4787100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1758758400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1758758400000.json,2025-09-24,4.33,2025-09-24 21:02:00-07:00
1758772020000,0.2237,1.5659,0,0,1,227,65.3,97,64.43,65.3,29.96,30.0556,0,0,0,4787100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1758758400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1758758400000.json,2025-09-24,,2025-09-24 20:47:00-07:00
1758771120000,0.0,0.0,0,0,1,227,65.3,97,64.43,65.3,29.96,30.0556,0,0,0,4787100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1758758400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1758758400000.json,2025-09-24,,2025-09-24 20:32:00-07:00
1758770220000,0.0,0.0,0,0,1,227,65.3,96,64.13,65.3,29.95,30.0455,0,0,0,4787100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1758758400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1758758400000.json,2025-09-24,,2025-09-24 20:17:00-07:00
1758769320000,0.0,1.5659,0,0,1,227,65.5,96,64.33,65.5,29.94,30.0355,0,0,0,4787100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1758758400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1758758400000.json,2025-09-24,4.33,2025-09-24 20:02:00-07:00
1758768420000,0.0,0.0,0,0,1,227,65.8,96,64.63,65.8,29.94,30.0354,0,0,0,4787100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1758758400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1758758400000.json,2025-09-24,,2025-09-24 19:47:00-07:00
1758767520000,0.0,0.0,0,0,1,227,66.0,95,64.52,66.0,29.94,30.0354,0,0,0,4787100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1758758400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1758758400000.json,2025-09-24,,2025-09-24 19:32:00-07:00
1758766620000,0.0,1.1185,0,0,1,227,66.2,95,64.72,66.2,29.94,30.0353,0,0,0,4787100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1758758400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1758758400000.json,2025-09-24,,2025-09-24 19:17:00-07:00
1758765720000,0.4474,1.5659,0,0,1,227,66.4,95,64.92,66.4,29.95,30.0453,0,0,0,4787100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1758758400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1758758400000.json,2025-09-24,4.34,2025-09-24 19:02:00-07:00
1758764820000,1.3422,2.908,0,0,1,227,66.7,94,64.92,66.7,29.94,30.0352,1,180,0,4787100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1758758400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1758758400000.json,2025-09-24,,2025-09-24 18:47:00-07:00
1758763920000,1.3422,3.1317,0,0,1,227,66.9,93,64.81,66.9,29.94,30.0352,6,1080,0,4786200,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1758758400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1758758400000.json,2025-09-24,,2025-09-24 18:32:00-07:00
1758763020000,1.7895,4.2502,0,0,1,227,67.3,93,65.2,67.3,29.95,30.0452,7,1260,0,4780800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1758758400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1758758400000.json,2025-09-24,,2025-09-24 18:17:00-07:00
