dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,passkey,time,loc,date,lastRain,local_time
1761461220000,0.0,0.0,0,0,1,225,54.9,96,4.31,53.78,54.9,30.02,30.1177,0,0,73,5203800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761436800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761436800000.json,2025-10-25,,2025-10-25 23:47:00-07:00
1761460320000,0.0,0.0,0,0,1,225,55.2,96,,54.08,55.2,30.02,30.1176,0,0,73,5203800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761436800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761436800000.json,2025-10-25,,2025-10-25 23:32:00-07:00
1761459420000,0.0,0.0,0,0,1,225,55.6,96,,54.48,55.6,30.01,30.1075,0,0,73,5203800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761436800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761436800000.json,2025-10-25,,2025-10-25 23:17:00-07:00
1761458520000,0.0,0.0,0,0,1,225,55.9,96,,54.78,55.9,30.01,30.1075,0,0,73,5203800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761436800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761436800000.json,2025-10-25,,2025-10-25 23:02:00-07:00
1761457620000,0.4474,1.3422,0,0,1,225,55.4,96,4.31,54.28,55.4,30.0,30.0975,0,0,73,5203800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761436800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761436800000.json,2025-10-25,,2025-10-25 22:47:00-07:00
1761456720000,0.0,1.3422,0,0,1,225,55.0,95,,53.59,55.0,30.0,30.0976,0,0,73,5203800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761436800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761436800000.json,2025-10-25,,2025-10-25 22:32:00-07:00
1761455820000,0.0,0.0,0,0,1,225,55.0,95,,53.59,55.0,30.0,30.0976,0,0,73,5203800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761436800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761436800000.json,2025-10-25,,2025-10-25 22:17:00-07:00
1761454920000,0.0,0.0,0,0,1,225,55.0,93,,53.01,55.0,30.0,30.0976,0,0,73,5203800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761436800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761436800000.json,2025-10-25,,2025-10-25 22:02:00-07:00
1761454020000,0.0,0.0,0,0,1,225,55.0,93,4.33,53.01,55.0,30.0,30.0976,0,0,73,5203800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761436800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761436800000.json,2025-10-25,,2025-10-25 21:47:00-07:00
1761453120000,0.0,0.0,0,0,1,225,55.0,92,,52.72,55.0,30.0,30.0976,0,0,73,5203800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761436800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761436800000.json,2025-10-25,,2025-10-25 21:32:00-07:00
1761452220000,0.0,0.0,0,0,1,225,55.6,92,,53.31,55.6,30.0,30.0975,0,0,73,5203800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761436800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761436800000.json,2025-10-25,,2025-10-25 21:17:00-07:00
1761451320000,0.0,0.0,0,0,1,225,56.3,92,,54.0,56.3,30.0,30.0974,0,0,73,5203800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761436800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761436800000.json,2025-10-25,,2025-10-25 21:02:00-07:00
1761450420000,0.0,0.0,0,0,1,225,56.7,92,4.33,54.4,56.7,30.0,30.0973,0,0,73,5203800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761436800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761436800000.json,2025-10-25,,2025-10-25 20:47:00-07:00
1761449520000,0.0,0.0,0,0,1,225,57.0,92,,54.7,57.0,29.99,30.0872,0,0,73,5203800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761436800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761436800000.json,2025-10-25,,2025-10-25 20:32:00-07:00
