dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,passkey,time,loc,date,lastRain,local_time
1755586020000,0.0,0.0,0,0,1,261,65.1,89,4.32,61.77,65.1,29.95,30.0456,0,0,22,8731800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1755561600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1755561600000.json,2025-08-18,,2025-08-18 23:47:00-07:00
1755585120000,0.0,0.0,0,0,1,261,65.3,89,,61.97,65.3,29.95,30.0455,0,0,22,8731800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1755561600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1755561600000.json,2025-08-18,,2025-08-18 23:32:00-07:00
1755584220000,0.0,0.0,0,0,1,261,65.5,89,,62.17,65.5,29.95,30.0455,0,0,22,8731800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1755561600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1755561600000.json,2025-08-18,,2025-08-18 23:17:00-07:00
1755583320000,0.0,0.0,0,0,1,261,65.8,89,,62.46,65.8,29.94,30.0354,0,0,22,8731800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1755561600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1755561600000.json,2025-08-18,,2025-08-18 23:02:00-07:00
1755582420000,0.0,0.0,0,0,1,261,66.0,90,4.33,62.98,66.0,29.93,30.0253,0,0,22,8731800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1755561600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1755561600000.json,2025-08-18,,2025-08-18 22:47:00-07:00
1755581520000,0.0,0.0,0,0,1,261,66.4,89,,63.05,66.4,29.93,30.0253,0,0,22,8731800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1755561600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1755561600000.json,2025-08-18,,2025-08-18 22:32:00-07:00
1755580620000,0.0,0.0,0,0,1,261,66.6,89,,63.25,66.6,29.93,30.0252,0,0,22,8731800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1755561600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1755561600000.json,2025-08-18,,2025-08-18 22:17:00-07:00
1755579720000,0.0,0.0,0,0,1,261,66.2,88,,62.54,66.2,29.93,30.0253,0,0,22,8731800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1755561600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1755561600000.json,2025-08-18,,2025-08-18 22:02:00-07:00
1755578820000,0.0,0.0,0,0,1,261,66.0,89,4.33,62.66,66.0,29.93,30.0253,0,0,22,8731800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1755561600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1755561600000.json,2025-08-18,,2025-08-18 21:47:00-07:00
1755577920000,0.0,0.0,0,0,1,261,65.8,88,,62.14,65.8,29.93,30.0254,0,0,22,8731800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1755561600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1755561600000.json,2025-08-18,,2025-08-18 21:32:00-07:00
1755577020000,0.0,0.0,0,0,1,261,65.8,86,,61.49,65.8,29.92,30.0153,0,0,22,8731800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1755561600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1755561600000.json,2025-08-18,,2025-08-18 21:17:00-07:00
1755576120000,0.0,0.0,0,0,1,261,66.2,86,,61.88,66.2,29.92,30.0153,0,0,22,8731800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1755561600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1755561600000.json,2025-08-18,,2025-08-18 21:02:00-07:00
1755575220000,0.0,0.0,0,0,1,261,66.7,86,4.34,62.37,66.7,29.92,30.0152,0,0,22,8731800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1755561600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1755561600000.json,2025-08-18,,2025-08-18 20:47:00-07:00
1755574320000,0.2237,2.2369,0,0,1,232,66.9,87,,62.9,66.9,29.91,30.0051,0,0,22,8731800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1755561600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1755561600000.json,2025-08-18,,2025-08-18 20:32:00-07:00
