dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,passkey,time,loc,date,batt1volts,lastRain,local_time
1752734760000,0.0,0.0,0.0,0.0,1,213,57.7,91,55.09,57.7,29.95,30.0469,0,0,87,4804200,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1752710400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1752710400000.json,2025-07-16,,,2025-07-16 23:46:00-07:00
1752733860000,0.0,0.0,0.0,0.0,1,213,57.6,88,54.07,57.6,29.95,30.0469,0,0,87,4804200,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1752710400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1752710400000.json,2025-07-16,,,2025-07-16 23:31:00-07:00
1752732960000,0.0,0.0,0.0,0.0,1,213,58.1,86,53.93,58.1,29.95,30.0469,0,0,87,4804200,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1752710400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1752710400000.json,2025-07-16,4.25,,2025-07-16 23:16:00-07:00
1752732060000,0.0,0.0,0.0,0.0,1,213,59.2,87,55.33,59.2,29.95,30.0466,0,0,87,4804200,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1752710400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1752710400000.json,2025-07-16,,,2025-07-16 23:01:00-07:00
1752731160000,0.0,0.0,0.0,0.0,1,213,60.1,88,56.53,60.1,29.95,30.0465,0,0,87,4804200,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1752710400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1752710400000.json,2025-07-16,,,2025-07-16 22:46:00-07:00
1752730260000,0.0,0.0,0.0,0.0,1,213,60.4,88,56.83,60.4,29.95,30.0464,0,0,87,4804200,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1752710400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1752710400000.json,2025-07-16,,,2025-07-16 22:31:00-07:00
1752729360000,0.0,0.0,0.0,0.0,1,213,60.8,88,57.22,60.8,29.95,30.0463,0,0,87,4804200,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1752710400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1752710400000.json,2025-07-16,4.25,,2025-07-16 22:16:00-07:00
1752728460000,0.0,0.0,0.0,0.0,1,213,61.0,89,57.73,61.0,29.95,30.0463,0,0,87,4804200,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1752710400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1752710400000.json,2025-07-16,,,2025-07-16 22:01:00-07:00
1752727560000,1.1185,2.0132,0.0,0.0,1,213,61.2,88,57.61,61.2,29.94,30.0362,0,0,87,4804200,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1752710400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1752710400000.json,2025-07-16,,,2025-07-16 21:46:00-07:00
1752726660000,0.2237,1.7895,0.0,0.0,1,213,61.3,88,57.71,61.3,29.94,30.0362,0,0,87,4804200,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1752710400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1752710400000.json,2025-07-16,,,2025-07-16 21:31:00-07:00
1752725760000,0.0,1.3422,0.0,0.0,1,213,61.5,88,57.91,61.5,29.93,30.0262,0,0,87,4804200,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1752710400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1752710400000.json,2025-07-16,4.25,,2025-07-16 21:16:00-07:00
1752724860000,0.0,1.5659,0.0,0.0,1,213,61.7,88,58.11,61.7,29.93,30.0261,0,0,87,4804200,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1752710400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1752710400000.json,2025-07-16,,,2025-07-16 21:01:00-07:00
1752723960000,0.0,0.0,0.0,0.0,1,213,61.9,87,57.98,61.9,29.93,30.0261,0,0,87,4804200,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1752710400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1752710400000.json,2025-07-16,,,2025-07-16 20:46:00-07:00
1752723060000,0.0,1.3422,0.0,0.0,1,213,62.2,87,58.28,62.2,29.93,30.026,0,0,87,4804200,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1752710400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1752710400000.json,2025-07-16,,,2025-07-16 20:31:00-07:00
1752722160000,0.0,1.5659,0.0,0.0,1,213,62.4,86,58.15,62.4,29.93,30.026,0,0,87,4804200,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1752710400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1752710400000.json,2025-07-16,4.26,,2025-07-16 20:16:00-07:00
1752721260000,0.2237,2.4606,0.0,0.0,1,213,62.8,86,58.55,62.8,29.93,30.0259,2,360,87,4804200,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1752710400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1752710400000.json,2025-07-16,,,2025-07-16 20:01:00-07:00
1752720360000,1.1185,2.6843,0.0,0.0,1,213,63.0,85,58.42,63.0,29.93,30.0259,4,720,87,4802400,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1752710400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1752710400000.json,2025-07-16,,,2025-07-16 19:46:00-07:00
1752719460000,1.1185,3.1317,0.0,0.0,1,213,63.1,85,58.51,63.1,29.93,30.0259,7,1260,87,4798800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1752710400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1752710400000.json,2025-07-16,,,2025-07-16 19:31:00-07:00
1752718560000,1.3422,3.5791,0.0,0.0,1,213,63.3,84,58.38,63.3,29.92,30.0158,11,1980,87,4792500,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1752710400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1752710400000.json,2025-07-16,4.26,,2025-07-16 19:16:00-07:00
1752717660000,1.3422,4.6976,0.0,0.0,1,213,63.9,84,58.97,63.9,29.92,30.0157,21,3780,87,4782600,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1752710400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1752710400000.json,2025-07-16,,,2025-07-16 19:01:00-07:00
1752716760000,2.2369,4.9213,0.0,0.0,1,213,64.2,83,58.92,64.2,29.92,30.0156,20,3600,87,4763700,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1752710400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1752710400000.json,2025-07-16,,,2025-07-16 18:46:00-07:00
1752715860000,1.5659,3.8028,0.0,0.0,1,227,64.4,82,58.78,64.4,29.92,30.0156,21,3780,87,4745700,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1752710400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1752710400000.json,2025-07-16,,,2025-07-16 18:31:00-07:00
1752714960000,1.5659,4.6976,0.03,0.0,1,212,64.4,82,58.78,64.4,29.91,30.0056,26,4680,87,4726800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1752710400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1752710400000.json,2025-07-16,4.27,,2025-07-16 18:16:00-07:00
1752714060000,2.2369,5.816,0.0,0.0,1,212,64.8,82,59.17,64.8,29.91,30.0055,31,5580,87,4703400,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1752710400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1752710400000.json,2025-07-16,,,2025-07-16 18:01:00-07:00
1752713160000,1.5659,5.3686,0.0,0.0,1,212,64.9,82,59.27,64.9,29.92,30.0155,40,7200,87,4675500,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1752710400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1752710400000.json,2025-07-16,,,2025-07-16 17:46:00-07:00
1752712260000,1.5659,5.5923,0.0,0.0,1,212,64.9,82,59.27,64.9,29.92,30.0155,36,6480,87,4639500,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1752710400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1752710400000.json,2025-07-16,,,2025-07-16 17:31:00-07:00
1752711360000,1.5659,6.0397,0.0,0.0,1,212,65.3,82,59.66,65.3,29.92,30.0154,37,6660,87,4607100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1752710400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1752710400000.json,2025-07-16,4.29,,2025-07-16 17:16:00-07:00
1752710460000,1.7895,5.816,0.0,0.0,1,214,66.0,81,60.0,66.0,29.92,30.0153,40,7200,87,4573800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1752710400000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1752710400000.json,2025-07-16,,,2025-07-16 17:01:00-07:00
1752709560000,2.0132,4.9213,0.0,0.0,1,217,66.6,80,60.23,66.6,29.93,30.0252,42,7560,87,4537800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1752624000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1752624000000.json,2025-07-16,,,2025-07-16 16:46:00-07:00
1752708660000,1.3422,5.5923,0.0,0.0,1,217,67.1,79,60.36,67.1,29.93,30.0251,77,13860,87,4500000,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1752624000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1752624000000.json,2025-07-16,,,2025-07-16 16:31:00-07:00
