dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,passkey,time,loc,date,batt1volts,tz,historical,local_time
1762588260000,0.2237,4.0265,0.0,0.01,1,106,61.0,77,53.73,61.0,29.86,29.9329,0,0,15326,13793400,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762560000000,7395c226de765e6694f274e64ffcfa1e/daily/1762560000000.json,2025-11-07,,,,2025-11-07 23:51:00-08:00
1762587360000,0.0,1.1185,0.0,0.01,1,106,60.3,82,54.78,60.3,29.85,29.923,0,0,15326,13793400,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762560000000,7395c226de765e6694f274e64ffcfa1e/daily/1762560000000.json,2025-11-07,,,,2025-11-07 23:36:00-08:00
1762586460000,0.0,0.0,0.0,0.01,1,106,59.9,85,55.38,59.9,29.85,29.923,0,0,15326,13793400,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762560000000,7395c226de765e6694f274e64ffcfa1e/daily/1762560000000.json,2025-11-07,4.28,,,2025-11-07 23:21:00-08:00
1762585560000,0.0,0.8948,0.0,0.01,1,106,59.7,86,55.5,59.7,29.85,29.9231,0,0,15326,13793400,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762560000000,7395c226de765e6694f274e64ffcfa1e/daily/1762560000000.json,2025-11-07,,,,2025-11-07 23:06:00-08:00
1762584660000,0.0,1.5659,0.0,0.01,1,106,59.7,86,55.5,59.7,29.85,29.9231,0,0,15326,13793400,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762560000000,7395c226de765e6694f274e64ffcfa1e/daily/1762560000000.json,2025-11-07,,,,2025-11-07 22:51:00-08:00
1762583760000,0.0,0.8948,0.0,0.01,1,106,59.5,84,54.66,59.5,29.85,29.9231,0,0,15326,13793400,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762560000000,7395c226de765e6694f274e64ffcfa1e/daily/1762560000000.json,2025-11-07,,,,2025-11-07 22:36:00-08:00
1762582860000,0.0,0.0,0.0,0.01,1,106,59.7,83,54.53,59.7,29.85,29.9231,0,0,15326,13793400,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762560000000,7395c226de765e6694f274e64ffcfa1e/daily/1762560000000.json,2025-11-07,4.28,,,2025-11-07 22:21:00-08:00
1762581960000,0.0,1.3422,0.0,0.01,1,106,60.3,82,54.78,60.3,29.85,29.923,0,0,15326,13793400,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762560000000,7395c226de765e6694f274e64ffcfa1e/daily/1762560000000.json,2025-11-07,,,,2025-11-07 22:06:00-08:00
1762581060000,0.0,0.0,0.0,0.01,1,106,60.6,81,54.73,60.6,29.84,29.9129,0,0,15326,13793400,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762560000000,7395c226de765e6694f274e64ffcfa1e/daily/1762560000000.json,2025-11-07,,,,2025-11-07 21:51:00-08:00
1762580160000,0.0,2.4606,0.0,0.01,1,106,61.7,79,55.12,61.7,29.84,29.9128,0,0,15326,13793400,,7395c226de765e6694f274e64ffcfa1e,1762560000000,7395c226de765e6694f274e64ffcfa1e/daily/1762560000000.json,2025-11-07,,America/Los_Angeles,True,2025-11-07 21:36:00-08:00
1762579260000,0.2237,2.4606,0.0,0.01,1,106,62.8,78,55.83,62.8,29.84,29.9126,0,0,15326,13793400,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762560000000,7395c226de765e6694f274e64ffcfa1e/daily/1762560000000.json,2025-11-07,,,,2025-11-07 21:21:00-08:00
1762578360000,0.0,1.5659,0.0,0.01,1,106,63.0,78,56.03,63.0,29.84,29.9126,0,0,15326,13793400,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762560000000,7395c226de765e6694f274e64ffcfa1e/daily/1762560000000.json,2025-11-07,,,,2025-11-07 21:06:00-08:00
1762577460000,0.0,1.5659,0.0,0.01,1,106,63.5,76,55.79,63.5,29.83,29.9025,0,0,15326,13793400,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762560000000,7395c226de765e6694f274e64ffcfa1e/daily/1762560000000.json,2025-11-07,4.29,,,2025-11-07 20:51:00-08:00
1762576560000,0.2237,3.5791,0.0,0.01,1,106,66.0,73,57.09,66.0,29.83,29.9021,0,0,15326,13793400,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762560000000,7395c226de765e6694f274e64ffcfa1e/daily/1762560000000.json,2025-11-07,,,,2025-11-07 20:36:00-08:00
1762575660000,3.1317,8.053,0.0,0.01,1,100,65.5,71,55.84,65.5,29.83,29.9022,0,0,15326,13793400,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762560000000,7395c226de765e6694f274e64ffcfa1e/daily/1762560000000.json,2025-11-07,,,,2025-11-07 20:21:00-08:00
1762574760000,1.3422,5.816,0.0,0.01,1,93,67.1,63,54.08,67.1,29.83,29.902,0,0,15326,13793400,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762560000000,7395c226de765e6694f274e64ffcfa1e/daily/1762560000000.json,2025-11-07,,,,2025-11-07 20:06:00-08:00
1762573860000,0.4474,2.0132,0.0,0.01,1,358,67.3,66,55.54,67.3,29.82,29.8919,0,0,15326,13793400,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762560000000,7395c226de765e6694f274e64ffcfa1e/daily/1762560000000.json,2025-11-07,4.3,,,2025-11-07 19:51:00-08:00
1762572960000,0.0,1.3422,0.0,0.01,1,358,67.3,63,54.26,67.3,29.82,29.8919,0,0,15326,13793400,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762560000000,7395c226de765e6694f274e64ffcfa1e/daily/1762560000000.json,2025-11-07,,,,2025-11-07 19:36:00-08:00
1762572060000,0.6711,2.4606,0.0,0.01,1,358,65.7,66,54.02,65.7,29.82,29.8922,0,0,15326,13793400,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762560000000,7395c226de765e6694f274e64ffcfa1e/daily/1762560000000.json,2025-11-07,,,,2025-11-07 19:21:00-08:00
1762571160000,0.6711,2.6843,0.0,0.01,1,358,64.8,70,54.78,64.8,29.83,29.9023,0,0,15326,13793400,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762560000000,7395c226de765e6694f274e64ffcfa1e/daily/1762560000000.json,2025-11-07,,,,2025-11-07 19:06:00-08:00
1762570260000,0.8948,2.908,0.0,0.01,1,358,63.9,73,55.07,63.9,29.83,29.9024,0,0,15326,13793400,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762560000000,7395c226de765e6694f274e64ffcfa1e/daily/1762560000000.json,2025-11-07,4.31,,,2025-11-07 18:51:00-08:00
1762569360000,0.4474,3.1317,0.0,0.01,1,339,64.4,73,55.55,64.4,29.83,29.9024,0,0,15326,13793400,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762560000000,7395c226de765e6694f274e64ffcfa1e/daily/1762560000000.json,2025-11-07,,,,2025-11-07 18:36:00-08:00
1762568460000,0.0,0.0,0.0,0.01,1,220,65.5,75,57.36,65.5,29.83,29.9022,0,0,15326,13793400,,7395c226de765e6694f274e64ffcfa1e,1762560000000,7395c226de765e6694f274e64ffcfa1e/daily/1762560000000.json,2025-11-07,,America/Los_Angeles,True,2025-11-07 18:21:00-08:00
1762567560000,0.8948,6.0397,0.0,0.01,1,211,66.0,73,57.09,66.0,29.83,29.9021,0,0,15326,13793400,,7395c226de765e6694f274e64ffcfa1e,1762560000000,7395c226de765e6694f274e64ffcfa1e/daily/1762560000000.json,2025-11-07,,America/Los_Angeles,True,2025-11-07 18:06:00-08:00
1762566660000,0.0,0.0,0.0,0.01,1,111,65.8,71,56.13,65.8,29.82,29.8921,0,0,15326,13793400,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762560000000,7395c226de765e6694f274e64ffcfa1e/daily/1762560000000.json,2025-11-07,,,,2025-11-07 17:51:00-08:00
1762565760000,0.0,1.3422,0.0,0.01,1,111,66.4,70,56.31,66.4,29.82,29.8921,0,0,15326,13793400,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762560000000,7395c226de765e6694f274e64ffcfa1e/daily/1762560000000.json,2025-11-07,,,,2025-11-07 17:36:00-08:00
1762564860000,0.2237,2.2369,0.0,0.01,1,111,66.9,73,57.96,66.9,29.82,29.892,0,0,15326,13793400,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762560000000,7395c226de765e6694f274e64ffcfa1e/daily/1762560000000.json,2025-11-07,,,,2025-11-07 17:21:00-08:00
1762563960000,0.0,2.0132,0.0,0.01,1,111,68.5,72,59.11,68.43,29.82,29.8918,3,2700,15323,13793400,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762560000000,7395c226de765e6694f274e64ffcfa1e/daily/1762560000000.json,2025-11-07,4.33,,,2025-11-07 17:06:00-08:00
