dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,passkey,time,loc,date,batt1volts,local_time
1760770020000,0.0,1.3422,0,0,1,243,56.3,74,48.12,56.3,29.93,30.0271,0,0,34,4604400,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1760745600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1760745600000.json,2025-10-17,,2025-10-17 23:47:00-07:00
1760769120000,0.0,0.0,0,0,1,243,56.1,75,48.28,56.1,29.93,30.0272,0,0,34,4604400,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1760745600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1760745600000.json,2025-10-17,,2025-10-17 23:32:00-07:00
1760768220000,0.0,0.0,0,0,1,243,56.1,76,48.64,56.1,29.93,30.0272,0,0,34,4604400,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1760745600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1760745600000.json,2025-10-17,,2025-10-17 23:17:00-07:00
1760767320000,0.0,0.0,0,0,1,243,56.7,76,49.22,56.7,29.93,30.027,0,0,34,4604400,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1760745600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1760745600000.json,2025-10-17,4.31,2025-10-17 23:02:00-07:00
1760766420000,0.0,0.0,0,0,1,243,57.2,74,48.99,57.2,29.93,30.027,0,0,34,4604400,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1760745600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1760745600000.json,2025-10-17,,2025-10-17 22:47:00-07:00
1760765520000,0.0,1.3422,0,0,1,243,57.7,74,49.47,57.7,29.93,30.0269,0,0,34,4604400,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1760745600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1760745600000.json,2025-10-17,,2025-10-17 22:32:00-07:00
1760764620000,0.0,0.0,0,0,1,243,58.1,73,49.49,58.1,29.92,30.0168,0,0,34,4604400,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1760745600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1760745600000.json,2025-10-17,,2025-10-17 22:17:00-07:00
1760763720000,0.2237,1.5659,0,0,1,243,58.3,75,50.41,58.3,29.92,30.0167,0,0,34,4604400,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1760745600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1760745600000.json,2025-10-17,4.31,2025-10-17 22:02:00-07:00
1760762820000,0.0,1.3422,0,0,1,243,58.6,75,50.7,58.6,29.93,30.0267,0,0,34,4604400,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1760745600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1760745600000.json,2025-10-17,,2025-10-17 21:47:00-07:00
1760761920000,0.0,0.0,0,0,1,243,59.4,74,51.11,59.4,29.93,30.0265,0,0,34,4604400,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1760745600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1760745600000.json,2025-10-17,,2025-10-17 21:32:00-07:00
