dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,date,batt1volts,tz,historical,local_time,passkey,time,loc
1762982460000,5.3686,9.8425,0,0,1,139,66.2,79,59.49,66.2,30.0,30.0725,321,288900,3396,3345300,2025-11-11T13:36:00.000Z,2025-11-12,,,,2025-11-12 13:21:00-08:00,,,
1762981560000,5.816,11.1847,0,0,1,145,66.2,79,59.49,66.2,30.0,30.0725,293,263700,3103,3056400,2025-11-11T13:36:00.000Z,2025-11-12,4.43,,,2025-11-12 13:06:00-08:00,,,
1762980660000,2.2369,7.6056,0,0,1,87,67.3,76,59.47,67.3,29.99,30.0623,212,190800,2891,2792700,2025-11-11T13:36:00.000Z,2025-11-12,,,,2025-11-12 12:51:00-08:00,,,
1762979760000,1.1185,5.145,0,0,1,60,67.5,77,60.03,67.5,30.01,30.0824,260,234000,2631,2601900,2025-11-11T13:36:00.000Z,2025-11-12,,,,2025-11-12 12:36:00-08:00,,,
1762978860000,0.8948,10.0662,0,0,1,137,66.7,78,59.62,66.7,30.02,30.0925,338,304200,2293,2367900,2025-11-11T13:36:00.000Z,2025-11-12,,,,2025-11-12 12:21:00-08:00,,,
1762977960000,1.5659,5.816,0,0,1,61,66.0,79,59.29,66.0,30.03,30.1026,324,291600,1969,2063700,2025-11-11T13:36:00.000Z,2025-11-12,4.45,,,2025-11-12 12:06:00-08:00,,,
1762977060000,2.0132,7.8293,0,0,1,132,65.3,80,58.97,65.3,30.05,30.1228,290,261000,1679,1772100,2025-11-11T13:36:00.000Z,2025-11-12,,,,2025-11-12 11:51:00-08:00,,,
1762976160000,3.8028,8.7241,0,0,1,145,65.7,82,60.05,65.7,30.06,30.1327,314,282600,1365,1511100,2025-11-11T13:36:00.000Z,2025-11-12,,,,2025-11-12 11:36:00-08:00,,,
1762975260000,4.6976,8.7241,0,0,1,135,64.6,84,59.65,64.6,30.06,30.1329,268,241200,1097,1228500,2025-11-11T13:36:00.000Z,2025-11-12,,,,2025-11-12 11:21:00-08:00,,,
1762974360000,4.2502,6.9345,0,0,1,132,64.4,85,59.79,64.4,30.06,30.1329,215,193500,882,987300,2025-11-11T13:36:00.000Z,2025-11-12,4.37,,,2025-11-12 11:06:00-08:00,,,
1762973460000,1.1185,7.6056,0,0,1,129,63.7,86,59.43,63.7,30.06,30.133,203,182700,679,793800,2025-11-11T13:36:00.000Z,2025-11-12,,,,2025-11-12 10:51:00-08:00,,,
1762972560000,0.2237,2.908,0,0,1,130,63.0,88,59.39,63.0,30.06,30.1331,124,111600,555,611100,2025-11-11T13:36:00.000Z,2025-11-12,,,,2025-11-12 10:36:00-08:00,,,
1762971660000,0.2237,4.0265,0,0,1,130,62.4,89,59.11,62.4,30.08,30.1532,76,68400,479,499500,2025-11-11T13:36:00.000Z,2025-11-12,,,,2025-11-12 10:21:00-08:00,,,
1762970760000,0.4474,4.6976,0,0,1,130,62.1,90,59.13,62.1,30.08,30.1533,74,66600,405,431100,2025-11-11T13:36:00.000Z,2025-11-12,4.23,,,2025-11-12 10:06:00-08:00,,,
1762969860000,2.2369,6.7108,0,0,1,93,61.9,91,59.24,61.9,30.07,30.1433,73,65700,332,364500,2025-11-11T13:36:00.000Z,2025-11-12,,,,2025-11-12 09:51:00-08:00,,,
1762968960000,0.8948,5.5923,0,0,1,108,61.5,91,58.85,61.5,30.07,30.1433,65,58500,267,298800,2025-11-11T13:36:00.000Z,2025-11-12,,,,2025-11-12 09:36:00-08:00,,,
1762968060000,1.5659,4.4739,0,0,1,136,61.2,92,58.85,61.2,30.07,30.1434,60,54000,207,240300,2025-11-11T13:36:00.000Z,2025-11-12,,,,2025-11-12 09:21:00-08:00,,,
1762967160000,2.4606,5.816,0,0,1,134,60.8,93,58.76,60.8,30.06,30.1334,54,48600,153,186300,2025-11-11T13:36:00.000Z,2025-11-12,4.23,,,2025-11-12 09:06:00-08:00,,,
1762966260000,0.0,2.2369,0,0,1,3,60.6,93,58.56,60.6,30.06,30.1334,37,33300,116,137700,2025-11-11T13:36:00.000Z,2025-11-12,,,,2025-11-12 08:51:00-08:00,,,
1762965360000,1.3422,3.5791,0,0,1,10,60.4,94,58.66,60.4,30.07,30.1435,33,29700,83,104400,2025-11-11T13:36:00.000Z,2025-11-12,,,,2025-11-12 08:36:00-08:00,,,
1762964460000,0.2237,1.7895,0,0,1,63,60.1,95,58.66,60.1,30.08,30.1536,23,20700,60,74700,2025-11-11T13:36:00.000Z,2025-11-12,,,,2025-11-12 08:21:00-08:00,,,
1762963560000,0.0,0.0,0,0,1,63,59.7,95,58.26,59.7,30.07,30.1436,17,15300,43,54000,2025-11-11T13:36:00.000Z,2025-11-12,4.23,,,2025-11-12 08:06:00-08:00,,,
1762962660000,0.0,0.0,0,0,1,63,59.5,95,58.07,59.5,30.06,30.1336,9,8100,34,38700,2025-11-11T13:36:00.000Z,2025-11-12,,,,2025-11-12 07:51:00-08:00,,,
1762961760000,0.2237,2.0132,0,0,1,63,59.4,95,57.97,59.4,30.05,30.1236,8,7200,26,30600,2025-11-11T13:36:00.000Z,2025-11-12,,,,2025-11-12 07:36:00-08:00,,,
1762960860000,0.2237,2.0132,0,0,1,63,59.0,95,57.57,59.0,30.03,30.1036,12,10800,14,23400,2025-11-11T13:36:00.000Z,2025-11-12,,,,2025-11-12 07:21:00-08:00,,,
1762959960000,0.2237,2.2369,0,0,1,63,58.8,96,57.66,58.8,30.02,30.0936,10,9000,4,12600,2025-11-11T13:36:00.000Z,2025-11-12,4.23,,,2025-11-12 07:06:00-08:00,,,
1762959060000,0.4474,2.0132,0,0,1,63,58.6,96,57.46,58.6,30.03,30.1037,4,3600,0,3600,2025-11-11T13:36:00.000Z,2025-11-12,,,,2025-11-12 06:51:00-08:00,,,
1762958160000,0.4474,2.4606,0,0,1,63,58.8,96,57.66,58.8,30.04,30.1137,0,0,0,0,2025-11-11T13:36:00.000Z,2025-11-12,,,,2025-11-12 06:36:00-08:00,,,
1762957260000,0.4474,3.5791,0,0,1,63,58.3,96,57.16,58.3,30.03,30.1037,0,0,0,0,2025-11-11T13:36:00.000Z,2025-11-12,,,,2025-11-12 06:21:00-08:00,,,
1762956360000,0.6711,3.5791,0,0,1,63,58.3,96,57.16,58.3,30.02,30.0937,0,0,0,0,2025-11-11T13:36:00.000Z,2025-11-12,4.24,,,2025-11-12 06:06:00-08:00,,,
1762955460000,0.4474,2.4606,0,0,1,63,57.7,96,56.57,57.7,30.02,30.0938,0,0,0,0,2025-11-11T13:36:00.000Z,2025-11-12,,,,2025-11-12 05:51:00-08:00,,,
1762954560000,0.0,0.0,0,0,1,63,57.4,96,56.27,57.4,30.02,30.0938,0,0,0,0,2025-11-11T13:36:00.000Z,2025-11-12,,,,2025-11-12 05:36:00-08:00,,,
1762953660000,0.0,0.0,0,0,1,63,57.6,96,56.47,57.6,30.03,30.1038,0,0,0,0,2025-11-11T13:36:00.000Z,2025-11-12,,,,2025-11-12 05:21:00-08:00,,,
1762952760000,0.0,1.1185,0,0,1,63,57.6,96,56.47,57.6,30.04,30.1138,0,0,0,0,2025-11-11T13:36:00.000Z,2025-11-12,4.25,,,2025-11-12 05:06:00-08:00,,,
