dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,passkey,time,loc,date,tz,historical,local_time
1762761060000,0.0,0.0,0,0,1,238,56.7,97,4.27,55.86,56.7,30.08,30.1541,0,0,8343,7508700,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762732800000,7395c226de765e6694f274e64ffcfa1e/daily/1762732800000.json,2025-11-09,,,2025-11-09 23:51:00-08:00
1762760160000,0.0,0.0,0,0,1,238,56.5,97,,55.66,56.5,30.08,30.1541,0,0,8343,7508700,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762732800000,7395c226de765e6694f274e64ffcfa1e/daily/1762732800000.json,2025-11-09,,,2025-11-09 23:36:00-08:00
1762759260000,0.0,0.0,0,0,1,238,56.5,97,,55.66,56.5,30.08,30.1541,0,0,8343,7508700,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762732800000,7395c226de765e6694f274e64ffcfa1e/daily/1762732800000.json,2025-11-09,,,2025-11-09 23:21:00-08:00
1762758360000,0.0,0.0,0,0,1,238,56.5,97,4.27,55.66,56.5,30.08,30.1541,0,0,8343,7508700,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762732800000,7395c226de765e6694f274e64ffcfa1e/daily/1762732800000.json,2025-11-09,,,2025-11-09 23:06:00-08:00
1762757460000,0.0,0.0,0,0,1,238,56.8,97,,55.96,56.8,30.08,30.154,0,0,8343,7508700,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762732800000,7395c226de765e6694f274e64ffcfa1e/daily/1762732800000.json,2025-11-09,,,2025-11-09 22:51:00-08:00
1762756560000,0.0,0.0,0,0,1,238,57.2,96,,56.07,57.2,30.08,30.154,0,0,8343,7508700,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762732800000,7395c226de765e6694f274e64ffcfa1e/daily/1762732800000.json,2025-11-09,,,2025-11-09 22:36:00-08:00
1762755660000,0.0,0.0,0,0,1,238,57.2,96,,56.07,57.2,30.08,30.154,0,0,8343,7508700,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762732800000,7395c226de765e6694f274e64ffcfa1e/daily/1762732800000.json,2025-11-09,,,2025-11-09 22:21:00-08:00
1762754760000,0.0,0.0,0,0,1,238,57.4,96,4.28,56.27,57.4,30.08,30.154,0,0,8343,7508700,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762732800000,7395c226de765e6694f274e64ffcfa1e/daily/1762732800000.json,2025-11-09,,,2025-11-09 22:06:00-08:00
1762753860000,0.0,1.5659,0,0,1,238,57.6,96,,56.47,57.6,30.08,30.1539,0,0,8343,7508700,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762732800000,7395c226de765e6694f274e64ffcfa1e/daily/1762732800000.json,2025-11-09,,,2025-11-09 21:51:00-08:00
1762752960000,0.0,0.0,0,0,1,238,57.7,96,,56.57,57.7,30.08,30.1539,0,0,8343,7508700,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762732800000,7395c226de765e6694f274e64ffcfa1e/daily/1762732800000.json,2025-11-09,,,2025-11-09 21:36:00-08:00
1762752060000,0.0,0.0,0,0,1,238,57.7,96,,56.57,57.7,30.08,30.1539,0,0,8343,7508700,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762732800000,7395c226de765e6694f274e64ffcfa1e/daily/1762732800000.json,2025-11-09,,,2025-11-09 21:21:00-08:00
1762751160000,0.0,2.2369,0,0,1,238,57.6,96,4.29,56.47,57.6,30.08,30.1539,0,0,8343,7508700,,7395c226de765e6694f274e64ffcfa1e,1762732800000,7395c226de765e6694f274e64ffcfa1e/daily/1762732800000.json,2025-11-09,America/Los_Angeles,True,2025-11-09 21:06:00-08:00
1762750260000,0.0,0.0,0,0,1,238,57.2,96,,56.07,57.2,30.07,30.144,0,0,8343,7508700,,7395c226de765e6694f274e64ffcfa1e,1762732800000,7395c226de765e6694f274e64ffcfa1e/daily/1762732800000.json,2025-11-09,America/Los_Angeles,True,2025-11-09 20:51:00-08:00
1762749360000,0.0,0.0,0,0,1,238,57.0,96,4.29,55.87,57.0,30.07,30.144,0,0,8343,7508700,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762732800000,7395c226de765e6694f274e64ffcfa1e/daily/1762732800000.json,2025-11-09,,,2025-11-09 20:36:00-08:00
1762748460000,0.0,0.0,0,0,1,238,57.2,96,,56.07,57.2,30.07,30.144,0,0,8343,7508700,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762732800000,7395c226de765e6694f274e64ffcfa1e/daily/1762732800000.json,2025-11-09,,,2025-11-09 20:21:00-08:00
1762747560000,0.0,0.0,0,0,1,238,57.9,96,,56.77,57.9,30.07,30.1439,0,0,8343,7508700,,7395c226de765e6694f274e64ffcfa1e,1762732800000,7395c226de765e6694f274e64ffcfa1e/daily/1762732800000.json,2025-11-09,America/Los_Angeles,True,2025-11-09 20:06:00-08:00
1762746660000,0.0,0.8948,0,0,1,238,58.5,96,4.3,57.36,58.5,30.07,30.1438,0,0,8343,7508700,,7395c226de765e6694f274e64ffcfa1e,1762732800000,7395c226de765e6694f274e64ffcfa1e/daily/1762732800000.json,2025-11-09,America/Los_Angeles,True,2025-11-09 19:51:00-08:00
1762745760000,0.0,0.0,0,0,1,238,58.6,96,,57.46,58.6,30.07,30.1438,0,0,8343,7508700,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762732800000,7395c226de765e6694f274e64ffcfa1e/daily/1762732800000.json,2025-11-09,,,2025-11-09 19:36:00-08:00
1762744860000,0.0,0.0,0,0,1,238,58.6,96,,57.46,58.6,30.08,30.1538,0,0,8343,7508700,,7395c226de765e6694f274e64ffcfa1e,1762732800000,7395c226de765e6694f274e64ffcfa1e/daily/1762732800000.json,2025-11-09,America/Los_Angeles,True,2025-11-09 19:21:00-08:00
1762743960000,0.0,0.0,0,0,1,238,58.5,96,,57.36,58.5,30.07,30.1438,0,0,8343,7508700,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762732800000,7395c226de765e6694f274e64ffcfa1e/daily/1762732800000.json,2025-11-09,,,2025-11-09 19:06:00-08:00
