dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,passkey,time,loc,date,batt1volts,local_time
1757141220000,1.1185,1.5659,0,0,1,217,64.4,88,60.76,64.4,29.86,29.9554,0,0,0,5271300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1757116800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1757116800000.json,2025-09-05,,2025-09-05 23:47:00-07:00
1757140320000,0.8948,1.3422,0,0,1,217,64.8,87,60.83,64.8,29.85,29.9453,0,0,0,5271300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1757116800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1757116800000.json,2025-09-05,,2025-09-05 23:32:00-07:00
1757139420000,1.1185,2.0132,0,0,1,217,64.9,86,60.61,64.9,29.85,29.9453,0,0,0,5271300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1757116800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1757116800000.json,2025-09-05,4.29,2025-09-05 23:17:00-07:00
1757138520000,1.5659,2.2369,0,0,1,217,64.8,86,60.51,64.8,29.85,29.9453,0,0,0,5271300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1757116800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1757116800000.json,2025-09-05,,2025-09-05 23:02:00-07:00
1757137620000,1.5659,2.0132,0,0,1,217,64.6,86,60.31,64.6,29.85,29.9453,0,0,0,5271300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1757116800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1757116800000.json,2025-09-05,,2025-09-05 22:47:00-07:00
1757136720000,1.3422,1.7895,0,0,1,217,64.4,87,60.44,64.4,29.85,29.9454,0,0,0,5271300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1757116800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1757116800000.json,2025-09-05,,2025-09-05 22:32:00-07:00
1757135820000,0.2237,2.0132,0,0,1,217,63.7,87,59.75,63.7,29.85,29.9455,0,0,0,5271300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1757116800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1757116800000.json,2025-09-05,4.29,2025-09-05 22:17:00-07:00
1757134920000,0.0,0.0,0,0,1,217,63.1,87,59.16,63.1,29.84,29.9356,0,0,0,5271300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1757116800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1757116800000.json,2025-09-05,,2025-09-05 22:02:00-07:00
1757134020000,0.0,0.0,0,0,1,217,63.0,87,59.07,63.0,29.84,29.9356,0,0,0,5271300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1757116800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1757116800000.json,2025-09-05,,2025-09-05 21:47:00-07:00
1757133120000,0.0,0.0,0,0,1,217,63.1,86,58.84,63.1,29.84,29.9356,0,0,0,5271300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1757116800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1757116800000.json,2025-09-05,4.29,2025-09-05 21:32:00-07:00
