dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,passkey,time,loc,date,batt1volts,lastRain,local_time
1753858020000,0.0,0.0,0,0,1,221,60.3,93,58.27,60.3,29.98,30.0765,0,0,89,6943500,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1753833600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1753833600000.json,2025-07-29,,,2025-07-29 23:47:00-07:00
1753857120000,0.0,0.0,0,0,1,221,60.4,92,58.06,60.4,29.99,30.0866,0,0,89,6943500,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1753833600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1753833600000.json,2025-07-29,,,2025-07-29 23:32:00-07:00
1753856220000,0.0,0.0,0,0,1,221,60.8,92,58.46,60.8,29.99,30.0865,0,0,89,6943500,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1753833600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1753833600000.json,2025-07-29,,,2025-07-29 23:17:00-07:00
1753855320000,0.0,0.0,0,0,1,221,61.0,92,58.66,61.0,29.99,30.0864,0,0,89,6943500,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1753833600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1753833600000.json,2025-07-29,4.29,,2025-07-29 23:02:00-07:00
1753854420000,0.0,0.0,0,0,1,221,61.2,92,58.85,61.2,29.99,30.0864,0,0,89,6943500,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1753833600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1753833600000.json,2025-07-29,,,2025-07-29 22:47:00-07:00
1753853520000,0.0,0.0,0,0,1,221,61.5,91,58.85,61.5,29.99,30.0863,0,0,89,6943500,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1753833600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1753833600000.json,2025-07-29,,,2025-07-29 22:32:00-07:00
1753852620000,0.0,0.0,0,0,1,221,61.7,91,59.04,61.7,29.99,30.0863,0,0,89,6943500,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1753833600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1753833600000.json,2025-07-29,,,2025-07-29 22:17:00-07:00
1753851720000,0.0,0.0,0,0,1,221,61.9,90,58.93,61.9,29.99,30.0863,0,0,89,6943500,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1753833600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1753833600000.json,2025-07-29,4.29,,2025-07-29 22:02:00-07:00
1753850820000,0.0,0.0,0,0,1,221,62.2,89,58.91,62.2,29.99,30.0862,0,0,89,6943500,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1753833600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1753833600000.json,2025-07-29,,,2025-07-29 21:47:00-07:00
1753849920000,0.0,0.0,0,0,1,221,62.4,88,58.8,62.4,29.98,30.0761,0,0,89,6943500,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1753833600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1753833600000.json,2025-07-29,,,2025-07-29 21:32:00-07:00
1753849020000,0.0,1.1185,0,0,1,221,62.8,87,58.87,62.8,29.98,30.0761,0,0,89,6943500,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1753833600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1753833600000.json,2025-07-29,,,2025-07-29 21:17:00-07:00
1753848120000,0.0,0.0,0,0,1,221,63.0,86,58.74,63.0,29.98,30.076,0,0,89,6943500,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1753833600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1753833600000.json,2025-07-29,4.29,,2025-07-29 21:02:00-07:00
1753847220000,0.0,0.0,0,0,1,221,63.3,85,58.71,63.3,29.98,30.076,0,0,89,6943500,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1753833600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1753833600000.json,2025-07-29,,,2025-07-29 20:47:00-07:00
1753846320000,0.0,0.0,0,0,1,221,63.5,85,58.91,63.5,29.98,30.0759,0,0,89,6943500,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1753833600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1753833600000.json,2025-07-29,,,2025-07-29 20:32:00-07:00
1753845420000,0.0,1.3422,0,0,1,221,63.7,85,59.1,63.7,29.99,30.0859,0,0,89,6943500,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1753833600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1753833600000.json,2025-07-29,,,2025-07-29 20:17:00-07:00
1753844520000,0.0,0.0,0,0,1,221,63.7,85,59.1,63.7,29.98,30.0759,0,0,89,6943500,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1753833600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1753833600000.json,2025-07-29,4.31,,2025-07-29 20:02:00-07:00
1753843620000,0.0,0.0,0,0,1,221,63.9,85,59.3,63.9,29.99,30.0859,3,540,89,6943500,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1753833600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1753833600000.json,2025-07-29,,,2025-07-29 19:47:00-07:00
1753842720000,0.2237,1.7895,0,0,1,221,63.9,86,59.63,63.9,29.98,30.0759,6,1080,89,6940800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1753833600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1753833600000.json,2025-07-29,,,2025-07-29 19:32:00-07:00
1753841820000,0.4474,2.2369,0,0,1,221,64.2,86,59.92,64.2,29.98,30.0758,9,1620,89,6935400,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1753833600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1753833600000.json,2025-07-29,,,2025-07-29 19:17:00-07:00
1753840920000,0.4474,2.4606,0,0,1,221,64.4,86,60.12,64.4,29.99,30.0858,12,2160,89,6927300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1753833600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1753833600000.json,2025-07-29,4.32,,2025-07-29 19:02:00-07:00
