dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,date,batt1volts,tz,historical,local_time,passkey,time,loc
1762933860000,0.2237,1.7895,0.0,0.01,1,62,58.6,95,57.17,58.6,30.03,30.1037,0,0,9275,8347500,2025-11-11T13:36:00.000Z,2025-11-11,,,,2025-11-11 23:51:00-08:00,,,
1762932960000,0.0,1.5659,0.0,0.01,1,62,58.6,95,57.17,58.6,30.02,30.0936,0,0,9275,8347500,2025-11-11T13:36:00.000Z,2025-11-11,,,,2025-11-11 23:36:00-08:00,,,
1762932060000,1.3422,3.5791,0.0,0.01,1,62,58.8,95,57.37,58.8,30.02,30.0936,0,0,9275,8347500,2025-11-11T13:36:00.000Z,2025-11-11,4.29,,,2025-11-11 23:21:00-08:00,,,
1762931160000,0.2237,2.6843,0.0,0.01,1,342,58.8,95,57.37,58.8,30.01,30.0836,0,0,9275,8347500,2025-11-11T13:36:00.000Z,2025-11-11,,,,2025-11-11 23:06:00-08:00,,,
1762930260000,0.0,1.7895,0.0,0.01,1,286,58.1,95,56.67,58.1,30.01,30.0837,0,0,9275,8347500,2025-11-11T13:36:00.000Z,2025-11-11,,,,2025-11-11 22:51:00-08:00,,,
1762929360000,0.0,1.3422,0.0,0.01,1,285,58.1,95,56.67,58.1,30.02,30.0937,0,0,9275,8347500,2025-11-11T13:36:00.000Z,2025-11-11,,,,2025-11-11 22:36:00-08:00,,,
1762928460000,0.0,0.0,0.0,0.01,1,283,57.9,95,56.48,57.9,30.02,30.0937,0,0,9275,8347500,2025-11-11T13:36:00.000Z,2025-11-11,4.29,,,2025-11-11 22:21:00-08:00,,,
1762927560000,0.0,0.0,0.0,0.01,1,283,57.9,94,56.18,57.9,30.03,30.1038,0,0,9275,8347500,,2025-11-11,,America/Los_Angeles,True,2025-11-11 22:06:00-08:00,,,
1762926660000,0.0,0.0,0.0,0.01,1,283,57.9,94,56.18,57.9,30.02,30.0937,0,0,9275,8347500,,2025-11-11,,America/Los_Angeles,True,2025-11-11 21:51:00-08:00,,,
1762925760000,0.0,0.0,0.0,0.01,1,283,58.3,94,56.58,58.3,30.03,30.1037,0,0,9275,8347500,2025-11-11T13:36:00.000Z,2025-11-11,4.29,,,2025-11-11 21:36:00-08:00,,,
1762924860000,0.0,0.0,0.0,0.01,1,283,58.5,94,56.78,58.5,30.03,30.1037,0,0,9275,8347500,2025-11-11T13:36:00.000Z,2025-11-11,,,,2025-11-11 21:21:00-08:00,,,
1762923960000,0.0,0.0,0.0,0.01,1,283,58.3,94,56.58,58.3,30.02,30.0937,0,0,9275,8347500,2025-11-11T13:36:00.000Z,2025-11-11,,,,2025-11-11 21:06:00-08:00,,,
1762923060000,0.0,0.0,0.0,0.01,1,283,58.3,94,56.58,58.3,30.02,30.0937,0,0,9275,8347500,,2025-11-11,,America/Los_Angeles,True,2025-11-11 20:51:00-08:00,,,
1762922160000,0.0,0.0,0.0,0.01,1,283,58.3,94,56.58,58.3,30.02,30.0937,0,0,9275,8347500,2025-11-11T13:36:00.000Z,2025-11-11,4.29,,,2025-11-11 20:36:00-08:00,,,
1762921260000,0.0,0.0,0.0,0.01,1,283,58.3,93,56.28,58.3,30.02,30.0937,0,0,9275,8347500,2025-11-11T13:36:00.000Z,2025-11-11,,,,2025-11-11 20:21:00-08:00,,,
1762920360000,0.0,0.0,0.0,0.01,1,283,58.5,93,56.48,58.5,30.02,30.0936,0,0,9275,8347500,2025-11-11T13:36:00.000Z,2025-11-11,,,,2025-11-11 20:06:00-08:00,,,
1762919460000,0.0,0.0,0.0,0.01,1,283,58.5,93,56.48,58.5,30.01,30.0836,0,0,9275,8347500,2025-11-11T13:36:00.000Z,2025-11-11,,,,2025-11-11 19:51:00-08:00,,,
1762918560000,0.0,0.0,0.0,0.01,1,283,58.3,93,56.28,58.3,30.01,30.0837,0,0,9275,8347500,2025-11-11T13:36:00.000Z,2025-11-11,4.3,,,2025-11-11 19:36:00-08:00,,,
1762917660000,0.0,0.0,0.0,0.01,1,283,58.5,93,56.48,58.5,30.02,30.0936,0,0,9275,8347500,,2025-11-11,,America/Los_Angeles,True,2025-11-11 19:21:00-08:00,,,
1762916760000,0.0,0.0,0.0,0.01,1,283,59.0,92,56.68,59.0,30.02,30.0936,0,0,9275,8347500,2025-11-11T13:36:00.000Z,2025-11-11,,,,2025-11-11 19:06:00-08:00,,,
1762915860000,0.0,0.0,0.0,0.01,1,283,59.2,92,56.88,59.2,30.02,30.0936,0,0,9275,8347500,2025-11-11T13:36:00.000Z,2025-11-11,,,,2025-11-11 18:51:00-08:00,,,
1762914960000,0.2237,2.2369,0.0,0.01,1,283,59.7,91,57.07,59.7,30.02,30.0935,0,0,9275,8347500,2025-11-11T13:36:00.000Z,2025-11-11,4.3,,,2025-11-11 18:36:00-08:00,,,
1762914060000,0.4474,4.0265,0.0,0.01,1,283,60.1,91,57.46,60.1,30.02,30.0934,0,0,9275,8347500,2025-11-11T13:36:00.000Z,2025-11-11,,,,2025-11-11 18:21:00-08:00,,,
1762913160000,2.4606,5.816,0.0,0.01,1,283,60.3,91,57.66,60.3,30.02,30.0934,0,0,9275,8347500,2025-11-11T13:36:00.000Z,2025-11-11,,,,2025-11-11 18:06:00-08:00,,,
1762912260000,4.2502,10.961,0.0,0.01,1,286,60.3,91,57.66,60.3,30.03,30.1034,0,0,9275,8347500,2025-11-11T13:36:00.000Z,2025-11-11,,,,2025-11-11 17:51:00-08:00,,,
1762911360000,6.0397,12.5268,0.0,0.01,1,283,60.3,91,57.66,60.3,30.03,30.1034,0,0,9275,8347500,2025-11-11T13:36:00.000Z,2025-11-11,4.31,,,2025-11-11 17:36:00-08:00,,,
1762910460000,5.3686,12.0795,0.0,0.01,1,267,60.3,91,57.66,60.3,30.02,30.0934,0,0,9275,8347500,2025-11-11T13:36:00.000Z,2025-11-11,,,,2025-11-11 17:21:00-08:00,,,
1762909560000,5.145,10.5136,0.0,0.01,1,272,60.4,91,57.76,60.4,30.02,30.0934,0,0,9275,8347500,2025-11-11T13:36:00.000Z,2025-11-11,,,,2025-11-11 17:06:00-08:00,,,
1762908660000,5.5923,11.4084,0.0,0.01,1,281,60.6,90,57.65,60.6,30.02,30.0934,16,14400,9259,8347500,2025-11-11T13:36:00.000Z,2025-11-11,,,,2025-11-11 16:51:00-08:00,,,
1762907760000,6.4871,12.0795,0.0,0.01,1,274,60.6,89,57.34,60.6,30.02,30.0934,29,26100,9230,8333100,2025-11-11T13:36:00.000Z,2025-11-11,4.32,,,2025-11-11 16:36:00-08:00,,,
1762906860000,6.4871,12.0795,0.0,0.01,1,268,61.2,88,57.61,61.2,30.02,30.0933,36,32400,9194,8307000,2025-11-11T13:36:00.000Z,2025-11-11,,,,2025-11-11 16:21:00-08:00,,,
1762905960000,5.5923,10.5136,0.0,0.01,1,266,62.4,86,58.15,62.4,30.01,30.0831,106,95400,8953,8153100,2025-11-11T13:36:00.000Z,2025-11-11,,,,2025-11-11 16:06:00-08:00,,,
1762905060000,4.4739,9.8425,0.0,0.01,1,271,61.5,88,57.91,61.5,30.01,30.0832,135,121500,9059,8179200,,2025-11-11,,America/Los_Angeles,True,2025-11-11 15:51:00-08:00,,,
1762904160000,6.4871,11.4084,0.0,0.01,1,275,61.2,89,57.93,61.2,30.02,30.0933,91,81900,8862,8057700,2025-11-11T13:36:00.000Z,2025-11-11,,,,2025-11-11 15:36:00-08:00,,,
1762903260000,7.1582,14.0927,0.0,0.01,1,282,61.3,88,57.71,61.3,30.02,30.0933,71,63900,8791,7975800,2025-11-11T13:36:00.000Z,2025-11-11,,,,2025-11-11 15:21:00-08:00,,,
